,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,62210,74472.0,66716.0,,81102.1,61854.0,64918.9,26345.0,191871.9,66330.0,66617.0,64112.5,57441.9,65500.3,79121.0,,74198.5,73680.1,102645.8,60442.0,62593.0,12262.0,4506.0,,18892.1,-356.0,2708.9,-35865.0,129661.9,4120.0,4407.0,1902.5,-4768.1,3290.3,16911.0,,11988.5,11470.1,40435.8,-1768.0,383.0,True,,False,True,True,False,False,True,True,True,True,True,False,,True,True,False,True,True
Hawaii,4159,1731.0,1636.0,,1418.1,352.0,1323.5,824.3,60.6,,5851.6,2280.0,1986.8,1658.6,3235.0,,2976.0,1704.2,,4551.7,3633.0,-2428.0,-2523.0,,-2740.9,-3807.0,-2835.5,-3334.7,-4098.4,,1692.6,-1879.0,-2172.2,-2500.4,-924.0,,-1183.0,-2454.8,,392.7,-526.0,False,,False,False,False,False,False,,True,True,True,False,True,,True,False,,True,True
Idaho,8549,9852.0,8987.0,,13867.8,9063.0,21071.4,3334.6,7771.5,8948.0,15015.7,13250.5,4402.8,6426.2,8595.0,,5606.6,8463.8,,4451.9,8121.0,1303.0,438.0,,5318.8,514.0,12522.4,-5214.4,-777.5,399.0,6466.7,4701.5,-4146.2,-2122.8,46.0,,-2942.4,-85.2,,-4097.1,-428.0,True,,False,True,False,False,True,True,False,False,False,False,True,,False,True,,False,True
Illinois,37947,31896.0,32307.0,,38554.1,564.0,24811.1,11546.8,23427.6,31245.0,45216.2,46573.4,25960.8,33309.9,50400.0,,32015.7,38786.8,21575.4,41913.5,31971.0,-6051.0,-5640.0,,607.1,-37383.0,-13135.9,-26400.2,-14519.4,-6702.0,7269.2,8626.4,-11986.2,-4637.1,12453.0,,-5931.3,839.8,-16371.6,3966.5,-5976.0,True,,True,False,False,False,False,False,False,False,False,True,False,,True,True,False,True,True
Indiana,18195,16806.0,16777.0,,21518.2,7239.0,14317.5,6012.0,29162.4,16745.0,22580.9,30642.0,13772.3,16475.6,23843.0,,13053.4,19540.7,13599.0,16885.1,16010.0,-1389.0,-1418.0,,3323.2,-10956.0,-3877.5,-12183.0,10967.4,-1450.0,4385.9,12447.0,-4422.7,-1719.4,5648.0,,-5141.6,1345.7,-4596.0,-1309.9,-2185.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,True,False
Iowa,10703,10221.0,9832.0,,11488.9,2944.0,9407.8,3505.5,16945.0,8774.0,12779.8,13927.5,8587.1,9716.1,10262.0,,8091.5,9850.6,10751.7,10353.2,8824.0,-482.0,-871.0,,785.9,-7759.0,-1295.2,-7197.5,6242.0,-1929.0,2076.8,3224.5,-2115.9,-986.9,-441.0,,-2611.5,-852.4,48.7,-349.8,-1879.0,False,,False,False,False,False,False,False,False,False,False,False,True,,False,False,True,True,False
Kansas,9796,7749.0,6937.0,,11621.1,3117.0,9128.3,2232.6,6886.1,12084.0,14277.0,19176.2,5041.4,6709.2,7352.0,,6351.9,6940.5,,4929.3,6055.0,-2047.0,-2859.0,,1825.1,-6679.0,-667.7,-7563.4,-2909.9,2288.0,4481.0,9380.2,-4754.6,-3086.8,-2444.0,,-3444.1,-2855.5,,-4866.7,-3741.0,False,,True,False,True,False,False,False,False,False,False,False,False,,False,False,,False,False
Kentucky,12343,11877.0,11688.0,,17980.6,10498.0,21260.4,4412.2,10203.1,13706.0,19646.6,27661.3,9740.7,11636.6,18053.0,,10969.9,10737.6,12584.6,11284.8,12733.0,-466.0,-655.0,,5637.6,-1845.0,8917.4,-7930.8,-2139.9,1363.0,7303.6,15318.3,-2602.3,-706.4,5710.0,,-1373.1,-1605.4,241.6,-1058.2,390.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,True
Louisiana,25440,37638.0,37341.0,,47004.8,31505.0,53063.8,7082.5,72284.2,39219.0,32308.5,34718.3,46328.4,32992.1,29626.0,,40363.9,32128.3,,25408.0,20813.0,12198.0,11901.0,,21564.8,6065.0,27623.8,-18357.5,46844.2,13779.0,6868.5,9278.3,20888.4,7552.1,4186.0,,14923.9,6688.3,,-32.0,-4627.0,True,,False,True,False,False,False,False,True,True,False,True,True,,False,True,,True,True
Maine,381,441.0,412.0,,339.1,163.0,409.9,151.5,624.1,314.0,832.4,287.5,368.4,460.6,488.0,,410.6,473.2,503.8,549.0,582.0,60.0,31.0,,-41.9,-218.0,28.9,-229.5,243.1,-67.0,451.4,-93.5,-12.6,79.6,107.0,,29.6,92.2,122.8,168.0,201.0,True,,True,False,True,False,False,False,False,False,True,False,False,,True,False,False,False,False
Maryland,14158,18933.0,16178.0,,25116.1,8481.0,13891.1,6998.2,15550.3,14777.0,15086.9,30962.9,15645.3,19398.0,31560.0,,13401.5,28522.6,,22090.8,20111.0,4775.0,2020.0,,10958.1,-5677.0,-266.9,-7159.8,1392.3,619.0,928.9,16804.9,1487.3,5240.0,17402.0,,-756.5,14364.6,,7932.8,5953.0,True,,False,False,True,False,True,True,True,False,True,False,False,,True,False,,False,False
Massachusetts,6139,8316.0,8397.0,,8852.5,126.0,6490.5,3425.5,25897.7,7274.0,13370.1,8013.3,6814.6,10978.1,11855.0,,5504.8,12163.1,,14316.0,9935.0,2177.0,2258.0,,2713.5,-6013.0,351.5,-2713.5,19758.7,1135.0,7231.1,1874.3,675.6,4839.1,5716.0,,-634.2,6024.1,,8177.0,3796.0,False,,False,False,True,False,False,True,False,True,True,False,False,,True,False,,False,False
Michigan,14712,17130.0,15199.0,,18707.4,4272.0,15981.9,5568.7,10451.4,19314.0,38841.1,31919.6,10616.8,13853.2,19992.0,,10727.6,22351.6,,15198.2,17432.0,2418.0,487.0,,3995.4,-10440.0,1269.9,-9143.3,-4260.6,4602.0,24129.1,17207.6,-4095.2,-858.8,5280.0,,-3984.4,7639.6,,486.2,2720.0,True,,False,False,True,False,False,False,False,False,False,True,False,,False,False,,True,False
Minnesota,13679,14691.0,14856.0,,19375.1,5657.0,11584.8,4988.2,10459.8,17555.0,16953.6,22683.7,12712.8,14880.2,18155.0,,12098.6,16439.2,14681.3,16183.4,15695.0,1012.0,1177.0,,5696.1,-8022.0,-2094.2,-8690.8,-3219.2,3876.0,3274.6,9004.7,-966.2,1201.2,4476.0,,-1580.4,2760.2,1002.3,2504.4,2016.0,False,,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,False,False
Mississippi,17387,26700.0,24874.0,,32840.8,26419.0,20038.9,9438.0,51243.4,25033.0,21303.1,43914.4,15480.7,21749.9,36578.0,,25065.8,24840.8,34192.8,17350.1,18091.0,9313.0,7487.0,,15453.8,9032.0,2651.9,-7949.0,33856.4,7646.0,3916.1,26527.4,-1906.3,4362.9,19191.0,,7678.8,7453.8,16805.8,-36.9,704.0,True,,False,True,True,True,False,True,True,False,True,True,False,,True,True,False,True,True
Missouri,23320,31794.0,27174.0,,46019.4,30071.0,21553.9,10126.7,27370.7,28588.0,31010.4,58941.5,15003.5,25771.4,57252.0,,21563.9,36572.0,35054.5,23395.8,42963.0,8474.0,3854.0,,22699.4,6751.0,-1766.1,-13193.3,4050.7,5268.0,7690.4,35621.5,-8316.5,2451.4,33932.0,,-1756.1,13252.0,11734.5,75.8,19643.0,True,,False,True,True,False,True,True,True,False,True,True,False,,True,False,False,True,False
Montana,2295,2466.0,2603.0,,4183.4,1733.0,3021.7,957.4,1049.5,3309.0,3525.6,1479.4,2846.0,2602.4,3376.0,,2129.4,2230.4,,2803.6,2775.0,171.0,308.0,,1888.4,-562.0,726.7,-1337.6,-1245.5,1014.0,1230.6,-815.6,551.0,307.4,1081.0,,-165.6,-64.6,,508.6,480.0,False,,False,False,False,False,False,False,False,False,False,False,False,,True,True,,False,False
Nebraska,5389,5988.0,5734.0,,7968.1,1011.0,4730.4,2117.0,13401.3,5222.0,5942.7,9869.6,5017.1,7017.3,9687.0,,4506.3,7240.9,4485.1,7165.4,5157.0,599.0,345.0,,2579.1,-4378.0,-658.6,-3272.0,8012.3,-167.0,553.7,4480.6,-371.9,1628.3,4298.0,,-882.7,1851.9,-903.9,1776.4,-232.0,True,,False,False,False,False,False,True,True,False,True,False,False,,False,False,False,False,True
Nevada,15995,21774.0,20598.0,,25881.4,20000.0,21362.8,7438.9,46546.4,19957.0,15736.6,36810.3,19580.0,19863.6,21114.0,,22372.1,20668.4,34030.3,21306.5,16103.0,5779.0,4603.0,,9886.4,4005.0,5367.8,-8556.1,30551.4,3962.0,-258.4,20815.3,3585.0,3868.6,5119.0,,6377.1,4673.4,18035.3,5311.5,108.0,True,,False,True,True,False,False,True,True,False,True,True,True,,False,True,False,True,True
New Hampshire,480,597.0,590.0,,705.1,52.0,542.5,217.1,1785.3,496.0,1246.6,175.0,399.9,609.1,969.0,,430.8,624.0,478.7,980.9,549.0,117.0,110.0,,225.1,-428.0,62.5,-262.9,1305.3,16.0,766.6,-305.0,-80.1,129.1,489.0,,-49.2,144.0,-1.3,500.9,69.0,True,,False,False,True,False,False,True,False,False,True,False,False,,True,False,True,False,True
New Jersey,7317,9513.0,7907.0,,5863.7,124.0,6391.0,3147.8,27372.6,9638.0,11157.9,4373.2,5974.1,10611.3,11212.0,,5591.1,8415.4,,12200.9,13127.0,2196.0,590.0,,-1453.3,-7193.0,-926.0,-4169.2,20055.6,2321.0,3840.9,-2943.8,-1342.9,3294.3,3895.0,,-1725.9,1098.4,,4883.9,5810.0,True,,True,False,True,False,False,False,False,False,True,False,False,,True,True,,False,False
New Mexico,3506,6024.0,5898.0,,7132.6,3299.0,5616.1,1853.2,7367.6,5776.0,8655.6,8993.2,3768.1,5095.5,5930.0,,6376.6,6252.6,6373.1,3346.1,5794.0,2518.0,2392.0,,3626.6,-207.0,2110.1,-1652.8,3861.6,2270.0,5149.6,5487.2,262.1,1589.5,2424.0,,2870.6,2746.6,2867.1,-159.9,2288.0,True,,False,True,True,True,False,True,False,False,True,True,True,,False,False,False,True,True
New York,13398,13701.0,13638.0,,11915.3,427.0,12834.8,4844.9,45938.8,9417.0,37830.5,16264.3,9783.8,14673.7,14675.0,,12490.7,15080.4,,14001.3,12890.0,303.0,240.0,,-1482.7,-12971.0,-563.2,-8553.1,32540.8,-3981.0,24432.5,2866.3,-3614.2,1275.7,1277.0,,-907.3,1682.4,,603.3,-508.0,True,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False
North Carolina,29634,37755.0,38542.0,,39205.1,57872.0,29666.0,12502.7,51924.1,44853.0,49993.7,48814.5,25071.4,31917.2,35568.0,,35548.6,33993.8,53460.7,26412.8,32440.0,8121.0,8908.0,,9571.1,28238.0,32.0,-17131.3,22290.1,15219.0,20359.7,19180.5,-4562.6,2283.2,5934.0,,5914.6,4359.8,23826.7,-3221.2,2806.0,False,,False,False,True,False,False,False,False,False,True,True,True,,True,True,False,True,True
North Dakota,3134,2598.0,2157.0,,4257.7,633.0,2466.3,890.8,1960.1,2139.0,2726.8,2293.3,1610.8,2038.9,3764.0,,1787.2,2927.7,,1874.7,2355.0,-536.0,-977.0,,1123.7,-2501.0,-667.7,-2243.2,-1173.9,-995.0,-407.2,-840.7,-1523.2,-1095.1,630.0,,-1346.8,-206.3,,-1259.3,-779.0,False,,False,False,False,False,False,False,True,False,False,False,False,,False,True,,False,False
Ohio,22078,26709.0,25488.0,,29427.3,16404.0,24730.6,9245.1,57011.6,24905.0,49244.3,31518.4,18377.5,23901.2,27723.0,,26248.0,25619.2,28540.2,23179.2,24109.0,4631.0,3410.0,,7349.3,-5674.0,2652.6,-12832.9,34933.6,2827.0,27166.3,9440.4,-3700.5,1823.2,5645.0,,4170.0,3541.2,6462.2,1101.2,2031.0,True,,False,False,True,False,False,True,False,False,True,True,False,,True,True,False,True,True
Oklahoma,14868,22950.0,18010.0,,23071.1,17478.0,17084.7,7243.4,20534.6,22383.0,29979.7,32438.9,12620.8,17744.9,30459.0,,16962.7,19994.1,,14383.5,24374.0,8082.0,3142.0,,8203.1,2610.0,2216.7,-7624.6,5666.6,7515.0,15111.7,17570.9,-2247.2,2876.9,15591.0,,2094.7,5126.1,,-484.5,9506.0,True,,False,True,True,True,True,True,False,False,True,True,False,,True,True,,True,False
Oregon,5893,6975.0,6794.0,,7415.7,8188.0,6114.7,2437.7,7636.4,5762.0,14517.9,8558.3,5606.7,6683.3,6740.0,,6208.8,6936.5,,6761.3,7086.0,1082.0,901.0,,1522.7,2295.0,221.7,-3455.3,1743.4,-131.0,8624.9,2665.3,-286.3,790.3,847.0,,315.8,1043.5,,868.3,1193.0,True,,False,False,True,False,False,True,False,False,True,True,True,,True,True,,True,False
Pennsylvania,15692,19059.0,18232.0,,22306.6,1044.0,16336.2,6270.9,26497.8,14876.0,38231.1,30237.6,11237.0,18232.2,21695.0,,12905.6,20578.2,8831.4,15838.9,17695.0,3367.0,2540.0,,6614.6,-14648.0,644.2,-9421.1,10805.8,-816.0,22539.1,14545.6,-4455.0,2540.2,6003.0,,-2786.4,4886.2,-6860.6,146.9,2003.0,True,,False,False,True,False,False,True,False,False,False,True,False,,True,False,False,True,True
Rhode Island,2000,2394.0,1460.0,,2536.1,35.0,1206.2,668.9,1389.9,2280.0,401.5,1056.5,829.2,1386.3,3235.0,,2875.5,2131.5,815.6,1622.0,1367.0,394.0,-540.0,,536.1,-1965.0,-793.8,-1331.1,-610.1,280.0,-1598.5,-943.5,-1170.8,-613.7,1235.0,,875.5,131.5,-1184.4,-378.0,-633.0,False,,False,False,False,False,False,True,False,False,False,False,False,,False,True,False,True,False
South Carolina,20696,31773.0,29785.0,,29661.7,35785.0,30104.7,10897.8,55241.6,30381.0,33211.7,36910.5,22623.2,28672.3,25389.0,,27287.4,26600.3,41184.6,23307.9,24145.0,11077.0,9089.0,,8965.7,15089.0,9408.7,-9798.2,34545.6,9685.0,12515.7,16214.5,1927.2,7976.3,4693.0,,6591.4,5904.3,20488.6,2611.9,3449.0,True,,True,False,True,True,False,True,False,False,True,True,True,,True,True,False,True,True
South Dakota,2268,1686.0,1630.0,,1671.3,564.0,1418.6,618.7,1874.2,1433.0,1367.2,1667.1,1492.9,1850.7,2484.0,,1246.7,2775.8,1190.0,2334.0,1603.0,-582.0,-638.0,,-596.7,-1704.0,-849.4,-1649.3,-393.8,-835.0,-900.8,-600.9,-775.1,-417.3,216.0,,-1021.3,507.8,-1078.0,66.0,-665.0,False,,False,False,False,False,True,False,False,False,False,True,True,,False,True,False,True,False
Tennessee,33899,52164.0,41667.0,,58718.3,51025.0,38726.6,16937.7,34611.8,41245.0,42912.0,94168.7,29587.1,37830.9,57777.0,,41591.4,56889.5,70097.7,39959.6,42840.0,18265.0,7768.0,,24819.3,17126.0,4827.6,-16961.3,712.8,7346.0,9013.0,60269.7,-4311.9,3931.9,23878.0,,7692.4,22990.5,36198.7,6060.6,8941.0,True,,False,True,True,True,True,True,True,False,True,True,False,,True,False,False,True,True
Texas,144541,163356.0,159622.0,,190671.7,228468.0,147362.9,56943.0,559373.4,186742.0,162199.6,173695.9,61482.5,129197.3,137128.0,,121406.6,143399.5,,97423.8,111907.0,18815.0,15081.0,,46130.7,83927.0,2821.9,-87598.0,414832.4,42201.0,17658.6,29154.9,-83058.5,-15343.7,-7413.0,,-23134.4,-1141.5,,-47117.2,-32634.0,True,,False,False,True,False,False,False,True,False,False,True,True,,False,True,,False,False
Utah,8112,9237.0,9199.0,,11733.6,12173.0,9747.5,3077.2,8744.2,8240.0,11992.3,13024.6,7306.1,8836.0,7409.0,,,9781.6,15822.3,6585.1,7418.0,1125.0,1087.0,,3621.6,4061.0,1635.5,-5034.8,632.2,128.0,3880.3,4912.6,-805.9,724.0,-703.0,,,1669.6,7710.3,-1526.9,-694.0,True,,False,False,False,False,True,True,False,False,True,True,True,,,False,False,False,True
Vermont,132,75.0,87.0,,83.6,14.0,145.2,33.0,3.6,91.0,395.0,232.5,52.6,101.4,64.0,,103.3,156.1,,75.6,66.0,-57.0,-45.0,,-48.4,-118.0,13.2,-99.0,-128.4,-41.0,263.0,100.5,-79.4,-30.6,-68.0,,-28.7,24.1,,-56.4,-66.0,True,,True,False,True,False,False,True,False,False,False,True,False,,True,True,,True,False
Virginia,21267,21576.0,19160.0,,30255.6,9299.0,17236.0,6855.3,5149.3,19391.0,27327.4,39936.1,15810.6,18986.5,26095.0,,22075.1,26169.8,18272.4,17287.9,0.0,309.0,-2107.0,,8988.6,-11968.0,-4031.0,-14411.7,-16117.7,-1876.0,6060.4,18669.1,-5456.4,-2280.5,4828.0,,808.1,4902.8,-2994.6,-3979.1,-21267.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Washington,13054,17076.0,16306.0,,20774.9,16306.0,14341.8,6005.8,14777.4,14561.0,25073.8,32293.1,13547.0,15161.2,17155.0,,15342.3,18646.4,,17916.1,15701.0,4022.0,3252.0,,7720.9,3252.0,1287.8,-7048.2,1723.4,1507.0,12019.8,19239.1,493.0,2107.2,4101.0,,2288.3,5592.4,,4862.1,2647.0,True,,False,True,True,False,True,True,False,False,True,True,False,,True,False,,False,True
West Virginia,2447,2889.0,2946.0,,3235.0,2577.0,3441.7,1059.8,577.6,2905.0,5378.6,3282.4,2661.7,2957.0,3934.0,,2732.8,3396.8,,3488.1,3216.0,442.0,499.0,,788.0,130.0,994.7,-1387.2,-1869.4,458.0,2931.6,835.4,214.7,510.0,1487.0,,285.8,949.8,,1041.1,769.0,False,,False,True,False,False,False,False,False,False,True,False,False,,True,False,,False,False
Wisconsin,16007,18396.0,18497.0,,24216.2,12302.0,16998.0,6371.2,27133.9,14397.0,26322.5,36191.1,16758.6,17363.3,22403.0,,18588.3,17398.7,22589.2,19153.2,16460.0,2389.0,2490.0,,8209.2,-3705.0,991.0,-9635.8,11126.9,-1610.0,10315.5,20184.1,751.6,1356.3,6396.0,,2581.3,1391.7,6582.2,3146.2,453.0,False,,False,False,True,False,False,True,False,False,True,True,False,,False,True,False,False,True
Wyoming,782,969.0,948.0,,1125.9,661.0,963.3,327.3,84.7,799.0,1484.9,1708.7,741.3,952.4,1129.0,,891.1,1090.2,,826.1,1024.0,187.0,166.0,,343.9,-121.0,181.3,-454.7,-697.3,17.0,702.9,926.7,-40.7,170.4,347.0,,109.1,308.2,,44.1,242.0,True,,False,True,True,False,False,True,False,False,True,True,False,,True,False,,True,False
US,1045297,1324422.0,1245545.0,996807.0,1498523.2,1246457.0,1167660.7,443586.4,2316046.1,1309462.0,1450374.1,1745104.1,833472.8,1172522.4,1355805.0,1112431.4,1181928.0,1279978.9,1239680.5,1000270.8,1079990.0,279125.0,200248.0,-48490.0,453226.2,201160.0,122363.7,-601710.6,1270749.1,264165.0,405077.1,699807.1,-211824.2,127225.4,310508.0,67134.4,136631.0,234681.9,194383.5,-45026.2,34693.0,True,True,False,True,True,False,False,True,False,False,True,True,False,True,True,True,True,True,True
