,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-Auquan-SEIR,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Georgia,2776,2924.7,2731.7,2810.0,2677.6,2605.0,2265.9,2670.0,2862.5,3235.3,2543.7,2525.0,3279.7,2576.3,2444.0,2493.5,,2729.5,2484.0,2928.0,2547.4,2506.0,2326.6,2726.5,3014.0,148.7,-44.3,34.0,-98.4,-171.0,-510.1,-106.0,86.5,459.3,-232.3,-251.0,503.7,-199.7,-332.0,-282.5,,-46.5,-292.0,152.0,-228.6,-270.0,-449.4,-49.5,238.0,True,True,False,False,True,True,False,False,False,False,False,False,False,,True,False,False,False,False,False,True,False
Hawaii,18,17.0,17.0,30.0,19.0,17.0,17.7,27.5,,,17.5,,28.8,18.3,17.0,18.7,,17.0,52.0,21.0,18.3,17.0,17.7,18.0,19.0,-1.0,-1.0,12.0,1.0,-1.0,-0.3,9.5,,,-0.5,,10.8,0.3,-1.0,0.7,,-1.0,34.0,3.0,0.3,-1.0,-0.3,0.0,1.0,False,True,False,True,False,,,True,,False,True,False,True,,False,False,False,True,False,True,True,False
Idaho,91,93.6,91.0,135.0,104.5,102.0,93.4,128.0,97.6,,95.4,84.0,177.1,108.3,88.0,88.9,,85.0,82.0,128.0,90.4,95.0,83.5,92.1,91.0,2.6,0.0,44.0,13.5,11.0,2.4,37.0,6.6,,4.4,-7.0,86.1,17.3,-3.0,-2.1,,-6.0,-9.0,37.0,-0.6,4.0,-7.5,1.1,0.0,False,False,False,True,False,False,,False,False,False,False,False,True,,False,False,False,True,False,False,True,True
Illinois,6873,7449.7,6993.6,8518.0,7011.6,6959.0,6165.2,6863.9,6021.1,,6245.4,7346.0,7793.7,6545.7,6884.0,7476.7,7163.0,8421.0,6928.0,6547.0,7400.5,6624.0,6362.2,6787.1,6866.5,576.7,120.6,1645.0,138.6,86.0,-707.8,-9.1,-851.9,,-627.6,473.0,920.7,-327.3,11.0,603.7,290.0,1548.0,55.0,-326.0,527.5,-249.0,-510.8,-85.9,-6.5,False,True,True,False,True,False,,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True
Indiana,2616,2743.4,2608.5,3136.0,2715.6,2746.0,2332.8,2995.9,2320.1,,2291.6,2770.0,3169.2,2696.7,2576.0,2856.7,2767.0,2801.5,2448.0,2489.0,2537.2,2726.0,2415.7,2510.3,2818.6,127.4,-7.5,520.0,99.6,130.0,-283.2,379.9,-295.9,,-324.4,154.0,553.2,80.7,-40.0,240.7,151.0,185.5,-168.0,-127.0,-78.8,110.0,-200.3,-105.7,202.6,False,True,False,False,False,False,,False,False,False,True,True,False,False,False,False,True,True,True,False,True,False
Iowa,704,839.7,772.2,929.0,895.1,907.0,625.8,972.7,792.5,,902.0,655.0,1151.8,815.4,728.0,1018.0,,875.5,1059.0,801.0,737.2,796.0,597.5,852.9,927.9,135.7,68.2,225.0,191.1,203.0,-78.2,268.7,88.5,,198.0,-49.0,447.8,111.4,24.0,314.0,,171.5,355.0,97.0,33.2,92.0,-106.5,148.9,223.9,False,False,False,True,False,True,,False,True,False,True,True,False,,False,False,True,True,True,True,False,False
Kansas,268,253.6,245.0,389.0,280.7,334.0,259.3,285.4,239.6,,226.0,293.0,465.9,234.7,258.0,242.6,,249.5,245.0,245.0,277.2,236.0,229.0,234.7,260.5,-14.4,-23.0,121.0,12.7,66.0,-8.7,17.4,-28.4,,-42.0,25.0,197.9,-33.3,-10.0,-25.4,,-18.5,-23.0,-23.0,9.2,-32.0,-39.0,-33.3,-7.5,False,True,False,True,False,False,,False,False,False,False,True,False,,False,False,False,True,False,False,False,True
Kentucky,554,585.3,551.1,588.0,625.5,646.0,461.7,765.2,,,520.0,498.0,820.8,546.7,548.0,547.8,512.0,530.0,502.0,765.0,660.8,648.0,551.6,541.1,570.2,31.3,-2.9,34.0,71.5,92.0,-92.3,211.2,,,-34.0,-56.0,266.8,-7.3,-6.0,-6.2,-42.0,-24.0,-52.0,211.0,106.8,94.0,-2.4,-12.9,16.2,False,False,False,False,False,,,False,False,False,True,True,True,False,True,False,False,False,False,True,True,True
Louisiana,3190,3176.7,3091.3,3549.0,3128.1,3067.0,2952.6,3309.7,3028.4,,2926.6,3008.0,3306.2,3366.8,2909.0,3004.3,,3258.0,2966.0,3599.0,3146.2,3164.0,1911.4,2960.7,3225.0,-13.3,-98.7,359.0,-61.9,-123.0,-237.4,119.7,-161.6,,-263.4,-182.0,116.2,176.8,-281.0,-185.7,,68.0,-224.0,409.0,-43.8,-26.0,-1278.6,-229.3,35.0,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
Maine,104,131.4,122.0,128.0,127.7,192.0,99.3,117.4,142.3,,132.9,127.0,154.1,112.5,132.0,108.1,,88.0,843.0,155.0,98.8,155.0,130.0,117.7,105.3,27.4,18.0,24.0,23.7,88.0,-4.7,13.4,38.3,,28.9,23.0,50.1,8.5,28.0,4.1,,-16.0,739.0,51.0,-5.2,51.0,26.0,13.7,1.3,True,True,False,True,True,False,,False,True,False,True,False,True,,True,False,False,True,False,True,True,True
Maryland,3157,3515.6,3297.8,3645.0,3530.2,3735.0,2964.0,3949.7,,,2823.4,3537.0,3743.9,3318.5,3497.0,3266.6,,3303.5,3616.0,3093.0,3667.0,3430.0,3181.6,3279.9,3508.6,358.6,140.8,488.0,373.2,578.0,-193.0,792.7,,,-333.6,380.0,586.9,161.5,340.0,109.6,,146.5,459.0,-64.0,510.0,273.0,24.6,122.9,351.6,False,False,False,True,False,,,True,False,False,True,True,True,,True,False,True,False,True,True,True,True
Massachusetts,8041,8674.3,8269.5,8645.0,8031.8,7816.0,7364.8,8415.6,,,8381.0,8456.0,8117.3,7910.0,7740.0,8355.8,,8177.0,7314.0,7494.0,8182.5,7614.0,7217.2,8092.7,7978.3,633.3,228.5,604.0,-9.2,-225.0,-676.2,374.6,,,340.0,415.0,76.3,-131.0,-301.0,314.8,,136.0,-727.0,-547.0,141.5,-427.0,-823.8,51.7,-62.7,True,True,True,False,True,,,True,True,True,True,True,True,,True,False,True,True,True,False,True,True
Michigan,6153,6505.4,6280.8,6565.0,6166.1,5909.0,5759.6,6531.6,6338.5,,5869.9,5983.0,6581.6,6534.5,5806.0,5949.6,5075.5,5741.0,5874.0,6700.0,6139.6,6224.0,5221.3,5941.4,6080.3,592.4,367.8,652.0,253.1,-4.0,-153.4,618.6,425.5,,-43.1,70.0,668.6,621.5,-107.0,36.6,-837.5,-172.0,-39.0,787.0,226.6,311.0,-691.7,28.4,167.3,False,True,True,True,False,True,,True,True,False,False,True,True,False,True,True,False,True,True,False,True,True
Minnesota,1452,1713.4,1566.5,1965.0,1823.3,2080.0,1508.9,1941.7,1596.8,,1525.9,1806.0,2060.6,1565.7,1952.0,1822.4,2024.5,1546.0,1339.0,2061.0,1567.7,1850.0,1338.1,1651.4,1725.0,261.4,114.5,513.0,371.3,628.0,56.9,489.7,144.8,,73.9,354.0,608.6,113.7,500.0,370.4,572.5,94.0,-113.0,609.0,115.7,398.0,-113.9,199.4,273.0,False,False,False,True,False,True,,True,False,False,True,False,False,False,True,True,False,True,False,True,True,False
Mississippi,1035,1154.4,1061.3,1150.0,1199.8,1274.0,803.6,1222.6,1190.2,,919.6,814.0,1275.6,1137.6,1091.0,1208.8,,1291.5,997.0,981.0,972.0,1262.0,1037.3,1217.5,1228.5,119.4,26.3,115.0,164.8,239.0,-231.4,187.6,155.2,,-115.4,-221.0,240.6,102.6,56.0,173.8,,256.5,-38.0,-54.0,-63.0,227.0,2.3,182.5,193.5,True,False,False,False,False,False,,True,False,False,True,True,False,,False,True,True,True,False,True,False,False
Missouri,1014,1123.1,1046.3,1009.0,1169.2,1275.0,779.4,1211.2,1185.0,,929.8,1021.0,1437.7,1033.0,1017.0,1052.5,,1125.5,1133.0,1100.0,1140.4,1318.0,910.3,1101.6,1170.1,147.1,70.3,33.0,193.2,299.0,-196.6,235.2,209.0,,-46.2,45.0,461.7,57.0,41.0,76.5,,149.5,157.0,124.0,164.4,342.0,-65.7,125.6,194.1,True,False,False,False,False,False,,True,True,False,True,True,True,,False,False,True,False,False,True,True,False
Montana,22,20.9,20.0,26.0,24.2,17.0,17.9,22.3,26.2,,16.0,17.0,72.4,25.8,17.0,18.5,,16.0,26.0,30.0,19.5,29.0,15.2,19.9,19.2,-1.1,-2.0,4.0,2.2,-5.0,-4.1,0.3,4.2,,-6.0,-5.0,50.4,3.8,-5.0,-3.5,,-6.0,4.0,8.0,-2.5,7.0,-6.8,-2.1,-2.8,False,False,False,False,True,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
Nebraska,267,258.7,239.1,417.0,331.3,547.0,258.4,420.1,250.0,,330.8,327.0,512.0,242.7,238.0,285.3,,273.0,231.0,393.0,272.4,262.0,188.4,264.8,295.6,-8.3,-27.9,150.0,64.3,280.0,-8.6,153.1,-17.0,,63.8,60.0,245.0,-24.3,-29.0,18.3,,6.0,-36.0,126.0,5.4,-5.0,-78.6,-2.2,28.6,False,False,False,False,False,False,,False,False,False,False,False,False,,True,False,False,True,True,False,True,False
Nevada,500,559.7,528.1,581.0,535.8,561.0,453.8,627.3,,,608.8,595.0,615.5,515.7,506.0,500.7,,536.0,505.0,515.0,527.4,527.0,488.5,499.8,528.5,59.7,28.1,81.0,35.8,61.0,-46.2,127.3,,,108.8,95.0,115.5,15.7,6.0,0.7,,36.0,5.0,15.0,27.4,27.0,-11.5,-0.2,28.5,False,True,False,True,False,,,False,False,False,True,True,True,,True,True,True,True,True,True,True,True
New Hampshire,367,383.9,353.1,410.0,384.7,330.0,245.1,332.5,360.4,,330.4,272.0,439.1,384.9,420.0,432.8,,359.5,364.0,308.0,356.7,313.0,320.5,405.7,408.3,16.9,-13.9,43.0,17.7,-37.0,-121.9,-34.5,-6.6,,-36.6,-95.0,72.1,17.9,53.0,65.8,,-7.5,-3.0,-59.0,-10.3,-54.0,-46.5,38.7,41.3,False,False,False,False,False,True,,False,False,False,False,False,False,,True,True,False,True,False,False,False,False
New Jersey,14948,13858.0,13379.7,14672.0,13046.1,12695.0,12249.9,13158.5,,,12504.4,13260.0,12918.5,13597.9,12629.0,13072.7,,13604.5,13045.0,12752.0,13323.2,13086.0,11589.7,12663.4,13130.3,-1090.0,-1568.3,-276.0,-1901.9,-2253.0,-2698.1,-1789.5,,,-2443.6,-1688.0,-2029.5,-1350.1,-2319.0,-1875.3,,-1343.5,-1903.0,-2196.0,-1624.8,-1862.0,-3358.3,-2284.6,-1817.7,True,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
New Mexico,491,506.4,473.1,623.0,509.2,475.0,382.0,601.5,532.9,,501.8,438.0,556.0,474.7,489.0,545.9,,514.0,517.0,535.0,504.5,468.0,415.5,496.5,515.2,15.4,-17.9,132.0,18.2,-16.0,-109.0,110.5,41.9,,10.8,-53.0,65.0,-16.3,-2.0,54.9,,23.0,26.0,44.0,13.5,-23.0,-75.5,5.5,24.2,False,False,False,False,False,False,,True,False,False,False,True,False,,False,False,False,True,False,False,True,False
New York,31938,32264.1,31715.0,36160.0,31115.6,31407.0,31240.8,31579.2,,,31170.8,32572.0,30713.4,31791.9,30330.0,30751.2,,29482.0,29639.0,30874.0,30997.6,30954.0,28772.0,30518.8,31277.8,1031.1,482.0,4927.0,-117.4,174.0,7.8,346.2,,,-62.2,1339.0,-519.6,558.9,-903.0,-481.8,,-1751.0,-1594.0,-359.0,-235.4,-279.0,-2461.0,-714.2,44.8,False,True,True,True,True,,,True,False,True,True,True,True,,False,False,True,True,True,False,True,True
North Carolina,1353,1527.1,1396.5,1636.0,1864.6,3687.0,1135.8,1475.8,,,1319.1,1138.0,2182.2,1594.7,1777.0,1387.7,,1432.5,1092.0,1925.0,1429.6,1915.0,1664.5,1376.0,1451.0,174.1,43.5,283.0,511.6,2334.0,-217.2,122.8,,,-33.9,-215.0,829.2,241.7,424.0,34.7,,79.5,-261.0,572.0,76.6,562.0,311.5,23.0,98.0,False,False,False,False,True,,,True,False,False,False,False,True,,True,False,False,True,False,False,True,True
North Dakota,78,91.9,85.0,107.0,104.1,101.0,77.0,144.0,77.1,,81.8,134.0,152.7,73.1,95.0,100.1,,82.0,552.0,93.0,79.3,79.0,81.7,122.2,103.4,13.9,7.0,29.0,26.1,23.0,-1.0,66.0,-0.9,,3.8,56.0,74.7,-4.9,17.0,22.1,,4.0,474.0,15.0,1.3,1.0,3.7,44.2,25.4,False,False,False,True,False,True,,True,False,False,True,False,False,,True,False,False,True,True,True,False,False
Ohio,2804,2872.4,2713.6,3594.0,3071.2,3590.0,2417.1,2996.7,3145.2,,2938.7,2779.0,4113.5,2834.2,2775.0,3045.7,3216.0,2483.5,3066.0,2692.0,2830.0,2766.0,2498.2,2778.9,3060.5,68.4,-90.4,790.0,267.2,786.0,-386.9,192.7,341.2,,134.7,-25.0,1309.5,30.2,-29.0,241.7,412.0,-320.5,262.0,-112.0,26.0,-38.0,-305.8,-25.1,256.5,False,False,False,False,False,False,,False,True,False,True,True,False,False,False,False,False,True,True,False,True,False
Oklahoma,384,422.7,403.1,479.0,422.5,446.0,360.3,458.5,472.9,,358.5,341.0,614.5,364.8,428.0,367.3,,382.0,363.0,449.0,375.7,395.0,411.8,400.4,422.3,38.7,19.1,95.0,38.5,62.0,-23.7,74.5,88.9,,-25.5,-43.0,230.5,-19.2,44.0,-16.7,,-2.0,-21.0,65.0,-8.3,11.0,27.8,16.4,38.3,False,True,False,True,False,False,,True,False,False,True,False,True,,True,True,False,True,True,True,True,True
Oregon,202,172.3,168.0,230.0,199.0,197.0,167.2,248.4,203.3,,168.6,173.0,335.9,185.8,185.0,171.4,,184.0,162.0,212.0,188.8,174.0,190.3,167.0,173.5,-29.7,-34.0,28.0,-3.0,-5.0,-34.8,46.4,1.3,,-33.4,-29.0,133.9,-16.2,-17.0,-30.6,,-18.0,-40.0,10.0,-13.2,-28.0,-11.7,-35.0,-28.5,True,True,True,False,False,True,,False,True,False,True,True,False,,True,False,True,True,True,True,False,True
Pennsylvania,6603,7171.1,6813.3,8043.0,6922.4,6927.0,5913.1,6509.6,,,6277.9,5897.0,8150.6,6719.6,6916.0,7234.7,,7211.0,6568.0,5886.0,6990.8,6717.0,5863.2,6490.9,6805.7,568.1,210.3,1440.0,319.4,324.0,-689.9,-93.4,,,-325.1,-706.0,1547.6,116.6,313.0,631.7,,608.0,-35.0,-717.0,387.8,114.0,-739.8,-112.1,202.7,False,True,True,False,True,,,True,False,False,True,True,False,,False,True,False,True,True,False,True,True
Rhode Island,927,1142.3,1048.3,1048.0,982.4,841.0,733.4,915.6,,,1036.3,925.0,1066.5,916.4,863.0,1135.3,,1154.0,,825.0,890.3,1100.0,630.2,1048.9,1034.2,215.3,121.3,121.0,55.4,-86.0,-193.6,-11.4,,,109.3,-2.0,139.5,-10.6,-64.0,208.3,,227.0,,-102.0,-36.7,173.0,-296.8,121.9,107.2,True,True,True,True,True,,,True,True,True,True,True,True,,False,,True,True,True,False,True,True
South Carolina,711,721.6,671.2,677.0,770.9,983.0,537.3,778.7,722.8,,623.3,576.0,924.1,805.1,711.0,646.9,,646.0,651.0,1106.0,675.7,790.0,694.2,661.7,776.7,10.6,-39.8,-34.0,59.9,272.0,-173.7,67.7,11.8,,-87.7,-135.0,213.1,94.1,0.0,-64.1,,-65.0,-60.0,395.0,-35.3,79.0,-16.8,-49.3,65.7,False,False,False,False,False,False,,False,False,False,False,True,False,,False,False,False,False,False,False,False,False
South Dakota,91,108.3,98.0,147.0,107.4,91.0,82.6,130.1,152.7,,65.8,76.0,183.9,79.8,92.0,101.2,,107.0,76.0,97.0,80.0,99.0,73.1,122.0,110.7,17.3,7.0,56.0,16.4,0.0,-8.4,39.1,61.7,,-25.2,-15.0,92.9,-11.2,1.0,10.2,,16.0,-15.0,6.0,-11.0,8.0,-17.9,31.0,19.7,False,True,True,True,False,False,,False,True,False,True,True,True,,True,True,True,True,True,False,False,False
Tennessee,584,472.0,448.1,764.0,594.3,1250.0,489.0,566.0,612.4,,569.6,529.0,780.8,453.2,491.0,488.5,,468.0,433.0,927.0,435.2,478.0,441.2,456.4,514.9,-112.0,-135.9,180.0,10.3,666.0,-95.0,-18.0,28.4,,-14.4,-55.0,196.8,-130.8,-93.0,-95.5,,-116.0,-151.0,343.0,-148.8,-106.0,-142.8,-127.6,-69.1,False,True,False,True,True,True,,True,True,False,False,True,True,,False,False,False,False,True,False,False,True
Texas,2388,2242.0,2116.5,2714.0,2583.4,3067.0,2082.8,2759.9,,,1931.7,2134.0,3688.2,2515.7,2307.0,2208.9,,2464.0,2164.0,2745.0,2386.6,2360.0,2382.7,2191.5,2567.8,-146.0,-271.5,326.0,195.4,679.0,-305.2,371.9,,,-456.3,-254.0,1300.2,127.7,-81.0,-179.1,,76.0,-224.0,357.0,-1.4,-28.0,-5.3,-196.5,179.8,False,False,False,False,False,,,False,False,False,True,True,False,,True,False,False,True,True,True,False,False
Utah,167,174.7,161.0,275.0,202.3,253.0,172.9,238.2,186.7,,178.7,162.0,302.4,194.5,168.0,179.5,,193.5,155.0,514.0,175.8,196.0,146.7,184.1,196.8,7.7,-6.0,108.0,35.3,86.0,5.9,71.2,19.7,,11.7,-5.0,135.4,27.5,1.0,12.5,,26.5,-12.0,347.0,8.8,29.0,-20.3,17.1,29.8,False,False,False,True,False,False,,False,True,False,False,True,False,,False,False,False,False,False,False,False,False
Vermont,56,58.9,58.0,73.0,60.2,58.0,56.5,68.3,66.1,,56.5,55.0,72.4,59.2,55.0,58.6,,56.0,55.0,61.0,63.5,57.0,54.3,57.5,58.5,2.9,2.0,17.0,4.2,2.0,0.5,12.3,10.1,,0.5,-1.0,16.4,3.2,-1.0,2.6,,0.0,-1.0,5.0,7.5,1.0,-1.7,1.5,2.5,False,False,True,True,False,False,,True,True,False,False,True,True,,True,True,False,False,True,True,True,True
Virginia,1724,2161.9,1987.6,2224.0,2288.9,3493.0,1680.3,2519.4,,,2191.7,1977.0,2426.8,1950.8,2137.0,2088.5,,1824.5,1832.0,2063.0,2100.7,2290.0,2128.5,1941.4,2041.6,437.9,263.6,500.0,564.9,1769.0,-43.7,795.4,,,467.7,253.0,702.8,226.8,413.0,364.5,,100.5,108.0,339.0,376.7,566.0,404.5,217.4,317.6,False,False,False,True,False,,,False,True,False,True,True,True,,True,True,True,True,False,True,True,True
Washington,1310,1337.9,1289.2,1520.0,1298.2,1347.0,1203.0,1307.4,,,1173.4,1296.0,1397.6,1367.8,1224.0,1253.1,,1214.0,1203.0,1868.0,1234.9,1375.0,1214.7,1240.4,1270.3,27.9,-20.8,210.0,-11.8,37.0,-107.0,-2.6,,,-136.6,-14.0,87.6,57.8,-86.0,-56.9,,-96.0,-107.0,558.0,-75.1,65.0,-95.3,-69.6,-39.7,False,True,False,False,True,,,False,True,False,False,False,False,,False,False,False,False,False,False,False,False
