,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Indiana,2351,2618.9,2857.0,2632.9,2587.4,2445.0,2260.6,2503.0,,2594.0,2871.7,2547.5,2757.5,1292.5,2861.5,2599.0,2445.0,2364.7,2427.0,2434.3,2617.0,2734.6,266.9,505.0,280.9,235.4,93.0,-91.4,151.0,,242.0,519.7,195.5,405.5,-1059.5,509.5,247.0,93.0,12.7,75.0,82.3,265.0,382.6,False,False,True,True,True,True,,True,False,True,False,False,False,True,True,True,True,True,True,False
Iowa,650,756.0,796.0,745.9,777.0,754.0,484.9,657.0,784.7,567.0,962.0,717.1,853.3,,692.0,763.0,828.0,642.5,726.0,529.1,874.0,790.2,106.0,146.0,95.9,127.0,104.0,-165.1,7.0,134.7,-83.0,312.0,67.1,203.3,,42.0,113.0,178.0,-7.5,76.0,-120.9,224.0,140.2,False,True,False,True,False,True,False,True,False,True,False,,True,False,False,True,True,False,False,False
Kansas,245,233.6,358.0,235.3,255.4,262.0,250.4,293.0,237.1,290.0,363.7,229.5,237.9,,244.0,279.0,253.0,280.6,223.0,221.2,227.0,239.6,-11.4,113.0,-9.7,10.4,17.0,5.4,48.0,-7.9,45.0,118.7,-15.5,-7.1,,-1.0,34.0,8.0,35.6,-22.0,-23.8,-18.0,-5.4,False,True,True,False,True,False,True,False,False,False,True,,True,False,True,False,False,False,False,True
Kentucky,499,553.9,509.0,562.1,512.9,522.0,421.5,515.0,,463.0,693.1,446.0,494.9,203.5,476.0,,516.0,537.8,460.0,562.4,473.0,503.7,54.9,10.0,63.1,13.9,23.0,-77.5,16.0,,-36.0,194.1,-53.0,-4.1,-295.5,-23.0,,17.0,38.8,-39.0,63.4,-26.0,4.7,True,False,True,True,False,True,,True,False,True,True,False,True,,True,True,True,False,True,True
Louisiana,3004,3262.4,3377.0,3235.7,3046.6,2899.0,2832.3,2826.0,3285.7,3054.0,3124.7,3245.7,2930.7,,3118.0,3109.0,2880.0,3024.3,3040.0,2869.0,2999.0,3096.3,258.4,373.0,231.7,42.6,-105.0,-171.7,-178.0,281.7,50.0,120.7,241.7,-73.3,,114.0,105.0,-124.0,20.3,36.0,-135.0,-5.0,92.3,False,True,True,True,True,True,False,True,True,True,True,,True,True,True,True,True,True,True,True
Maine,100,100.9,117.0,98.0,105.9,130.0,86.8,106.0,124.8,118.0,128.3,116.5,86.3,,86.0,,165.0,89.1,108.0,104.6,96.0,92.3,0.9,17.0,-2.0,5.9,30.0,-13.2,6.0,24.8,18.0,28.3,16.5,-13.7,,-14.0,,65.0,-10.9,8.0,4.6,-4.0,-7.7,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False
Maryland,2926,3091.3,3256.0,3100.9,3043.3,3090.0,2781.2,3329.0,,3130.0,3228.9,2879.5,2954.3,,2918.0,3603.0,3219.0,3081.8,2905.0,3148.2,3005.0,2999.6,165.3,330.0,174.9,117.3,164.0,-144.8,403.0,,204.0,302.9,-46.5,28.3,,-8.0,677.0,293.0,155.8,-21.0,222.2,79.0,73.6,False,False,True,True,True,False,,False,False,True,True,,True,False,False,True,True,False,True,True
Massachusetts,7576,8014.9,9120.0,8101.2,7652.6,7361.0,7071.8,7511.0,,7890.0,7695.5,7657.3,8092.0,,7206.0,7575.0,6687.0,7803.6,7370.0,6863.9,7618.5,7619.5,438.9,1544.0,525.2,76.6,-215.0,-504.2,-65.0,,314.0,119.5,81.3,516.0,,-370.0,-1.0,-889.0,227.6,-206.0,-712.1,42.5,43.5,False,False,True,True,False,True,,True,True,True,False,,True,True,False,True,True,False,True,True
Michigan,6013,6190.9,6553.0,6250.8,5915.9,5824.0,5589.9,5669.0,6423.6,5822.0,6276.7,6009.9,5788.9,10639.5,5420.0,5708.0,5784.0,5908.2,5735.0,5618.6,5662.5,5871.8,415.9,778.0,475.8,140.9,49.0,-185.1,-106.0,648.6,47.0,501.7,234.9,13.9,4864.5,-355.0,-67.0,9.0,133.2,-40.0,-156.4,-112.5,96.8,False,False,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True
Minnesota,1314,1298.0,1718.0,1316.8,1526.0,2058.0,1300.2,2065.0,1467.1,1412.0,1671.4,1334.6,1436.4,1497.5,1276.0,1588.0,2053.0,1334.5,1237.0,1221.6,1350.0,1301.1,-16.0,404.0,2.8,212.0,744.0,-13.8,751.0,153.1,98.0,357.4,20.6,122.4,183.5,-38.0,274.0,739.0,20.5,-77.0,-92.4,36.0,-12.9,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Mississippi,889,922.1,1056.0,934.0,943.5,827.0,861.8,855.0,1111.6,728.0,1023.3,925.7,987.8,,945.0,1000.0,1051.0,810.1,914.0,799.4,972.0,997.8,33.1,167.0,45.0,54.5,-62.0,-27.2,-34.0,222.6,-161.0,134.3,36.7,98.8,,56.0,111.0,162.0,-78.9,25.0,-89.6,83.0,108.8,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,False,True,False,False,False
Missouri,895,931.7,1047.0,946.0,924.2,797.0,737.4,905.0,918.9,951.0,1095.5,892.2,906.2,,1080.0,997.0,992.0,973.0,841.0,786.8,980.0,1004.9,123.7,239.0,138.0,116.2,-11.0,-70.6,97.0,110.9,143.0,287.5,84.2,98.2,,272.0,189.0,184.0,165.0,33.0,-21.2,172.0,196.9,False,False,True,True,True,True,True,False,False,True,True,,False,False,False,False,True,True,False,False
Montana,18,16.0,24.0,17.2,19.5,16.0,16.7,16.0,17.4,16.0,43.8,17.1,17.8,,20.0,70.0,19.0,18.5,16.0,17.4,17.0,17.8,-2.0,6.0,-0.8,1.5,-2.0,-1.3,-2.0,-0.6,-2.0,25.8,-0.9,-0.2,,2.0,52.0,1.0,0.5,-2.0,-0.6,-1.0,-0.2,False,True,True,False,True,False,True,False,False,True,True,,False,False,True,True,False,True,True,True
Nebraska,215,215.6,335.0,219.0,270.2,475.0,220.3,247.0,258.8,309.0,400.7,193.0,256.1,,220.0,,330.0,246.0,200.0,164.1,208.0,239.0,0.6,120.0,4.0,55.2,260.0,5.3,32.0,43.8,94.0,185.7,-22.0,41.1,,5.0,,115.0,31.0,-15.0,-50.9,-7.0,24.0,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False
Nevada,462,465.7,529.0,507.0,488.3,525.0,406.9,454.0,,543.0,562.6,543.3,471.6,,498.0,,677.0,466.1,455.0,467.3,499.0,472.5,3.7,67.0,45.0,26.3,63.0,-55.1,-8.0,,81.0,100.6,81.3,9.6,,36.0,,215.0,4.1,-7.0,5.3,37.0,10.5,False,False,False,False,False,False,,False,False,False,False,,False,,False,False,False,False,False,False
New Hampshire,318,314.7,310.0,319.0,339.8,274.0,199.8,351.0,,281.0,396.9,315.8,401.4,,324.0,372.0,361.0,299.0,294.0,281.1,387.0,330.4,-3.3,-8.0,1.0,21.8,-44.0,-118.2,33.0,,-37.0,78.9,-2.2,83.4,,6.0,54.0,43.0,-19.0,-24.0,-36.9,69.0,12.4,False,True,False,False,False,False,,False,False,True,False,,False,False,False,False,False,False,False,False
New Jersey,14476,13352.3,14701.0,13543.6,12617.2,12039.0,11949.7,12389.0,,12806.0,12616.2,12646.6,12754.5,,12944.5,14211.0,11418.0,12776.0,12402.0,11564.8,12773.0,12910.2,665.3,2014.0,856.6,-69.8,-648.0,-737.3,-298.0,,119.0,-70.8,-40.4,67.5,,257.5,1524.0,-1269.0,89.0,-285.0,-1122.2,86.0,223.2,False,False,True,True,False,True,,True,True,True,True,,True,False,False,True,True,False,True,True
New Mexico,431,465.6,465.0,430.9,458.8,342.0,326.0,471.0,,392.0,486.1,483.4,471.8,,472.0,,479.0,445.7,451.0,424.8,510.0,483.2,34.6,34.0,-0.1,27.8,-89.0,-105.0,40.0,,-39.0,55.1,52.4,40.8,,41.0,,48.0,14.7,20.0,-6.2,79.0,52.2,True,True,True,False,False,False,,False,False,False,False,,False,,False,True,True,True,False,False
New York,31568,31738.1,35041.0,32077.8,30800.8,31057.0,31001.1,30016.0,,31653.0,30325.6,31353.1,30474.0,,28421.0,29448.0,31470.0,31075.8,30553.0,29220.9,30616.5,31018.6,1154.1,4457.0,1493.8,216.8,473.0,417.1,-568.0,,1069.0,-258.4,769.1,-110.0,,-2163.0,-1136.0,886.0,491.8,-31.0,-1363.1,32.5,434.6,False,False,True,True,True,True,,True,True,True,True,,False,True,True,True,True,False,True,True
North Carolina,1127,1064.0,1442.0,1083.9,1232.8,1847.0,911.3,1336.0,,986.0,1440.1,1102.6,1054.1,,1020.0,943.0,1673.0,1155.7,1090.0,1229.3,1036.0,1054.1,-63.0,315.0,-43.1,105.8,720.0,-215.7,209.0,,-141.0,313.1,-24.4,-72.9,,-107.0,-184.0,546.0,28.7,-37.0,102.3,-91.0,-72.9,False,True,False,False,False,False,,False,False,True,False,,False,False,False,True,True,False,False,False
North Dakota,74,81.6,90.0,82.0,96.1,112.0,64.1,82.0,86.6,162.0,136.5,90.8,90.7,,76.0,784.0,82.0,73.5,85.0,83.9,118.0,85.9,7.6,16.0,8.0,22.1,38.0,-9.9,8.0,12.6,88.0,62.5,16.8,16.7,,2.0,710.0,8.0,-0.5,11.0,9.9,44.0,11.9,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,True,False,False,False,False
Ohio,2360,2951.9,2344.0,2993.7,2881.0,2607.0,2402.7,2545.0,,2444.0,3828.4,2714.7,2982.9,776.0,2951.0,,2735.0,2542.8,2763.0,2719.7,3065.5,2914.4,563.9,-44.0,605.7,493.0,219.0,14.7,157.0,,56.0,1440.4,326.7,594.9,-1612.0,563.0,,347.0,154.8,375.0,331.7,677.5,526.4,True,False,True,True,True,True,,True,False,True,False,False,True,,True,True,True,True,False,True
Oklahoma,359,376.7,428.0,380.0,379.1,352.0,332.5,380.0,384.2,339.0,517.2,376.8,345.7,,346.0,,458.0,357.7,366.0,396.7,357.0,370.5,17.7,69.0,21.0,20.1,-7.0,-26.5,21.0,25.2,-20.0,158.2,17.8,-13.3,,-13.0,,99.0,-1.3,7.0,37.7,-2.0,11.5,False,False,False,True,False,False,False,False,False,False,True,,True,,False,True,True,False,True,True
Oregon,173,179.4,248.0,177.0,181.1,177.0,161.7,181.0,209.1,157.0,266.7,166.0,169.0,,173.0,205.0,162.0,181.6,166.0,187.0,168.0,171.1,6.4,75.0,4.0,8.1,4.0,-11.3,8.0,36.1,-16.0,93.7,-7.0,-4.0,,0.0,32.0,-11.0,8.6,-7.0,14.0,-5.0,-1.9,False,True,False,True,False,False,False,False,False,False,True,,True,False,False,False,False,False,True,True
Pennsylvania,6211,6967.4,6597.0,7008.0,6619.4,6057.0,5643.4,6658.0,,5688.0,7282.1,6479.7,7049.4,,7479.5,7696.0,5812.0,6485.9,6313.0,5380.3,6559.0,6641.4,756.4,386.0,797.0,408.4,-154.0,-567.6,447.0,,-523.0,1071.1,268.7,838.4,,1268.5,1485.0,-399.0,274.9,102.0,-830.7,348.0,430.4,True,False,True,True,True,True,,True,False,True,False,,False,False,True,True,True,False,True,True
Rhode Island,906,919.4,859.0,920.9,880.3,736.0,633.4,721.0,1254.5,764.0,950.6,814.5,890.0,,736.0,825.0,750.0,784.7,869.0,608.6,882.0,865.9,162.4,102.0,163.9,123.3,-21.0,-123.6,-36.0,497.5,7.0,193.6,57.5,133.0,,-21.0,68.0,-7.0,27.7,112.0,-148.4,125.0,108.9,True,False,True,True,True,True,False,True,False,True,True,,True,True,True,True,True,True,True,True
South Carolina,599,577.9,594.0,560.0,594.4,575.0,463.3,597.0,,508.0,688.0,607.2,554.7,,570.0,608.0,727.0,573.9,582.0,557.4,586.0,601.5,-21.1,-5.0,-39.0,-4.6,-24.0,-135.7,-2.0,,-91.0,89.0,8.2,-44.3,,-29.0,9.0,128.0,-25.1,-17.0,-41.6,-13.0,2.5,True,False,True,False,False,True,,False,False,True,False,,False,True,False,False,True,False,True,True
South Dakota,75,67.1,124.0,68.0,79.0,66.0,70.5,80.0,71.8,80.0,129.0,78.0,73.4,,53.0,115.0,167.0,64.8,67.0,60.2,83.0,83.2,-7.9,49.0,-7.0,4.0,-9.0,-4.5,5.0,-3.2,5.0,54.0,3.0,-1.6,,-22.0,40.0,92.0,-10.2,-8.0,-14.8,8.0,8.2,False,True,True,False,True,True,True,True,False,True,True,,False,False,False,False,False,False,False,False
Tennessee,472,444.6,644.0,431.0,458.4,574.0,421.3,434.0,433.8,468.0,592.6,425.3,436.3,,412.0,,743.0,395.4,446.0,428.6,446.0,438.0,-27.4,172.0,-41.0,-13.6,102.0,-50.7,-38.0,-38.2,-4.0,120.6,-46.7,-35.7,,-60.0,,271.0,-76.6,-26.0,-43.4,-26.0,-34.0,False,False,True,False,False,False,False,True,False,False,False,,False,,False,False,True,False,True,False
Texas,2211,2056.6,2678.0,1957.8,2172.0,2261.0,1834.2,1938.0,2047.8,2236.0,3087.2,1942.7,1954.9,,2327.0,2369.0,1567.0,2105.8,2033.0,2119.6,2237.0,2268.2,0.6,622.0,-98.2,116.0,205.0,-221.8,-118.0,-8.2,180.0,1031.2,-113.3,-101.1,,271.0,313.0,-489.0,49.8,-23.0,63.6,181.0,212.2,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
Utah,139,145.6,225.0,154.0,160.7,186.0,135.6,131.0,248.6,111.0,224.2,136.9,154.8,,150.0,203.0,313.0,140.8,138.0,133.0,158.0,153.8,6.6,86.0,15.0,21.7,47.0,-3.4,-8.0,109.6,-28.0,85.2,-2.1,15.8,,11.0,64.0,174.0,1.8,-1.0,-6.0,19.0,14.8,False,False,False,False,True,False,False,False,False,True,False,,False,False,False,True,True,True,False,False
Vermont,55,54.0,71.0,58.8,59.1,54.0,55.7,55.0,58.5,54.0,67.1,56.5,58.7,,60.0,,58.0,62.7,55.0,56.2,57.0,59.4,-1.0,16.0,3.8,4.1,-1.0,0.7,0.0,3.5,-1.0,12.1,1.5,3.7,,5.0,,3.0,7.7,0.0,1.2,2.0,4.4,False,False,False,False,True,True,False,False,False,False,False,,False,,False,False,True,False,False,False
Virginia,1541,1631.0,1942.0,1627.0,1680.6,1993.0,1386.0,1750.0,1655.1,1552.0,2079.5,1453.5,1592.8,,1502.5,1817.0,1687.0,1587.7,1578.0,1753.7,1602.0,1575.7,90.0,401.0,86.0,139.6,452.0,-155.0,209.0,114.1,11.0,538.5,-87.5,51.8,,-38.5,276.0,146.0,46.7,37.0,212.7,61.0,34.7,False,True,False,False,False,False,False,True,False,True,True,,True,False,False,True,True,False,True,True
Washington,1207,1232.4,1401.0,1203.0,1188.1,1172.0,1125.4,1137.0,,1212.0,1299.0,1232.3,1166.0,,1172.0,1200.0,1209.0,1172.2,1189.0,1160.0,1168.5,1190.5,48.4,217.0,19.0,4.1,-12.0,-58.6,-47.0,,28.0,115.0,48.3,-18.0,,-12.0,16.0,25.0,-11.8,5.0,-24.0,-15.5,6.5,False,True,True,True,False,True,,True,False,True,True,,True,True,True,True,True,True,True,True
West Virginia,88,86.3,105.0,96.0,104.2,88.0,77.0,87.0,107.8,75.0,189.0,133.1,91.5,,88.0,119.0,192.0,95.7,95.0,92.8,89.0,88.6,-1.7,17.0,8.0,16.2,0.0,-11.0,-1.0,19.8,-13.0,101.0,45.1,3.5,,0.0,31.0,104.0,7.7,7.0,4.8,1.0,0.6,False,False,False,True,False,True,False,False,False,False,False,,True,False,False,False,False,False,True,True
Wisconsin,734,672.9,875.0,668.9,723.8,846.0,586.3,785.0,803.0,706.0,870.7,691.3,631.5,483.0,648.0,667.0,1065.0,658.9,692.0,765.8,647.0,636.1,-7.1,195.0,-11.1,43.8,166.0,-93.7,105.0,123.0,26.0,190.7,11.3,-48.5,-197.0,-32.0,-13.0,385.0,-21.1,12.0,85.8,-33.0,-43.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Wyoming,18,23.4,23.0,27.0,19.3,13.0,14.2,14.0,23.5,12.0,38.7,15.6,21.3,,8.0,0.0,25.0,13.3,17.0,21.1,27.0,18.0,5.4,5.0,9.0,1.3,-5.0,-3.8,-4.0,5.5,-6.0,20.7,-2.4,3.3,,-10.0,-18.0,7.0,-4.7,-1.0,3.1,9.0,-0.0,True,False,True,True,True,True,False,False,False,True,True,,False,False,False,True,True,True,False,True
US,118287,121028.6,,122089.4,117606.9,117588.0,108334.1,115939.0,115838.4,116660.0,128522.4,116356.7,115405.5,,114899.0,,122429.0,115390.2,114894.0,109943.5,118018.5,118896.4,6313.6,,7374.4,2891.9,2873.0,-6380.9,1224.0,1123.4,1945.0,13807.4,1641.7,690.5,,184.0,,7714.0,675.2,179.0,-4771.5,3303.5,4181.4,,False,True,True,False,True,True,True,False,True,True,,True,,False,True,True,True,True,True
