,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Louisiana,25012,30288.0,32382.0,,41593.4,20959.0,20660.1,12363.0,29417.0,36544.0,22751.5,35119.4,41834.3,29616.2,32556.0,,53586.4,36332.3,,27465.7,28893.0,5276.0,7370.0,,16581.4,-4053.0,-4351.9,-12649.0,4405.0,11532.0,-2260.5,10107.4,16822.3,4604.2,7544.0,,28574.4,11320.3,,2453.7,3881.0,False,,False,True,True,False,True,False,True,False,False,True,False,,False,False,,True,True
Maine,238,290.0,265.0,,209.3,159.0,270.7,150.7,782.3,149.0,539.4,215.2,214.6,306.6,274.0,,268.8,345.4,347.5,378.3,318.0,52.0,27.0,,-28.7,-79.0,32.7,-87.3,544.3,-89.0,301.4,-22.8,-23.4,68.6,36.0,,30.8,107.4,109.5,140.3,80.0,True,,True,False,True,False,False,False,False,True,True,False,True,,True,False,False,False,False
Maryland,11527,11696.0,10022.0,,10066.5,5428.0,8074.0,6667.3,15625.9,9312.0,9280.9,13708.2,9951.5,12693.4,18846.0,,7827.9,16836.9,,14615.0,13444.0,169.0,-1505.0,,-1460.5,-6099.0,-3453.0,-4859.7,4098.9,-2215.0,-2246.1,2181.2,-1575.5,1166.4,7319.0,,-3699.1,5309.9,,3088.0,1917.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Massachusetts,4156,4060.0,4058.0,,3645.1,201.0,3362.8,2142.6,25873.9,3947.0,6075.7,4390.6,3616.7,5107.3,5544.0,,2679.8,5895.1,,6659.9,4490.0,-96.0,-98.0,,-510.9,-3955.0,-793.2,-2013.4,21717.9,-209.0,1919.7,234.6,-539.3,951.3,1388.0,,-1476.2,1739.1,,2503.9,334.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Michigan,10569,8568.0,11394.0,,12808.7,3483.0,8225.9,4366.2,15945.9,12759.0,19416.3,18394.9,9636.1,11806.7,11794.0,,7042.4,10657.2,,10480.8,9214.0,-2001.0,825.0,,2239.7,-7086.0,-2343.1,-6202.8,5376.9,2190.0,8847.3,7825.9,-932.9,1237.7,1225.0,,-3526.6,88.2,,-88.2,-1355.0,True,,False,False,False,False,False,False,False,False,True,True,True,,False,True,,True,True
Minnesota,9810,9642.0,9546.0,,9545.6,3419.0,7288.7,5084.1,5944.4,9742.0,9907.8,12678.8,9993.8,10509.0,12318.0,,,12785.2,9633.9,14042.5,10791.0,-168.0,-264.0,,-264.4,-6391.0,-2521.3,-4725.9,-3865.6,-68.0,97.8,2868.8,183.8,699.0,2508.0,,,2975.2,-176.1,4232.5,981.0,False,,False,False,False,False,False,True,True,False,False,False,False,,,False,False,False,False
Mississippi,15665,18270.0,18898.0,,20232.0,13718.0,12524.4,10256.1,23743.4,15400.0,13977.0,21391.2,16082.6,19689.7,27509.0,,25254.0,18785.4,18209.9,20740.9,16873.0,2605.0,3233.0,,4567.0,-1947.0,-3140.6,-5408.9,8078.4,-265.0,-1688.0,5726.2,417.6,4024.7,11844.0,,9589.0,3120.4,2544.9,5075.9,1208.0,False,,False,True,False,False,False,True,True,False,True,False,False,,False,False,True,False,True
Missouri,16987,16660.0,16324.0,,19270.9,13071.0,10523.0,12353.9,9144.8,12906.0,16070.3,17924.0,16599.0,19710.3,26906.0,,27467.8,18699.8,14507.1,24181.5,18356.0,-327.0,-663.0,,2283.9,-3916.0,-6464.0,-4633.1,-7842.2,-4081.0,-916.7,937.0,-388.0,2723.3,9919.0,,10480.8,1712.8,-2479.9,7194.5,1369.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Montana,1630,1576.0,1523.0,,3260.6,863.0,1226.7,1007.2,1585.1,1608.0,1949.0,1145.0,1713.3,1797.2,2696.0,,1451.1,1980.8,,2037.9,1416.0,-54.0,-107.0,,1630.6,-767.0,-403.3,-622.8,-44.9,-22.0,319.0,-485.0,83.3,167.2,1066.0,,-178.9,350.8,,407.9,-214.0,False,,False,False,False,False,True,True,False,False,False,False,False,,False,False,,False,False
Nebraska,3850,3828.0,3318.0,,3484.8,1043.0,3218.6,1699.1,985.1,3315.0,4169.0,2086.1,3231.4,4212.3,5455.0,,2981.8,4344.8,,4568.4,3852.0,-22.0,-532.0,,-365.2,-2807.0,-631.4,-2150.9,-2864.9,-535.0,319.0,-1763.9,-618.6,362.3,1605.0,,-868.2,494.8,,718.4,2.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,True
Nevada,13603,14678.0,13983.0,,21234.8,14290.0,11702.1,6510.4,21223.9,14522.0,12474.2,24865.2,13164.9,13639.8,18556.0,,14243.9,14853.0,,11801.3,12945.0,1075.0,380.0,,7631.8,687.0,-1900.9,-7092.6,7620.9,919.0,-1128.8,11262.2,-438.1,36.8,4953.0,,640.9,1250.0,,-1801.7,-658.0,True,,False,True,False,False,False,True,False,False,True,True,False,,True,False,,False,True
New Hampshire,403,454.0,367.0,,214.2,67.0,352.7,308.3,999.5,337.0,729.4,159.7,378.9,501.4,648.0,,240.2,505.3,345.2,606.8,473.0,51.0,-36.0,,-188.8,-336.0,-50.3,-94.7,596.5,-66.0,326.4,-243.3,-24.1,98.4,245.0,,-162.8,102.3,-57.8,203.8,70.0,True,,False,False,True,False,False,False,False,False,True,False,False,,False,False,False,False,False
New Jersey,5571,4088.0,4250.0,,3503.8,208.0,3415.0,2540.0,37923.5,5066.0,5764.6,1999.8,4716.7,6150.8,5560.0,,4005.7,3843.3,,4530.4,5210.0,-1483.0,-1321.0,,-2067.2,-5363.0,-2156.0,-3031.0,32352.5,-505.0,193.6,-3571.2,-854.3,579.8,-11.0,,-1565.3,-1727.7,,-1040.6,-361.0,True,,False,False,False,False,False,True,True,False,True,True,True,,False,False,,True,True
New Mexico,3327,4104.0,4285.0,,4858.6,2271.0,3722.7,2193.3,6348.7,3754.0,5960.2,4987.8,3554.5,4298.3,5072.0,,4545.8,4617.3,3834.1,4194.5,3823.0,777.0,958.0,,1531.6,-1056.0,395.7,-1133.7,3021.7,427.0,2633.2,1660.8,227.5,971.3,1745.0,,1218.8,1290.3,507.1,867.5,496.0,False,,False,False,True,False,False,True,False,False,True,False,False,,False,False,True,False,True
New York,9145,9790.0,9006.0,,9103.2,499.0,6653.4,5205.2,43995.2,7188.0,24309.3,10794.1,7449.5,10179.3,11195.0,,6197.9,9655.9,,9444.4,9498.0,645.0,-139.0,,-41.8,-8646.0,-2491.6,-3939.8,34850.2,-1957.0,15164.3,1649.1,-1695.5,1034.3,2050.0,,-2947.1,510.9,,299.4,353.0,True,,True,False,False,False,False,False,False,False,False,False,False,,False,True,,True,True
North Carolina,24100,26658.0,27684.0,,29271.4,32692.0,18686.0,13926.8,28570.9,29875.0,34564.8,32764.3,20304.9,24414.2,29244.0,,26632.0,27737.1,34555.9,23897.0,22925.0,2558.0,3584.0,,5171.4,8592.0,-5414.0,-10173.2,4470.9,5775.0,10464.8,8664.3,-3795.1,314.2,5144.0,,2532.0,3637.1,10455.9,-203.0,-1175.0,False,,False,False,False,False,False,False,False,False,False,True,False,,True,False,False,True,True
North Dakota,1772,1658.0,1617.0,,2073.4,651.0,1364.4,897.0,1174.1,1304.0,1757.0,1269.4,1732.6,1831.7,2736.0,,1967.1,2196.2,,2167.9,1820.0,-114.0,-155.0,,301.4,-1121.0,-407.6,-875.0,-597.9,-468.0,-15.0,-502.6,-39.4,59.7,964.0,,195.1,424.2,,395.9,48.0,False,,False,False,False,False,False,False,True,False,True,True,False,,False,False,,False,True
Ohio,16785,18726.0,16780.0,,27066.2,11211.0,15168.9,9931.9,13464.7,16775.0,31876.1,21453.7,13822.5,16932.9,23147.0,,15398.1,19513.7,15227.8,16954.1,17079.0,1941.0,-5.0,,10281.2,-5574.0,-1616.1,-6853.1,-3320.3,-10.0,15091.1,4668.7,-2962.5,147.9,6362.0,,-1386.9,2728.7,-1557.2,169.1,294.0,True,,False,False,True,False,False,True,False,False,False,True,False,,True,False,True,True,True
Oklahoma,12999,10048.0,13056.0,,13173.6,8734.0,9220.8,6621.7,13595.9,12502.0,18074.9,12907.0,16511.5,13643.1,14992.0,,21654.9,9895.5,,19652.0,12789.0,-2951.0,57.0,,174.6,-4265.0,-3778.2,-6377.3,596.9,-497.0,5075.9,-92.0,3512.5,644.1,1993.0,,8655.9,-3103.5,,6653.0,-210.0,True,,True,False,False,False,True,True,False,True,False,True,True,,False,False,,False,True
Oregon,4518,3910.0,4747.0,,5391.0,4499.0,3660.2,1392.2,6220.4,4215.0,9124.8,5850.2,5290.7,4482.3,3787.0,,4005.7,4880.6,,4503.0,4343.0,-608.0,229.0,,873.0,-19.0,-857.8,-3125.8,1702.4,-303.0,4606.8,1332.2,772.7,-35.7,-731.0,,-512.3,362.6,,-15.0,-175.0,True,,False,True,False,False,False,True,False,False,False,True,False,,True,True,,True,True
Pennsylvania,11550,12670.0,13554.0,,15319.2,1405.0,9996.2,6794.5,16197.0,10518.0,19022.8,17434.0,9092.4,13663.1,15554.0,,9730.9,14656.3,6001.8,13444.9,12629.0,1120.0,2004.0,,3769.2,-10145.0,-1553.8,-4755.5,4647.0,-1032.0,7472.8,5884.0,-2457.6,2113.1,4004.0,,-1819.1,3106.3,-5548.2,1894.9,1079.0,False,,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,True
Rhode Island,1514,862.0,759.0,,934.5,54.0,777.0,419.6,1647.9,2013.0,79.6,378.5,471.5,724.5,1022.0,,933.1,793.5,563.3,852.8,565.0,-652.0,-755.0,,-579.5,-1460.0,-737.0,-1094.4,133.9,499.0,-1434.4,-1135.5,-1042.5,-789.5,-492.0,,-580.9,-720.5,-950.7,-661.2,-949.0,False,,True,False,False,False,True,True,False,False,False,False,True,,True,False,False,False,False
South Carolina,19452,24792.0,22550.0,,34113.9,27202.0,18719.4,10526.0,30010.8,22527.0,25224.5,29200.0,16509.0,19445.4,23758.0,,19400.4,23737.7,27513.4,16492.3,17901.0,5340.0,3098.0,,14661.9,7750.0,-732.6,-8926.0,10558.8,3075.0,5772.5,9748.0,-2943.0,-6.6,4306.0,,-51.6,4285.7,8061.4,-2959.7,-1551.0,True,,False,False,True,False,False,True,False,False,True,True,True,,True,True,False,True,True
South Dakota,1172,886.0,917.0,,723.7,506.0,981.9,463.8,1808.9,633.0,1076.4,790.0,904.1,1211.4,1062.0,,661.3,1017.1,,1318.4,1006.0,-286.0,-255.0,,-448.3,-666.0,-190.1,-708.2,636.9,-539.0,-95.6,-382.0,-267.9,39.4,-110.0,,-510.7,-154.9,,146.4,-166.0,True,,False,False,True,False,False,False,True,False,True,True,True,,False,True,,True,True
Tennessee,29789,28920.0,31172.0,,44856.8,30556.0,21249.7,13558.1,24707.8,24225.0,27243.7,52419.0,40347.5,33329.2,39764.0,,50453.3,30398.3,38504.9,30695.9,31293.0,-869.0,1383.0,,15067.8,767.0,-8539.3,-16230.9,-5081.2,-5564.0,-2545.3,22630.0,10558.5,3540.2,9975.0,,20664.3,609.3,8715.9,906.9,1504.0,False,,False,True,False,False,False,False,False,False,False,False,False,,False,True,False,False,False
Texas,107346,126360.0,120363.0,,215998.6,151405.0,87002.7,57474.6,446788.5,173290.0,122763.4,147606.6,52440.7,98495.0,143869.0,,93093.3,127724.4,174688.4,75572.0,88232.0,19014.0,13017.0,,108652.6,44059.0,-20343.3,-49871.4,339442.5,65944.0,15417.4,40260.6,-54905.3,-8851.0,36523.0,,-14252.7,20378.4,67342.4,-31774.0,-19114.0,True,,False,False,False,False,False,False,True,False,False,True,False,,True,False,False,False,False
Utah,6128,8582.0,7683.0,,9542.8,10279.0,6294.4,4442.7,13723.7,7173.0,9641.3,10068.7,5973.6,6959.2,8710.0,,7095.0,9036.6,11140.0,5326.6,6929.0,2454.0,1555.0,,3414.8,4151.0,166.4,-1685.3,7595.7,1045.0,3513.3,3940.7,-154.4,831.2,2582.0,,967.0,2908.6,5012.0,-801.4,801.0,True,,False,False,True,True,False,True,False,False,True,True,False,,True,False,False,True,True
Vermont,58,116.0,87.0,,91.2,11.0,87.7,57.3,2.9,70.0,341.2,152.0,72.6,112.1,110.0,,61.1,128.2,,127.8,92.0,58.0,29.0,,33.2,-47.0,29.7,-0.7,-55.1,12.0,283.2,94.0,14.6,54.1,52.0,,3.1,70.2,,69.8,34.0,True,,True,True,True,True,True,True,False,False,True,True,True,,True,False,,False,True
Virginia,15580,14472.0,13999.0,,14203.4,7301.0,11079.8,7639.8,9424.6,14129.0,16542.2,23611.9,12463.7,15126.2,20418.0,,12993.1,19000.9,11686.0,15585.3,4802.0,-1108.0,-1581.0,,-1376.6,-8279.0,-4500.2,-7940.2,-6155.4,-1451.0,962.2,8031.9,-3116.3,-453.8,4838.0,,-2586.9,3420.9,-3894.0,5.3,-10778.0,False,,False,False,False,False,False,False,True,False,False,True,False,,False,False,False,True,False
Washington,10674,11646.0,11683.0,,14004.5,10658.0,7665.8,5954.4,21107.7,11183.0,13842.3,17993.6,10075.0,12043.4,14664.0,,11639.5,12441.6,,10699.3,11313.0,972.0,1009.0,,3330.5,-16.0,-3008.2,-4719.6,10433.7,509.0,3168.3,7319.6,-599.0,1369.4,3990.0,,965.5,1767.6,,25.3,639.0,False,,False,True,False,False,False,True,False,False,True,False,False,,True,False,,True,True
West Virginia,1788,1762.0,1813.0,,2916.3,1417.0,1928.0,1039.1,370.1,977.0,2487.6,2021.9,1872.8,1778.6,2419.0,,2542.0,2076.2,,2268.4,1873.0,-26.0,25.0,,1128.3,-371.0,140.0,-748.9,-1417.9,-811.0,699.6,233.9,84.8,-9.4,631.0,,754.0,288.2,,480.4,85.0,True,,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False
Wisconsin,12063,12770.0,13182.0,,15599.0,7553.0,9410.4,6872.0,3697.1,10031.0,17112.6,21569.5,12140.9,13066.0,17630.0,,15546.1,13603.1,12775.4,14771.3,12688.0,707.0,1119.0,,3536.0,-4510.0,-2652.6,-5191.0,-8365.9,-2032.0,5049.6,9506.5,77.9,1003.0,5567.0,,3483.1,1540.1,712.4,2708.3,625.0,False,,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,True
Wyoming,569,676.0,684.0,,787.9,424.0,596.2,351.9,5.4,432.0,920.4,916.7,570.4,667.2,854.0,,864.9,836.4,,704.4,643.0,107.0,115.0,,218.9,-145.0,27.2,-217.1,-563.6,-137.0,351.4,347.7,1.4,98.2,285.0,,295.9,267.4,,135.4,74.0,False,,False,False,True,False,False,False,False,False,True,True,False,,False,False,,False,True
US,818245,933216.0,923160.0,828348.0,1266081.6,827852.0,677433.8,485117.7,1587130.5,952906.0,966942.1,1237982.9,704436.4,1106550.7,1115041.0,878079.5,884557.5,1035555.5,837541.1,843463.7,821601.0,114971.0,104915.0,10103.0,447836.6,9607.0,-140811.2,-333127.3,768885.5,134661.0,148697.1,419737.9,-113808.6,288305.7,296796.0,59834.5,66312.5,217310.5,19296.1,25218.7,3356.0,True,True,False,True,False,False,False,False,False,False,True,False,False,True,True,False,True,True,True
