,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,GT-DeepCOVID,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_10_increase,UChicago-CovidIL_30_increase,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-GT-DeepCOVID,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_10_increase,error-UChicago-CovidIL_30_increase,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-GT-DeepCOVID,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_10_increase,beat_baseline-UChicago-CovidIL_30_increase,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Georgia,2178,2192.9,2094.3,2346.0,2182.8,2006.7,1831.0,2151.8,2066.3,1855.0,3066.9,1900.7,1895.0,2026.0,,2169.0,1978.9,,,,,1978.0,1790.8,1812.9,2178.5,14.9,-83.7,168.0,4.8,-171.3,-347.0,-26.2,-111.7,-323.0,888.9,-277.3,-283.0,-152.0,,-9.0,-199.1,,,,,-200.0,-387.2,-365.1,0.5,False,True,False,False,False,False,False,False,False,False,False,,True,False,,,,,False,False,False,True
Hawaii,17,17.0,17.0,27.0,19.0,20.8,18.0,,19.0,,25.7,17.7,19.0,20.6,,17.0,20.4,,,,,18.0,18.9,20.0,21.4,0.0,0.0,10.0,2.0,3.8,1.0,,2.0,,8.7,0.7,2.0,3.6,,0.0,3.4,,,,,1.0,1.9,3.0,4.4,False,False,False,False,,False,,False,False,False,False,,True,False,,,,,False,False,False,False
Idaho,83,90.1,87.2,115.0,91.0,89.7,89.0,86.1,81.0,75.0,202.9,89.5,82.0,85.5,,78.0,94.2,,,,,84.0,81.2,89.9,84.4,7.1,4.2,32.0,8.0,6.7,6.0,3.1,-2.0,-8.0,119.9,6.5,-1.0,2.5,,-5.0,11.2,,,,,1.0,-1.8,6.9,1.4,False,False,True,True,True,True,False,False,True,True,True,,True,False,,,,,True,True,True,True
Illinois,5864,6379.9,6007.5,7154.0,6469.4,6249.3,6012.0,6144.9,6790.4,6321.0,9871.1,5610.0,6939.0,6600.7,6720.5,7100.0,6219.3,7688.0,7708.2,7688.0,7716.0,5843.0,5539.3,5287.8,6592.5,515.9,143.5,1290.0,605.4,385.3,148.0,280.9,926.4,457.0,4007.1,-254.0,1075.0,736.7,856.5,1236.0,355.3,1824.0,1844.2,1824.0,1852.0,-21.0,-324.7,-576.2,728.5,False,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False
Indiana,2292,2445.3,2327.9,2721.0,2493.8,2457.7,2213.0,2782.9,2109.8,2273.0,3097.6,2285.3,2515.0,2954.0,3513.0,2849.0,2191.2,,,,,2287.0,2378.7,2193.4,2595.4,153.3,35.9,429.0,201.8,165.7,-79.0,490.9,-182.2,-19.0,805.6,-6.7,223.0,662.0,1221.0,557.0,-100.8,,,,,-5.0,86.7,-98.6,303.4,False,False,False,True,False,False,True,False,True,False,False,False,False,True,,,,,True,True,True,False
Iowa,599,596.7,555.2,723.0,628.2,677.0,610.0,645.8,647.5,493.0,1424.3,520.3,643.0,774.8,,820.0,604.0,,,,,538.0,411.8,601.7,703.4,-2.3,-43.8,124.0,29.2,78.0,11.0,46.8,48.5,-106.0,825.3,-78.7,44.0,175.8,,221.0,5.0,,,,,-61.0,-187.2,2.7,104.4,False,False,False,False,False,False,False,False,False,False,False,,False,False,,,,,False,False,False,False
Kansas,233,255.0,244.9,340.0,258.0,249.0,257.0,229.3,264.1,253.0,492.2,219.9,402.0,249.2,,242.0,252.8,,,,,226.0,324.6,231.9,245.6,22.0,11.9,107.0,25.0,16.0,24.0,-3.7,31.1,20.0,259.2,-13.1,169.0,16.2,,9.0,19.8,,,,,-7.0,91.6,-1.1,12.6,False,False,True,False,True,False,True,False,True,False,True,,True,True,,,,,True,False,True,True
Kentucky,470,419.7,405.2,490.0,424.1,424.1,504.0,436.0,444.8,414.0,619.9,415.4,529.0,424.8,439.0,444.0,405.3,,,,,395.0,524.2,385.0,417.5,-50.3,-64.8,20.0,-45.9,-45.9,34.0,-34.0,-25.2,-56.0,149.9,-54.6,59.0,-45.2,-31.0,-26.0,-64.7,,,,,-75.0,54.2,-85.0,-52.5,True,True,True,True,True,True,False,False,False,False,True,True,True,False,,,,,False,False,False,False
Louisiana,2925,3076.7,2977.7,3256.0,3115.1,2931.9,2741.0,2883.6,2954.6,2809.0,3108.6,3218.7,2556.0,2815.0,,2936.5,2872.6,,,,,2949.0,2676.7,2663.4,2953.8,151.7,52.7,331.0,190.1,6.9,-184.0,-41.4,29.6,-116.0,183.6,293.7,-369.0,-110.0,,11.5,-52.4,,,,,24.0,-248.3,-261.6,28.8,False,False,True,False,True,True,True,False,False,False,True,,True,True,,,,,True,False,False,True
Maine,98,87.1,84.2,109.0,88.0,98.3,106.0,86.9,79.3,170.0,133.8,101.9,103.0,80.7,,74.0,93.3,,,,,89.0,96.7,84.9,87.0,-10.9,-13.8,11.0,-10.0,0.3,8.0,-11.1,-18.7,72.0,35.8,3.9,5.0,-17.3,,-24.0,-4.7,,,,,-9.0,-1.3,-13.1,-11.0,False,True,True,True,False,False,False,False,True,True,False,,False,True,,,,,True,True,False,False
Maryland,2740,2986.3,2818.2,3058.0,2986.0,2798.4,2716.0,,2874.2,2845.0,3580.0,2662.4,3382.0,2953.5,,2919.0,2845.2,,,,,2758.0,2649.0,2499.3,2843.7,246.3,78.2,318.0,246.0,58.4,-24.0,,134.2,105.0,840.0,-77.6,642.0,213.5,,179.0,105.2,,,,,18.0,-91.0,-240.7,103.7,False,True,True,True,,True,True,False,True,False,True,,True,True,,,,,True,True,True,True
Massachusetts,7289,8134.1,7739.1,8594.0,8299.1,7717.6,7042.0,,7838.4,7767.5,9199.9,7389.2,8092.0,8595.2,,7903.0,7840.8,,,,,7456.0,6379.8,6797.8,7559.9,845.1,450.1,1305.0,1010.1,428.6,-247.0,,549.4,478.5,1910.9,100.2,803.0,1306.2,,614.0,551.8,,,,,167.0,-909.2,-491.2,270.9,False,False,True,True,,True,True,False,True,True,False,,True,True,,,,,True,False,True,True
Michigan,5916,5851.0,5688.7,6246.0,5934.2,5703.1,5545.0,5667.4,5727.0,5642.5,5878.7,5955.2,5778.0,5809.9,5571.5,5226.0,5702.1,,,,,5442.0,4864.4,5219.3,5682.0,168.0,5.7,563.0,251.2,20.1,-138.0,-15.6,44.0,-40.5,195.7,272.2,95.0,126.9,-111.5,-457.0,19.1,,,,,-241.0,-818.6,-463.7,-1.0,False,False,True,True,True,True,True,False,False,True,True,True,False,True,,,,,False,False,False,True
Minnesota,1181,1168.1,1094.3,1556.0,1162.0,1252.4,2663.0,,1270.2,1085.0,1137.9,1118.6,2494.0,1435.2,1599.5,1240.0,1229.1,,,,,1141.0,1612.5,1215.8,1181.0,-12.9,-86.7,375.0,-19.0,71.4,1482.0,,89.2,-96.0,-43.1,-62.4,1313.0,254.2,418.5,59.0,48.1,,,,,-40.0,431.5,34.8,0.0,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,False,False,False,True
Mississippi,811,781.0,737.1,945.0,777.0,822.3,745.0,,783.0,617.0,1312.7,748.1,768.0,921.8,,952.0,740.9,,,,,760.0,714.0,671.0,864.4,-30.0,-73.9,134.0,-34.0,11.3,-66.0,,-28.0,-194.0,501.7,-62.9,-43.0,110.8,,141.0,-70.1,,,,,-51.0,-97.0,-140.0,53.4,False,False,True,False,,True,False,False,False,False,False,,False,False,,,,,False,False,False,False
Missouri,848,877.1,830.3,981.0,894.0,843.4,723.0,,984.5,861.0,1162.8,795.0,814.0,836.5,,947.5,789.8,,,,,802.0,719.6,779.5,932.8,127.1,80.3,231.0,144.0,93.4,-27.0,,234.5,111.0,412.8,45.0,64.0,86.5,,197.5,39.8,,,,,52.0,-30.4,29.5,182.8,False,False,True,True,,False,True,False,True,True,True,,False,True,,,,,True,True,True,False
Montana,18,16.0,16.0,23.0,17.6,21.9,17.0,18.4,12.0,16.0,60.0,16.8,16.0,19.0,,16.0,19.0,,,,,17.0,17.7,21.3,18.6,-2.0,-2.0,5.0,-0.4,3.9,-1.0,0.4,-6.0,-2.0,42.0,-1.2,-2.0,1.0,,-2.0,1.0,,,,,-1.0,-0.3,3.3,0.6,False,True,False,True,True,False,False,False,True,False,True,,False,True,,,,,True,True,False,True
Nebraska,187,217.3,201.3,312.0,222.1,259.0,391.0,,178.1,272.0,555.7,154.9,306.0,257.7,,158.0,261.7,,,,,206.0,140.0,191.6,213.0,30.3,14.3,125.0,35.1,72.0,204.0,,-8.9,85.0,368.7,-32.1,119.0,70.7,,-29.0,74.7,,,,,19.0,-47.0,4.6,26.0,False,False,False,False,,True,False,False,False,False,False,,True,False,,,,,True,False,True,True
Nevada,437,464.3,445.0,501.0,448.8,457.7,419.0,,475.6,490.0,264.1,474.7,429.0,445.0,,502.5,449.7,,,,,454.0,432.2,425.9,463.5,27.3,8.0,64.0,11.8,20.7,-18.0,,38.6,53.0,-172.9,37.7,-8.0,8.0,,65.5,12.7,,,,,17.0,-4.8,-11.1,26.5,False,True,True,True,,False,False,False,False,True,True,,False,True,,,,,True,True,True,True
New Hampshire,283,283.4,264.6,287.0,291.0,290.9,267.0,,267.3,257.0,508.7,238.6,301.0,408.5,,424.0,276.0,,,,,286.0,249.2,275.8,300.5,0.4,-18.4,4.0,8.0,7.9,-16.0,,-15.7,-26.0,225.7,-44.4,18.0,125.5,,141.0,-7.0,,,,,3.0,-33.8,-7.2,17.5,False,False,False,False,,False,False,False,False,False,False,,False,False,,,,,False,False,False,False
New Jersey,12106,13525.9,12991.3,14173.0,13696.0,12497.6,11633.0,,12935.8,12748.0,13937.2,11989.3,12279.0,12735.7,,13083.5,12217.0,,,,,12218.0,10863.2,11326.4,12864.1,1419.9,885.3,2067.0,1590.0,391.6,-473.0,,829.8,642.0,1831.2,-116.7,173.0,629.7,,977.5,111.0,,,,,112.0,-1242.8,-779.6,758.1,False,False,True,True,,True,True,False,True,True,True,,True,True,,,,,True,True,True,True
New Mexico,392,450.7,419.3,429.0,463.1,425.5,270.0,,413.3,325.0,470.8,389.2,456.0,518.2,,490.0,486.3,,,,,423.0,395.2,410.6,459.4,58.7,27.3,37.0,71.1,33.5,-122.0,,21.3,-67.0,78.8,-2.8,64.0,126.2,,98.0,94.3,,,,,31.0,3.2,18.6,67.4,True,False,True,False,,True,False,False,True,False,False,,False,False,,,,,True,True,True,False
New York,30974,32777.7,32009.4,34266.0,32396.1,31111.9,29687.0,,31266.8,32110.0,28201.6,31226.5,30036.0,30919.8,,27232.0,30806.1,,,,,30528.0,28916.6,29348.6,30985.9,2554.7,1786.4,4043.0,2173.1,888.9,-536.0,,1043.8,1887.0,-2021.4,1003.5,-187.0,696.8,,-2991.0,583.1,,,,,305.0,-1306.4,-874.4,762.9,False,True,True,True,,True,True,True,True,True,True,,False,True,,,,,True,True,True,True
North Carolina,1028,1034.6,975.7,1299.0,1051.2,1096.0,1458.0,,1186.3,702.0,1691.2,1045.4,1261.0,1005.6,,1080.0,1005.5,,,,,1034.0,1126.4,908.4,1006.0,6.6,-52.3,271.0,23.2,68.0,430.0,,158.3,-326.0,663.2,17.4,233.0,-22.4,,52.0,-22.5,,,,,6.0,98.4,-119.6,-22.0,False,False,False,False,,False,False,False,False,False,False,,False,False,,,,,True,False,False,False
North Dakota,72,65.9,62.0,83.0,63.0,73.2,64.0,,85.0,71.0,87.0,77.2,74.0,83.2,,62.0,61.0,,,,,73.0,73.4,66.3,73.7,-6.1,-10.0,11.0,-9.0,1.2,-8.0,,13.0,-1.0,15.0,5.2,2.0,11.2,,-10.0,-11.0,,,,,1.0,1.4,-5.7,1.7,False,False,True,False,,False,True,False,True,True,False,,False,False,,,,,True,True,True,True
Ohio,2372,2436.4,2299.3,2247.0,2447.3,2241.5,2288.0,,2435.1,2083.0,3549.9,2157.2,2214.0,2471.4,2742.0,2852.0,2246.7,,,,,2188.0,2429.8,2091.1,2465.1,64.4,-72.7,-125.0,75.3,-130.5,-84.0,,63.1,-289.0,1177.9,-214.8,-158.0,99.4,370.0,480.0,-125.3,,,,,-184.0,57.8,-280.9,93.1,False,False,False,False,,True,False,False,False,False,False,False,False,False,,,,,False,True,False,False
Oklahoma,347,333.7,326.0,405.0,342.1,351.2,336.0,323.5,345.9,289.0,460.1,377.2,381.0,344.0,,382.5,369.8,,,,,340.0,379.4,308.3,352.4,-13.3,-21.0,58.0,-4.9,4.2,-11.0,-23.5,-1.1,-58.0,113.1,30.2,34.0,-3.0,,35.5,22.8,,,,,-7.0,32.4,-38.7,5.4,False,True,True,True,False,True,False,False,False,False,True,,False,False,,,,,True,False,False,True
Oregon,161,165.6,160.7,228.0,167.0,171.7,192.0,,189.4,155.0,344.2,161.1,186.0,171.7,,170.0,181.4,,,,,163.0,181.4,161.0,164.7,4.6,-0.3,67.0,6.0,10.7,31.0,,28.4,-6.0,183.2,0.1,25.0,10.7,,9.0,20.4,,,,,2.0,20.4,0.0,3.7,False,False,False,False,,False,False,False,True,False,False,,False,False,,,,,True,False,True,True
Pennsylvania,5931,6463.6,6130.8,6334.0,6583.1,6123.1,5670.0,5937.3,7138.5,6102.0,7985.0,5595.4,6887.0,7487.0,,7394.0,5892.5,,,,,5829.0,4987.4,5432.6,6421.5,532.6,199.8,403.0,652.1,192.1,-261.0,6.3,1207.5,171.0,2054.0,-335.6,956.0,1556.0,,1463.0,-38.5,,,,,-102.0,-943.6,-498.4,490.5,True,False,True,True,True,False,True,False,True,False,False,,False,True,,,,,True,False,True,True
Rhode Island,772,719.0,681.8,805.0,702.0,718.7,1014.0,,677.5,867.0,187.1,669.8,620.0,799.1,,740.0,706.4,,,,,656.0,532.5,616.6,713.0,-53.0,-90.2,33.0,-70.0,-53.3,242.0,,-94.5,95.0,-584.9,-102.2,-152.0,27.1,,-32.0,-65.6,,,,,-116.0,-239.5,-155.4,-59.0,True,False,False,False,,False,False,False,False,False,True,,True,False,,,,,False,False,False,False
South Carolina,539,539.3,513.2,565.0,530.0,526.8,511.0,,470.9,396.0,767.2,556.7,603.0,606.0,,668.0,515.6,,,,,504.0,505.9,476.4,577.3,0.3,-25.8,26.0,-9.0,-12.2,-28.0,,-68.1,-143.0,228.2,17.7,64.0,67.0,,129.0,-23.4,,,,,-35.0,-33.1,-62.6,38.3,False,False,False,False,,False,False,False,False,False,False,,False,False,,,,,False,False,False,False
South Dakota,65,72.6,67.7,115.0,74.0,102.3,85.0,,90.7,107.0,259.2,59.1,75.0,93.9,,63.0,59.7,,,,,67.0,54.1,119.6,77.1,7.6,2.7,50.0,9.0,37.3,20.0,,25.7,42.0,194.2,-5.9,10.0,28.9,,-2.0,-5.3,,,,,2.0,-10.9,54.6,12.1,False,False,False,False,,False,False,False,True,False,False,,True,True,,,,,True,False,False,False
Tennessee,417,455.1,428.6,606.0,454.0,466.3,492.0,,408.1,475.0,934.4,349.4,417.0,455.3,,338.0,433.6,,,,,389.0,407.2,372.1,392.3,38.1,11.6,189.0,37.0,49.3,75.0,,-8.9,58.0,517.4,-67.6,0.0,38.3,,-79.0,16.6,,,,,-28.0,-9.8,-44.9,-24.7,False,True,False,False,,True,False,False,False,True,False,,False,True,,,,,True,True,False,True
Texas,1833,2054.4,1934.2,2461.0,2073.8,2182.8,2110.0,,2165.8,1720.0,4270.7,1876.2,1703.0,1946.9,,1966.0,1995.9,,,,,2210.0,2017.8,1807.2,2235.5,221.4,101.2,628.0,240.8,349.8,277.0,,332.8,-113.0,2437.7,43.2,-130.0,113.9,,133.0,162.9,,,,,377.0,184.8,-25.8,402.5,False,False,False,False,,False,True,False,True,True,True,,True,True,,,,,False,True,True,False
Utah,121,117.1,110.9,209.0,114.0,139.9,156.0,,114.8,88.0,384.9,114.0,108.0,112.2,,134.0,106.4,,,,,118.0,116.2,120.6,124.8,-3.9,-10.1,88.0,-7.0,18.9,35.0,,-6.2,-33.0,263.9,-7.0,-13.0,-8.8,,13.0,-14.6,,,,,-3.0,-4.8,-0.4,3.8,False,False,False,False,,False,False,False,False,False,False,,False,False,,,,,True,False,True,True
Vermont,55,56.9,56.4,69.0,56.0,60.1,55.0,,49.0,53.0,83.7,56.6,57.0,61.3,,60.0,65.7,,,,,56.0,61.9,60.0,61.9,1.9,1.4,14.0,1.0,5.1,0.0,,-6.0,-2.0,28.7,1.6,2.0,6.3,,5.0,10.7,,,,,1.0,6.9,5.0,6.9,False,True,False,True,,False,False,False,True,False,False,,False,False,,,,,True,False,False,False
Virginia,1461,1498.6,1416.0,1783.0,1531.0,1473.6,1837.0,1454.4,1555.8,1361.0,1959.6,1399.6,1796.0,1504.5,,1628.0,1439.7,,,,,1538.0,1593.6,1314.4,1494.5,37.6,-45.0,322.0,70.0,12.6,376.0,-6.6,94.8,-100.0,498.6,-61.4,335.0,43.5,,167.0,-21.3,,,,,77.0,132.6,-146.6,33.5,False,False,True,False,True,False,False,False,False,False,False,,False,True,,,,,False,False,False,True
Washington,1153,1201.0,1167.2,1349.0,1233.1,1194.4,1218.0,1275.7,1177.4,1216.0,1910.4,1158.3,1079.0,1157.0,,1215.0,1148.7,,,,,1143.0,1123.3,1170.3,1158.7,48.0,14.2,196.0,80.1,41.4,65.0,122.7,24.4,63.0,757.4,5.3,-74.0,4.0,,62.0,-4.3,,,,,-10.0,-29.7,17.3,5.7,False,False,True,False,False,True,False,False,True,False,True,,False,True,,,,,True,True,True,True
West Virginia,84,104.1,97.9,99.0,100.0,95.2,67.0,,88.6,63.0,214.5,89.2,84.0,111.5,,74.0,88.6,,,,,98.0,85.2,98.0,92.5,20.1,13.9,15.0,16.0,11.2,-17.0,,4.6,-21.0,130.5,5.2,0.0,27.5,,-10.0,4.6,,,,,14.0,1.2,14.0,8.5,True,True,True,True,,True,False,False,True,True,False,,True,True,,,,,True,True,True,True
Wisconsin,645,604.4,578.8,781.0,618.1,622.4,846.0,,613.2,646.0,1092.3,617.4,783.0,584.6,723.5,565.0,599.9,,,,,612.0,725.3,564.7,581.2,-40.6,-66.2,136.0,-26.9,-22.6,201.0,,-31.8,1.0,447.3,-27.6,138.0,-60.4,78.5,-80.0,-45.1,,,,,-33.0,80.3,-80.3,-63.8,False,True,True,False,,True,True,False,True,False,False,False,False,False,,,,,True,False,False,False
Wyoming,17,10.9,10.4,21.0,7.6,15.1,7.0,,4.0,7.0,48.6,11.5,11.0,10.9,,8.0,10.7,,,,,11.0,7.7,11.0,11.1,-6.1,-6.6,4.0,-9.4,-1.9,-10.0,,-13.0,-10.0,31.6,-5.5,-6.0,-6.1,,-9.0,-6.3,,,,,-6.0,-9.3,-6.0,-5.9,True,False,True,False,,False,False,False,True,True,False,,False,False,,,,,True,False,True,True
US,110818,118236.3,113389.8,,118629.8,109454.5,110662.0,106532.5,116393.8,111250.5,141616.8,108494.2,114923.0,110365.2,,114498.0,113442.4,,,,,110436.0,103698.7,103402.6,114885.3,8500.3,3653.8,,8893.8,-281.5,926.0,-3203.5,6657.8,1514.5,31880.8,-1241.8,5187.0,629.2,,4762.0,3706.4,,,,,700.0,-6037.3,-6333.4,5149.3,,False,True,True,True,True,True,False,True,True,True,,True,True,,,,,True,True,True,True
