,actual_deaths,Baseline,Baseline_0.98,COVIDhub-ensemble,CU-select,GT-DeepCOVID,IHME-CurveFit,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_40,UChicago-CovidIL_60,UChicago-CovidIL_80,UMass-MechBayes,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-COVIDhub-ensemble,error-CU-select,error-GT-DeepCOVID,error-IHME-CurveFit,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_40,error-UChicago-CovidIL_60,error-UChicago-CovidIL_80,error-UMass-MechBayes,error-YYG-ParamSearch,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-GT-DeepCOVID,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_40,beat_baseline-UChicago-CovidIL_60,beat_baseline-UChicago-CovidIL_80,beat_baseline-UMass-MechBayes,beat_baseline-YYG-ParamSearch
Illinois,5864,6445.4,5772.4,5669.0,6055.0,5488.4,6022.4,4861.2,7319.0,6947.0,6720.5,5445.5,5688.9,5688.9,5701.4,5659.4,5694.0,5948.0,6523.9,581.4,-91.6,-195.0,191.0,-375.6,158.4,-1002.8,1455.0,1083.0,856.5,-418.5,-175.1,-175.1,-162.6,-204.6,-170.0,84.0,659.9,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,False
Indiana,2292,2958.3,2637.2,2680.4,2536.0,,2876.9,2222.9,2647.0,3571.9,3576.0,2265.8,,,,,,2558.0,2944.4,666.3,345.2,388.4,244.0,,584.9,-69.1,355.0,1279.9,1284.0,-26.2,,,,,,266.0,652.4,True,True,,True,True,True,False,False,True,,,,,,True,True
Iowa,599,577.4,508.3,762.5,711.0,1158.6,567.8,382.1,978.0,830.3,,813.8,,,,,,545.0,690.2,-21.6,-90.7,163.5,112.0,559.6,-31.2,-216.9,379.0,231.3,,214.8,,,,,,-54.0,91.2,False,False,False,False,False,False,False,,False,,,,,,False,False
Kansas,233,289.7,264.1,353.7,356.0,,282.8,229.5,635.0,281.2,,443.8,,,,,,276.0,261.6,56.7,31.1,120.7,123.0,,49.8,-3.5,402.0,48.2,,210.8,,,,,,43.0,28.6,False,False,,True,True,False,True,,False,,,,,,True,True
Kentucky,470,500.7,457.2,533.8,446.0,997.9,536.4,384.5,571.0,475.9,439.0,542.9,,,,,,428.0,466.0,30.7,-12.8,63.8,-24.0,527.9,66.4,-85.5,101.0,5.9,-31.0,72.9,,,,,,-42.0,-4.0,False,True,False,False,False,False,True,False,False,,,,,,False,True
Louisiana,2925,3342.9,3108.8,2894.2,2727.0,,3039.4,2818.6,2435.0,2873.6,,3080.0,,,,,,2860.0,3028.8,417.9,183.8,-30.8,-198.0,,114.4,-106.4,-490.0,-51.4,,155.0,,,,,,-65.0,103.8,True,True,,True,True,False,True,,True,,,,,,True,True
Maine,98,91.0,85.0,105.6,138.0,,83.8,120.9,106.0,83.3,,96.4,,,,,,98.0,96.9,-7.0,-13.0,7.6,40.0,,-14.2,22.9,8.0,-14.7,,-1.6,,,,,,0.0,-1.1,False,False,,False,False,False,False,,True,,,,,,True,True
Maryland,2740,3044.1,2734.1,3124.9,2825.0,3039.7,2358.1,2840.4,3828.0,4217.6,,2533.4,,,,,,3028.0,2716.7,304.1,-5.9,384.9,85.0,299.7,-381.9,100.4,1088.0,1477.6,,-206.6,,,,,,288.0,-23.3,False,True,True,False,True,False,False,,True,,,,,,True,True
Massachusetts,7289,8739.7,7907.0,7695.6,7418.0,6974.6,7162.4,6810.4,9188.0,9668.5,,6661.6,,,,,,7458.0,7558.0,1450.7,618.0,406.6,129.0,-314.4,-126.6,-478.6,1899.0,2379.5,,-627.4,,,,,,169.0,269.0,True,True,True,True,True,False,False,,True,,,,,,True,True
Michigan,5916,6491.3,6062.6,5647.7,5599.0,4818.1,5867.3,5489.3,5821.0,6119.8,5571.5,5946.9,,,,,,5500.0,6021.7,803.3,374.6,-40.3,-89.0,-869.9,179.3,-198.7,133.0,431.8,-116.5,258.9,,,,,,-188.0,333.7,True,True,False,True,True,True,True,True,True,,,,,,True,True
Minnesota,1181,1195.1,1058.5,1834.6,2091.0,,1486.2,1068.9,4010.0,1841.3,1599.5,1164.4,,,,,,1417.0,1244.3,14.1,-122.5,653.6,910.0,,305.2,-112.1,2829.0,660.3,418.5,-16.6,,,,,,236.0,63.3,False,False,,False,False,False,False,False,False,,,,,,False,False
Mississippi,811,919.9,811.4,828.4,827.0,,872.9,704.0,776.0,1106.4,,632.3,,,,,,846.0,917.5,108.9,0.4,17.4,16.0,,61.9,-107.0,-35.0,295.4,,-178.7,,,,,,35.0,106.5,True,True,,True,True,True,False,,False,,,,,,True,True
Missouri,848,973.6,869.4,833.1,774.0,999.6,989.7,738.5,727.0,884.0,,700.1,,,,,,916.0,954.9,227.6,123.4,87.1,28.0,253.6,243.7,-7.5,-19.0,138.0,,-45.9,,,,,,170.0,208.9,True,True,False,False,True,True,True,,True,,,,,,True,True
Montana,18,16.0,16.0,19.1,17.0,,14.0,16.2,15.0,22.5,,20.4,,,,,,18.0,21.1,-2.0,-2.0,1.1,-1.0,,-4.0,-1.8,-3.0,4.5,,2.4,,,,,,0.0,3.1,True,True,,False,True,False,False,,False,,,,,,True,False
Nebraska,187,136.3,126.0,421.7,1335.0,,176.5,123.5,582.0,191.0,,354.2,,,,,,202.0,165.7,-50.7,-61.0,234.7,1148.0,,-10.5,-63.5,395.0,4.0,,167.2,,,,,,15.0,-21.3,False,False,,True,False,False,True,,False,,,,,,True,True
Nevada,437,510.6,466.2,507.5,525.0,,453.0,424.4,428.0,490.1,,434.5,,,,,,766.0,487.5,73.6,29.2,70.5,88.0,,16.0,-12.6,-9.0,53.1,,-2.5,,,,,,329.0,50.5,True,False,,True,True,True,True,,True,,,,,,False,True
New Hampshire,283,314.3,274.1,312.8,260.0,,187.7,214.1,287.0,585.3,,204.1,,,,,,377.0,263.3,31.3,-8.9,29.8,-23.0,,-95.3,-68.9,4.0,302.3,,-78.9,,,,,,94.0,-19.7,True,True,,False,False,True,False,,False,,,,,,False,True
New Jersey,12106,14598.1,13415.3,12420.0,11828.0,,13633.6,11521.4,12857.0,13094.6,,12269.2,,,,,,12164.0,13162.7,2492.1,1309.3,314.0,-278.0,,1527.6,-584.6,751.0,988.6,,163.2,,,,,,58.0,1056.7,True,True,,True,True,True,True,,True,,,,,,True,True
New Mexico,392,389.0,347.2,378.5,238.0,498.3,334.5,312.4,460.0,443.6,,292.8,,,,,,410.0,382.9,-3.0,-44.8,-13.5,-154.0,106.3,-57.5,-79.6,68.0,51.6,,-99.2,,,,,,18.0,-9.1,False,False,False,False,False,False,False,,False,,,,,,False,False
New York,30974,34096.9,32446.0,31740.1,30740.0,,31112.3,30047.8,30362.0,35831.1,,34680.3,,,,,,29790.0,31113.8,4121.9,2471.0,1765.1,765.0,,1137.3,72.8,387.0,5856.1,,4705.3,,,,,,-185.0,1138.8,True,True,,True,True,True,False,,False,,,,,,True,True
North Carolina,1028,1065.4,954.4,1096.6,1565.0,,983.2,972.8,1332.0,971.9,,817.6,,,,,,1085.0,944.2,37.4,-73.6,68.6,537.0,,-44.8,-55.2,304.0,-56.1,,-210.4,,,,,,57.0,-83.8,False,False,,False,False,False,False,,False,,,,,,False,False
North Dakota,72,73.6,65.0,81.4,139.0,,65.5,60.6,77.0,138.0,,63.9,,,,,,69.0,82.2,1.6,-7.0,9.4,67.0,,-6.5,-11.4,5.0,66.0,,-8.1,,,,,,-3.0,10.2,False,False,,False,False,False,False,,False,,,,,,False,False
Ohio,2372,2505.9,2247.9,2381.0,2896.0,,2388.4,2093.3,2236.0,2902.4,2742.0,1998.5,,,,,,2154.0,2366.2,133.9,-124.1,9.0,524.0,,16.4,-278.7,-136.0,530.4,370.0,-373.5,,,,,,-218.0,-5.8,True,False,,True,False,False,False,False,False,,,,,,False,True
Oklahoma,347,403.1,374.1,381.4,364.0,358.3,406.1,382.7,387.0,376.3,,405.4,,,,,,384.0,402.2,56.1,27.1,34.4,17.0,11.3,59.1,35.7,40.0,29.3,,58.4,,,,,,37.0,55.2,True,True,True,False,True,True,True,,False,,,,,,True,True
Oregon,161,196.4,181.1,190.3,186.0,,182.1,195.3,183.0,194.2,,187.2,,,,,,211.0,179.1,35.4,20.1,29.3,25.0,,21.1,34.3,22.0,33.2,,26.2,,,,,,50.0,18.1,True,True,,True,True,True,True,,True,,,,,,False,True
Pennsylvania,5931,7994.9,7067.4,6838.6,5442.0,8082.9,7662.3,6334.3,7191.0,9182.7,,4851.6,,,,,,6824.0,6773.4,2063.9,1136.4,907.6,-489.0,2151.9,1731.3,403.3,1260.0,3251.7,,-1079.4,,,,,,893.0,842.4,True,True,False,True,True,True,False,,True,,,,,,True,True
Rhode Island,772,815.4,728.3,808.9,867.0,1001.9,642.7,660.7,600.0,1152.3,,705.2,,,,,,700.0,783.0,43.4,-43.7,36.9,95.0,229.9,-129.3,-111.3,-172.0,380.3,,-66.8,,,,,,-72.0,11.0,True,False,False,False,False,False,False,,False,,,,,,False,True
South Carolina,539,547.0,499.2,579.0,702.0,,636.8,533.5,608.0,680.3,,462.8,,,,,,493.0,576.0,8.0,-39.8,40.0,163.0,,97.8,-5.5,69.0,141.3,,-76.2,,,,,,-46.0,37.0,False,False,,False,True,False,False,,False,,,,,,False,False
South Dakota,65,84.1,73.0,127.6,216.0,,85.6,104.2,57.0,152.4,,53.3,,,,,,166.0,76.8,19.1,8.0,62.6,151.0,,20.6,39.2,-8.0,87.4,,-11.7,,,,,,101.0,11.8,False,False,,False,False,True,False,,True,,,,,,False,True
Tennessee,417,370.3,342.1,363.1,492.0,300.3,412.9,285.6,440.0,321.4,,408.1,,,,,,332.0,329.0,-46.7,-74.9,-53.9,75.0,-116.7,-4.1,-131.4,23.0,-95.6,,-8.9,,,,,,-85.0,-88.0,False,False,False,True,False,True,False,,True,,,,,,False,False
Texas,1833,1927.1,1742.7,1959.3,3097.0,1694.8,1887.4,1622.0,1483.0,1865.4,,1752.2,,,,,,2137.0,2063.1,94.1,-90.3,126.3,1264.0,-138.2,54.4,-211.0,-350.0,32.4,,-80.8,,,,,,304.0,230.1,False,False,False,True,False,False,True,,True,,,,,,False,False
Utah,121,132.6,118.1,133.5,238.0,,116.6,106.6,96.0,117.3,,102.9,,,,,,146.0,130.1,11.6,-2.9,12.5,117.0,,-4.4,-14.4,-25.0,-3.7,,-18.1,,,,,,25.0,9.1,False,False,,True,False,False,True,,False,,,,,,False,True
Vermont,55,53.0,53.0,63.1,55.0,,52.3,57.8,62.0,69.2,,69.1,,,,,,61.0,68.0,-2.0,-2.0,8.1,0.0,,-2.7,2.8,7.0,14.2,,14.1,,,,,,6.0,13.0,False,True,,False,False,False,False,,False,,,,,,False,False
Virginia,1461,1529.4,1376.6,1653.2,1823.0,1456.5,1272.2,1498.9,1967.0,1829.3,,1440.7,,,,,,1664.0,1560.9,68.4,-84.4,192.2,362.0,-4.5,-188.8,37.9,506.0,368.3,,-20.3,,,,,,203.0,99.9,False,False,True,False,True,False,False,,True,,,,,,False,False
Washington,1153,1305.1,1222.3,1192.3,1336.0,,1083.7,1193.8,1008.0,1150.0,,1217.9,,,,,,1295.0,1170.2,152.1,69.3,39.3,183.0,,-69.3,40.8,-145.0,-3.0,,64.9,,,,,,142.0,17.2,True,False,,True,True,True,True,,True,,,,,,True,True
West Virginia,84,77.1,72.0,86.5,59.0,,68.9,85.6,86.0,109.6,,72.0,,,,,,79.0,88.0,-6.9,-12.0,2.5,-25.0,,-15.1,1.6,2.0,25.6,,-12.0,,,,,,-5.0,4.0,True,False,,False,True,True,False,,False,,,,,,True,True
Wisconsin,645,635.3,583.2,685.9,843.0,,585.6,578.3,823.0,608.9,723.5,692.6,,,,,,694.0,564.6,-9.7,-61.8,40.9,198.0,,-59.4,-66.7,178.0,-36.1,78.5,47.6,,,,,,49.0,-80.4,False,False,,False,False,False,False,False,False,,,,,,False,False
Wyoming,17,7.0,7.0,13.5,7.0,,6.0,10.7,17.0,14.5,,12.2,,,,,,10.0,13.0,-10.0,-10.0,-3.5,-10.0,,-11.0,-6.3,0.0,-2.5,,-4.8,,,,,,-7.0,-4.0,True,False,,False,True,True,True,,True,,,,,,True,True
US,110818,125210.0,115094.6,112647.3,116478.0,112694.5,115865.7,103263.2,120192.0,110913.0,,110695.5,,,,,,,115468.4,15721.0,5605.6,3158.3,6989.0,3205.5,6376.7,-6225.8,10703.0,1424.0,,1206.5,,,,,,,5979.4,True,True,True,True,True,True,True,,True,,,,,,,True
