,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,37364,45428.0,43389.5,38734.0,50765.0,,40656.6,36257.0,37805.3,10439.9,,24743.0,42667.0,44705.4,46158.2,27697.3,41515.8,30506.4,41023.8,30662.0,,21355.7,25771.8,32359.2,46079.8,34131.1,34109.0,8064.0,6025.5,1370.0,13401.0,,3292.6,-1107.0,441.3,-26924.1,,-12621.0,5303.0,7341.4,8794.2,-9666.7,4151.8,-6857.6,3659.8,-6702.0,,-16008.3,-11592.2,-5004.8,8715.8,-3232.9,-3255.0,True,True,False,,True,True,True,False,,False,True,True,False,False,True,True,True,True,,False,False,True,False,True,True
Hawaii,2783,3580.0,3697.3,3394.0,1623.0,,3182.5,3773.0,6007.8,340.6,,,,1663.9,4862.1,5855.3,5642.8,2407.9,2808.7,1888.0,,1595.4,388.4,4519.8,2943.5,1653.2,2151.0,797.0,914.3,611.0,-1160.0,,399.5,990.0,3224.8,-2442.4,,,,-1119.1,2079.1,3072.3,2859.8,-375.1,25.7,-895.0,,-1187.6,-2394.6,1736.8,160.5,-1129.8,-632.0,False,True,False,,True,False,False,False,,,,False,False,False,False,True,True,False,,False,False,False,True,False,True
Idaho,12534,6772.0,6624.0,6608.0,6312.0,,6597.4,6235.0,9842.0,1678.7,,4068.0,9446.0,7087.4,9154.3,7123.6,5847.2,5881.0,5515.1,7090.0,,1688.6,5940.1,5159.7,6962.0,9140.2,5350.0,-5762.0,-5910.0,-5926.0,-6222.0,,-5936.6,-6299.0,-2692.0,-10855.3,,-8466.0,-3088.0,-5446.6,-3379.7,-5410.4,-6686.8,-6653.0,-7018.9,-5444.0,,-10845.4,-6593.9,-7374.3,-5572.0,-3393.8,-7184.0,False,False,False,,False,False,True,False,,False,True,True,True,True,False,False,False,True,,False,False,False,True,True,False
Illinois,57452,47588.0,47016.0,41970.0,74464.0,,42675.7,12739.0,47636.7,11193.3,,25441.0,51286.0,58513.5,57407.0,42239.8,94111.9,29681.6,39807.8,38767.0,,35409.9,90253.0,38911.8,47338.5,37931.4,40192.0,-9864.0,-10436.0,-15482.0,17012.0,,-14776.3,-44713.0,-9815.3,-46258.7,,-32011.0,-6166.0,1061.5,-45.0,-15212.2,36659.9,-27770.4,-17644.2,-18685.0,,-22042.1,32801.0,-18540.2,-10113.5,-19520.6,-17260.0,False,False,False,,False,False,True,False,,False,True,True,True,False,False,False,False,False,,False,False,False,False,False,False
Indiana,28850,22400.0,23688.9,22994.0,27220.0,,24100.4,18781.0,23626.1,5506.0,,11922.0,21116.0,19726.0,26386.0,24036.6,28866.0,23281.4,23408.1,21905.0,,14578.1,38157.7,16751.6,23091.8,34051.0,18080.0,-6450.0,-5161.1,-5856.0,-1630.0,,-4749.6,-10069.0,-5223.9,-23344.0,,-16928.0,-7734.0,-9124.0,-2464.0,-4813.4,16.0,-5568.6,-5441.9,-6945.0,,-14271.9,9307.7,-12098.4,-5758.2,5201.0,-10770.0,True,True,True,,True,False,True,False,,False,False,False,True,True,True,True,True,False,,False,False,False,True,True,False
Iowa,24837,18060.0,17015.0,16288.0,21838.0,,18587.2,21369.0,16623.6,3404.6,,10068.0,18260.0,12465.9,23687.4,12957.4,45188.9,11939.7,14054.8,14357.0,,10687.9,12384.7,12560.1,15426.2,9717.8,11046.0,-6777.0,-7822.0,-8549.0,-2999.0,,-6249.8,-3468.0,-8213.4,-21432.4,,-14769.0,-6577.0,-12371.1,-1149.6,-11879.6,20351.9,-12897.3,-10782.2,-10480.0,,-14149.1,-12452.3,-12276.9,-9410.8,-15119.2,-13791.0,False,False,True,,True,True,False,False,,False,True,False,True,False,False,False,False,False,,False,False,False,False,False,False
Kansas,16381,12008.0,11462.1,11083.0,11450.0,,11037.3,13657.0,8946.5,2548.3,,6429.0,14779.0,8937.1,19941.9,11724.5,17627.5,5135.7,8868.0,7629.0,,4782.2,19940.1,8720.9,12345.3,4664.0,6570.0,-4373.0,-4918.9,-5298.0,-4931.0,,-5343.7,-2724.0,-7434.5,-13832.7,,-9952.0,-1602.0,-7443.9,3560.9,-4656.5,1246.5,-11245.3,-7513.0,-8752.0,,-11598.8,3559.1,-7660.1,-4035.7,-11717.0,-9811.0,False,False,False,,False,True,False,False,,False,True,False,True,False,True,False,False,False,,False,True,False,True,False,False
Kentucky,23030,15804.0,15693.4,16488.0,20910.0,,18032.1,16989.0,24494.3,3720.7,,9347.0,22038.0,19666.0,21437.9,17345.0,19325.9,13259.1,15366.7,13553.0,,9852.9,23008.6,10350.9,13892.3,16537.8,11105.0,-7226.0,-7336.6,-6542.0,-2120.0,,-4997.9,-6041.0,1464.3,-19309.3,,-13683.0,-992.0,-3364.0,-1592.1,-5685.0,-3704.1,-9770.9,-7663.3,-9477.0,,-13177.1,-21.4,-12679.1,-9137.7,-6492.2,-11925.0,False,True,True,,True,True,True,False,,False,True,True,True,True,True,False,False,False,,False,True,False,False,True,False
Louisiana,14704,18804.0,18985.8,16507.0,39147.0,,12292.6,11715.0,40976.8,4964.2,,7304.0,20370.0,10291.7,14287.9,8740.3,6214.6,15555.5,16542.6,15828.0,,7760.1,2260.7,18097.6,23405.5,16594.3,9445.0,4100.0,4281.8,1803.0,24443.0,,-2411.4,-2989.0,26272.8,-9739.8,,-7400.0,5666.0,-4412.3,-416.1,-5963.7,-8489.4,851.5,1838.6,1124.0,,-6943.9,-12443.3,3393.6,8701.5,1890.3,-5259.0,False,True,False,,True,True,False,False,,False,False,False,True,False,False,True,True,True,,False,False,True,False,True,False
Maine,861,804.0,810.9,765.0,499.0,,691.3,261.0,712.7,215.7,,398.0,1549.0,964.2,1176.0,1259.9,821.3,568.8,736.9,731.0,,521.3,307.4,759.8,746.3,1180.5,676.0,-57.0,-50.1,-96.0,-362.0,,-169.7,-600.0,-148.3,-645.3,,-463.0,688.0,103.2,315.0,398.9,-39.7,-292.2,-124.1,-130.0,,-339.7,-553.6,-101.2,-114.7,319.5,-185.0,True,False,False,,False,False,False,False,,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,False
Maryland,15262,15704.0,15641.4,14165.0,40634.0,,17831.4,1279.0,14831.3,3888.8,,7923.0,14772.0,18346.2,13523.7,16593.4,10126.3,11201.3,15449.3,13058.0,,10276.0,18931.9,13717.9,18643.6,15386.4,14999.0,442.0,379.4,-1097.0,25372.0,,2569.4,-13983.0,-430.7,-11373.2,,-7339.0,-490.0,3084.2,-1738.3,1331.4,-5135.7,-4060.7,187.3,-2204.0,,-4986.0,3669.9,-1544.1,3381.6,124.4,-263.0,True,False,False,,False,False,True,False,,False,False,False,False,False,False,False,True,False,,False,False,False,False,True,True
Massachusetts,13800,9376.0,9192.8,8059.0,18565.0,,2616.6,246.0,8971.8,2156.5,,3634.0,6980.0,9916.0,398.1,9082.9,12933.8,7044.8,9581.1,3424.0,,3526.7,5377.3,7214.0,,31359.9,8536.0,-4424.0,-4607.2,-5741.0,4765.0,,-11183.4,-13554.0,-4828.2,-11643.5,,-10166.0,-6820.0,-3884.0,-13401.9,-4717.1,-866.2,-6755.2,-4218.9,-10376.0,,-10273.3,-8422.7,-6586.0,,17559.9,-5264.0,False,False,False,,False,False,False,False,,False,False,True,False,False,True,False,True,False,,False,False,False,,False,False
Michigan,26395,23468.0,23822.7,21130.0,51926.0,,20907.3,8843.0,16111.4,6055.1,,11220.0,21092.0,26619.4,21400.3,27805.6,23364.9,12258.6,18119.0,17000.0,,3088.3,33814.2,31743.7,17838.9,18745.3,25952.0,-2927.0,-2572.3,-5265.0,25531.0,,-5487.7,-17552.0,-10283.6,-20339.9,,-15175.0,-5303.0,224.4,-4994.7,1410.6,-3030.1,-14136.4,-8276.0,-9395.0,,-23306.7,7419.2,5348.7,-8556.1,-7649.7,-443.0,True,False,False,,False,False,False,False,,False,False,True,False,True,False,False,False,False,,False,False,False,False,False,True
Minnesota,27240,14832.0,14927.3,14086.0,13909.0,,18771.8,2721.0,16714.0,3695.5,,8068.0,20053.0,11203.4,18302.3,15008.7,22690.7,10371.6,13392.0,11138.0,,11430.6,26970.5,10916.9,14604.0,12008.9,8845.0,-12408.0,-12312.7,-13154.0,-13331.0,,-8468.2,-24519.0,-10526.0,-23544.5,,-19172.0,-7187.0,-16036.6,-8937.7,-12231.3,-4549.3,-16868.4,-13848.0,-16102.0,,-15809.4,-269.5,-16323.1,-12636.0,-15231.1,-18395.0,True,False,False,,True,False,True,False,,False,True,False,True,True,True,False,False,False,,False,True,False,False,False,False
Mississippi,15018,12568.0,13368.8,9831.0,10706.0,,11056.5,9155.0,11848.1,3090.8,,6732.0,14301.0,8415.8,11663.4,9222.5,10347.8,7781.5,9936.1,7062.0,,6450.5,1830.8,8123.5,16434.5,6999.2,7342.0,-2450.0,-1649.2,-5187.0,-4312.0,,-3961.5,-5863.0,-3169.9,-11927.2,,-8286.0,-717.0,-6602.2,-3354.6,-5795.5,-4670.2,-7236.5,-5081.9,-7956.0,,-8567.5,-13187.2,-6894.5,1416.5,-8018.8,-7676.0,True,False,False,,False,False,False,False,,False,True,False,False,False,False,False,False,False,,False,False,False,True,False,False
Missouri,43392,36476.0,35179.5,33537.0,36303.0,,39213.4,29598.0,31973.2,8813.7,,20814.0,29896.0,44851.4,44519.8,25531.3,31311.4,37309.9,36189.8,36236.0,,21261.3,108223.0,23769.3,37020.4,47244.1,29846.0,-6916.0,-8212.5,-9855.0,-7089.0,,-4178.6,-13794.0,-11418.8,-34578.3,,-22578.0,-13496.0,1459.4,1127.8,-17860.7,-12080.6,-6082.1,-7202.2,-7156.0,,-22130.7,64831.0,-19622.7,-6371.6,3852.1,-13546.0,False,False,False,,True,False,False,False,,False,False,True,True,False,False,True,False,False,,False,False,False,True,True,False
Montana,9192,3044.0,2936.1,2691.0,2376.0,,3266.0,2395.0,3134.1,757.0,,1609.0,4459.0,3712.5,4880.3,2784.8,3530.8,2349.7,2631.3,2143.0,,1523.1,8313.2,1201.8,3188.1,2735.6,2387.0,-6148.0,-6255.9,-6501.0,-6816.0,,-5926.0,-6797.0,-6057.9,-8435.0,,-7583.0,-4733.0,-5479.5,-4311.7,-6407.2,-5661.2,-6842.3,-6560.7,-7049.0,,-7668.9,-878.8,-7990.2,-6003.9,-6456.4,-6805.0,False,False,False,,True,False,True,False,,False,True,True,True,False,True,False,False,False,,False,True,False,True,False,False
Nebraska,13767,9260.0,9318.7,7107.0,7031.0,,8294.8,526.0,6562.0,2209.6,,4770.0,8056.0,11097.1,11360.5,5772.7,11098.6,5698.6,6945.2,7239.0,,3889.0,6961.9,8229.9,7167.4,6951.3,8306.0,-4507.0,-4448.3,-6660.0,-6736.0,,-5472.2,-13241.0,-7205.0,-11557.4,,-8997.0,-5711.0,-2669.9,-2406.5,-7994.3,-2668.4,-8068.4,-6821.8,-6528.0,,-9878.0,-6805.1,-5537.1,-6599.6,-6815.7,-5461.0,True,False,False,,False,False,False,False,,False,False,True,True,False,True,False,False,False,,False,False,False,False,False,False
Nevada,12179,8472.0,8418.8,6963.0,6678.0,,9090.2,7132.0,8563.1,1368.2,,4406.0,7724.0,4512.0,7645.8,4891.5,8014.6,5340.3,6475.6,4051.0,,4126.0,24839.4,6825.2,10261.3,5097.1,4985.0,-3707.0,-3760.2,-5216.0,-5501.0,,-3088.8,-5047.0,-3615.9,-10810.8,,-7773.0,-4455.0,-7667.0,-4533.2,-7287.5,-4164.4,-6838.7,-5703.4,-8128.0,,-8053.0,12660.4,-5353.8,-1917.7,-7081.9,-7194.0,False,False,False,,True,False,True,False,,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False
New Hampshire,1440,912.0,926.6,897.0,4482.0,,1009.9,4.0,850.9,317.3,,442.0,838.0,1431.8,944.0,1444.4,119.7,776.2,1049.4,1197.0,,708.0,74.0,867.5,1131.0,2063.0,1715.0,-528.0,-513.4,-543.0,3042.0,,-430.1,-1436.0,-589.1,-1122.7,,-998.0,-602.0,-8.2,-496.0,4.4,-1320.3,-663.8,-390.6,-243.0,,-732.0,-1366.0,-572.5,-309.0,623.0,275.0,True,False,False,,True,False,False,False,,False,False,True,True,True,False,False,True,True,,False,False,False,True,False,True
New Jersey,16540,10360.0,9932.4,10403.0,34765.0,,7344.4,120.0,9189.1,2628.3,,3163.0,10802.0,14182.4,7463.5,21616.3,12406.1,7078.1,11221.2,7823.0,,11329.1,3079.7,12183.1,8992.2,7498.4,11219.0,-6180.0,-6607.6,-6137.0,18225.0,,-9195.6,-16420.0,-7350.9,-13911.7,,-13377.0,-5738.0,-2357.6,-9076.5,5076.3,-4133.9,-9461.9,-5318.8,-8717.0,,-5210.9,-13460.3,-4356.9,-7547.8,-9041.6,-5321.0,False,True,False,,False,False,False,False,,False,True,True,False,True,True,False,True,False,,True,False,True,False,False,True
New Mexico,6061,2452.0,2421.9,2296.0,1748.0,,2858.7,1336.0,2683.0,369.2,,1337.0,3331.0,2263.9,3053.9,4049.3,1636.1,1937.6,2551.2,1848.0,,1241.9,15711.3,1741.6,4294.3,2203.3,1625.0,-3609.0,-3639.1,-3765.0,-4313.0,,-3202.3,-4725.0,-3378.0,-5691.8,,-4724.0,-2730.0,-3797.1,-3007.1,-2011.7,-4424.9,-4123.4,-3509.8,-4213.0,,-4819.1,9650.3,-4319.4,-1766.7,-3857.7,-4436.0,False,False,False,,True,False,True,False,,False,True,False,True,True,False,False,True,False,,False,False,False,True,False,False
New York,29503,19472.0,19383.2,19191.0,34800.0,,11734.0,55.0,18840.9,5020.5,,5280.0,10224.0,25305.1,18406.3,29770.7,18570.9,13639.9,21106.0,15021.0,,15991.5,3671.0,22145.9,22112.9,22013.8,17818.0,-10031.0,-10119.8,-10312.0,5297.0,,-17769.0,-29448.0,-10662.1,-24482.5,,-24223.0,-19279.0,-4197.9,-11096.7,267.7,-10932.1,-15863.1,-8397.0,-14482.0,,-13511.5,-25832.0,-7357.1,-7390.1,-7489.2,-11685.0,False,False,True,,False,False,False,False,,False,False,True,False,True,False,False,True,False,,False,False,True,True,True,False
North Carolina,40807,31692.0,29946.9,29059.0,28264.0,,30810.5,48486.0,29936.9,6131.3,,17359.0,36365.0,25382.6,38478.1,34359.8,29916.8,24761.3,28846.5,24414.0,,22146.0,83204.7,19892.1,37182.9,22469.9,18622.0,-9115.0,-10860.1,-11748.0,-12543.0,,-9996.5,7679.0,-10870.1,-34675.7,,-23448.0,-4442.0,-15424.4,-2328.9,-6447.2,-10890.2,-16045.7,-11960.5,-16393.0,,-18661.0,42397.7,-20914.9,-3624.1,-18337.1,-22185.0,False,False,False,,False,True,False,False,,False,True,False,True,True,False,False,False,False,,False,False,False,True,False,False
North Dakota,11476,7268.0,7161.2,7116.0,6171.0,,10641.1,39.0,7486.4,1650.9,,4331.0,6091.0,8404.9,7335.7,2857.4,13850.5,9159.5,7113.2,8841.0,,7699.5,6683.6,5764.1,8342.7,11239.6,5974.0,-4208.0,-4314.8,-4360.0,-5305.0,,-834.9,-11437.0,-3989.6,-9825.1,,-7145.0,-5385.0,-3071.1,-4140.3,-8618.6,2374.5,-2316.5,-4362.8,-2635.0,,-3776.5,-4792.4,-5711.9,-3133.3,-236.4,-5502.0,False,False,False,,True,False,True,False,,False,False,True,True,False,True,True,False,True,,True,False,False,True,True,False
Ohio,30890,27132.0,27115.7,25472.0,24412.0,,29612.4,21631.0,22167.7,6753.1,,14585.0,25960.0,32683.9,30992.3,32180.0,25511.6,20822.7,27842.4,23037.0,,12115.9,18271.2,16243.2,26703.6,26505.7,23220.0,-3758.0,-3774.3,-5418.0,-6478.0,,-1277.6,-9259.0,-8722.3,-24136.9,,-16305.0,-4930.0,1793.9,102.3,1290.0,-5378.4,-10067.3,-3047.6,-7853.0,,-18774.1,-12618.8,-14646.8,-4186.4,-4384.3,-7670.0,False,False,False,,True,False,False,False,,False,False,True,True,True,False,False,True,False,,False,False,False,False,False,False
Oklahoma,29962,21888.0,21843.7,19141.0,28189.0,,22773.4,15021.0,15974.1,5306.5,,12305.0,20315.0,27684.9,30328.6,18062.8,17779.1,16707.1,20884.2,20129.0,,13078.1,81797.4,13260.2,18866.2,23328.1,18622.0,-8074.0,-8118.3,-10821.0,-1773.0,,-7188.6,-14941.0,-13987.9,-24655.5,,-17657.0,-9647.0,-2277.1,366.6,-11899.2,-12182.9,-13254.9,-9077.8,-9833.0,,-16883.9,51835.4,-16701.8,-11095.8,-6633.9,-11340.0,False,False,True,,True,False,False,False,,False,False,True,True,False,False,False,False,False,,False,False,False,False,True,False
Oregon,7768,5200.0,5308.9,5105.0,6419.0,,5312.4,4403.0,4541.5,1064.3,,2790.0,5020.0,5259.4,6906.9,9570.0,5188.0,3840.5,5217.1,3505.0,,2915.8,15702.3,3248.9,5394.9,5545.9,4802.0,-2568.0,-2459.1,-2663.0,-1349.0,,-2455.6,-3365.0,-3226.5,-6703.7,,-4978.0,-2748.0,-2508.6,-861.1,1802.0,-2580.0,-3927.5,-2550.9,-4263.0,,-4852.2,7934.3,-4519.1,-2373.1,-2222.1,-2966.0,True,False,True,,True,False,False,False,,False,False,True,True,True,False,False,True,False,,False,False,False,True,True,False
