,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,UCLA-SuEIR,UMass-MechBayes,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-ensemble,error-CU-select,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-UCLA-SuEIR,error-UMass-MechBayes,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Georgia,1822,1949.7,1820.3,2058.0,1739.6,1956.0,2369.9,1808.0,1564.2,1477.0,2073.5,,1754.8,1786.0,1560.4,1756.2,127.7,236.0,-82.4,134.0,547.9,-14.0,-257.8,-345.0,251.5,,-67.2,-36.0,-261.6,-65.8,False,True,False,False,True,False,False,False,,True,True,False,True
Hawaii,17,25.6,24.1,37.0,23.4,19.0,24.2,,17.6,21.0,23.3,,20.7,21.0,29.0,26.4,8.6,20.0,6.4,2.0,7.2,,0.6,4.0,6.3,,3.7,4.0,12.0,9.4,False,True,True,True,,True,True,True,,True,True,False,False
Idaho,79,86.9,83.0,142.0,85.2,77.0,79.2,71.0,74.2,84.0,82.4,,85.8,78.0,113.7,86.5,7.9,63.0,6.2,-2.0,0.2,-8.0,-4.8,5.0,3.4,,6.8,-1.0,34.7,7.5,False,True,True,True,False,True,True,True,,True,True,False,True
Illinois,4790,4575.1,4244.3,5794.0,4663.7,5297.0,4654.2,4248.0,4765.0,5755.0,4877.5,3344.0,3955.0,4446.0,3872.1,4287.1,-214.9,1004.0,-126.3,507.0,-135.8,-542.0,-25.0,965.0,87.5,-1446.0,-835.0,-344.0,-917.9,-502.9,False,True,False,True,False,True,False,True,False,False,False,False,False
Indiana,1964,2043.4,1889.4,2353.0,2089.2,2062.0,2877.1,1631.0,1836.2,1966.0,3247.6,1947.5,1673.4,2327.0,1791.7,1816.3,79.4,389.0,125.2,98.0,913.1,-333.0,-127.8,2.0,1283.6,-16.5,-290.6,363.0,-172.3,-147.7,False,False,False,False,False,False,True,False,True,False,False,False,False
Iowa,446,372.6,340.7,524.0,557.4,809.0,460.1,390.0,401.6,757.0,525.0,,384.8,695.0,519.4,368.8,-73.4,78.0,111.4,363.0,14.1,-56.0,-44.4,311.0,79.0,,-61.2,249.0,73.4,-77.2,False,False,False,True,True,True,False,False,,True,False,True,False
Kansas,205,209.7,198.6,287.0,251.2,203.0,196.2,369.0,219.0,456.0,194.2,,299.0,181.0,199.7,213.3,4.7,82.0,46.2,-2.0,-8.8,164.0,14.0,251.0,-10.8,,94.0,-24.0,-5.3,8.3,False,False,True,False,False,False,False,False,,False,False,False,False
Kentucky,391,381.6,359.8,511.0,366.8,290.0,393.9,303.0,371.7,433.0,348.2,383.5,417.2,341.0,365.0,372.0,-9.4,120.0,-24.2,-101.0,2.9,-88.0,-19.3,42.0,-42.8,-7.5,26.2,-50.0,-26.0,-19.0,False,False,False,True,False,False,False,False,True,False,False,False,False
Louisiana,2668,2820.6,2683.9,3107.0,2457.8,2332.0,2634.7,2236.0,2501.3,2228.0,2481.1,,2583.9,2490.0,2339.0,2724.8,152.6,439.0,-210.2,-336.0,-33.3,-432.0,-166.7,-440.0,-186.9,,-84.1,-178.0,-329.0,56.8,False,False,False,True,False,False,False,False,,True,False,False,True
Maine,77,77.0,73.6,102.0,88.8,91.0,69.2,60.0,81.8,89.0,88.6,,74.9,83.0,111.7,90.3,0.0,25.0,11.8,14.0,-7.8,-17.0,4.8,12.0,11.6,,-2.1,6.0,34.7,13.3,False,False,False,False,False,False,False,False,,False,False,False,False
Maryland,2243,2341.0,2161.8,3007.0,2348.1,2301.0,1959.2,1927.0,2303.5,2554.0,3367.2,,1825.5,2547.0,1756.9,2136.1,98.0,764.0,105.1,58.0,-283.8,-316.0,60.5,311.0,1124.2,,-417.5,304.0,-486.1,-106.9,False,False,True,False,False,True,False,False,,False,False,False,False
Massachusetts,6304,7161.1,6627.5,6948.0,6731.7,6473.0,6778.7,6009.0,6188.1,8533.0,7026.1,,5595.3,7737.0,5852.0,6513.7,857.1,644.0,427.7,169.0,474.7,-295.0,-115.9,2229.0,722.1,,-708.7,1433.0,-452.0,209.7,True,True,True,True,True,True,False,True,,True,False,True,True
Michigan,5460,6409.4,6045.8,5732.0,5385.7,5384.0,6009.2,4796.0,5048.8,5691.0,5430.8,6406.5,5241.9,5444.0,5021.7,5852.6,949.4,272.0,-74.3,-76.0,549.2,-664.0,-411.2,231.0,-29.2,946.5,-218.1,-16.0,-438.3,392.6,True,True,True,True,True,True,True,True,True,True,True,True,True
Minnesota,861,835.1,764.6,1340.0,1053.9,688.0,1195.0,537.0,1076.3,1186.0,1630.2,929.5,540.0,1402.0,1137.0,774.0,-25.9,479.0,192.9,-173.0,334.0,-324.0,215.3,325.0,769.2,68.5,-321.0,541.0,276.0,-87.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Mississippi,616,520.1,483.4,606.0,477.2,413.0,416.1,323.0,393.7,564.0,454.5,,459.6,469.0,508.6,491.4,-95.9,-10.0,-138.8,-203.0,-199.9,-293.0,-222.3,-52.0,-161.5,,-156.4,-147.0,-107.4,-124.6,True,False,False,False,False,False,True,False,,False,False,False,False
Missouri,765,798.3,745.2,818.0,598.7,713.0,613.2,552.0,553.0,595.0,661.2,,512.0,537.0,617.9,601.8,33.3,53.0,-166.3,-52.0,-151.8,-213.0,-212.0,-170.0,-103.8,,-253.0,-228.0,-147.1,-163.2,False,False,False,False,False,False,False,False,,False,False,False,False
Montana,16,21.7,20.7,30.0,24.1,17.0,13.2,16.0,16.2,14.0,27.6,,20.1,20.0,40.6,23.3,5.7,14.0,8.1,1.0,-2.8,0.0,0.2,-2.0,11.6,,4.1,4.0,24.6,7.3,False,False,True,True,True,True,True,False,,True,True,False,False
Nebraska,147,140.9,130.2,266.0,218.7,155.0,195.1,420.0,165.3,442.0,205.2,,173.5,283.0,185.0,143.4,-6.1,119.0,71.7,8.0,48.1,273.0,18.3,295.0,58.2,,26.5,136.0,38.0,-3.6,False,False,False,False,False,False,False,False,,False,False,False,True
Nevada,387,406.6,381.5,462.0,379.2,482.0,385.5,422.0,356.2,403.0,323.3,,362.6,333.0,338.3,389.3,19.6,75.0,-7.8,95.0,-1.5,35.0,-30.8,16.0,-63.7,,-24.4,-54.0,-48.7,2.3,False,True,False,True,False,False,True,False,,False,False,False,True
New Hampshire,208,160.3,147.7,188.0,178.0,222.0,130.0,124.0,165.8,162.0,262.4,,123.1,166.0,171.3,153.0,-47.7,-20.0,-30.0,14.0,-78.0,-84.0,-42.2,-46.0,54.4,,-84.9,-42.0,-36.7,-55.0,True,True,True,False,False,True,True,False,,False,True,True,False
New Jersey,11082,13393.9,12460.4,12505.0,11146.7,10724.0,12861.7,10885.0,11478.3,11761.0,12469.0,,10731.6,10923.0,9700.9,11376.8,2311.9,1423.0,64.7,-358.0,1779.7,-197.0,396.3,679.0,1387.0,,-350.4,-159.0,-1381.1,294.8,True,True,True,True,True,True,True,True,,True,True,True,True
New Mexico,302,299.6,274.5,375.0,319.8,185.0,279.6,238.0,264.3,312.0,466.8,,213.8,349.0,356.2,276.5,-2.4,73.0,17.8,-117.0,-22.4,-64.0,-37.7,10.0,164.8,,-88.2,47.0,54.2,-25.5,False,False,False,False,False,False,False,False,,False,False,False,False
New York,29031,31676.6,30498.7,35264.0,28997.0,29037.0,30624.9,24163.0,29518.4,27493.0,28035.6,,26081.0,26928.0,20658.8,29667.3,2645.6,6233.0,-34.0,6.0,1593.9,-4868.0,487.4,-1538.0,-995.4,,-2950.0,-2103.0,-8372.2,636.3,False,True,True,True,False,True,True,True,,False,True,False,True
North Carolina,778,748.3,695.2,1018.0,809.4,903.0,858.2,644.0,651.2,889.0,1016.3,,653.4,819.0,842.4,711.5,-29.7,240.0,31.4,125.0,80.2,-134.0,-126.8,111.0,238.3,,-124.6,41.0,64.4,-66.5,False,False,False,False,False,False,False,False,,False,False,False,False
North Dakota,52,47.9,44.0,70.0,55.0,9.0,36.7,48.0,34.7,63.0,73.7,,38.4,61.0,72.7,41.8,-4.1,18.0,3.0,-43.0,-15.3,-4.0,-17.3,11.0,21.7,,-13.6,9.0,20.7,-10.2,False,True,False,False,True,False,False,False,,False,False,False,False
Ohio,1956,1927.6,1777.4,2270.0,1917.7,1930.0,2035.4,1536.0,1702.8,2106.0,2503.8,2284.0,1518.8,2143.0,1724.8,1718.2,-28.4,314.0,-38.3,-26.0,79.4,-420.0,-253.2,150.0,547.8,328.0,-437.2,187.0,-231.2,-237.8,False,False,True,False,False,False,False,False,False,False,False,False,False
Oklahoma,311,360.9,340.1,460.0,342.3,306.0,371.5,252.0,355.5,362.0,377.7,,342.4,315.0,329.3,354.3,49.9,149.0,31.3,-5.0,60.5,-59.0,44.5,51.0,66.7,,31.4,4.0,18.3,43.3,False,True,True,False,False,True,False,False,,True,True,True,True
Oregon,147,157.6,149.4,220.0,154.2,163.0,160.9,150.0,155.5,160.0,154.2,,148.1,136.0,165.9,152.9,10.6,73.0,7.2,16.0,13.9,3.0,8.5,13.0,7.2,,1.1,-11.0,18.9,5.9,False,True,False,False,True,True,False,True,,True,False,False,True
Pennsylvania,5112,5302.9,4866.3,5527.0,4689.6,4026.0,5812.5,4238.0,3700.7,4878.0,7657.1,,3875.9,4322.0,4538.7,4514.0,190.9,415.0,-422.4,-1086.0,700.5,-874.0,-1411.3,-234.0,2545.1,,-1236.1,-790.0,-573.3,-598.0,False,False,False,False,False,False,False,False,,False,False,False,False
Rhode Island,597,588.6,543.2,645.0,543.5,688.0,450.5,580.0,448.9,612.0,497.0,,538.8,504.0,544.7,515.3,-8.4,48.0,-53.5,91.0,-146.5,-17.0,-148.1,15.0,-100.0,,-58.2,-93.0,-52.3,-81.7,False,False,False,False,False,False,False,False,,False,False,False,False
South Carolina,425,563.6,514.8,587.0,529.3,436.0,692.7,285.0,432.7,383.0,653.9,,346.8,795.0,591.6,453.6,138.6,162.0,104.3,11.0,267.7,-140.0,7.7,-42.0,228.9,,-78.2,370.0,166.6,28.6,False,True,True,False,False,True,True,False,,True,False,False,True
South Dakota,50,49.6,44.7,139.0,46.6,62.0,50.1,158.0,25.9,34.0,54.8,,30.8,73.0,339.2,33.9,-0.4,89.0,-3.4,12.0,0.1,108.0,-24.1,-16.0,4.8,,-19.2,23.0,289.2,-16.1,False,False,False,True,False,False,False,False,,False,False,False,False
Tennessee,329,292.9,278.9,507.0,368.3,539.0,347.5,562.0,335.0,405.0,345.1,,365.4,224.0,306.3,281.0,-36.1,178.0,39.3,210.0,18.5,233.0,6.0,76.0,16.1,,36.4,-105.0,-22.7,-48.0,False,False,False,True,False,True,False,True,,False,False,True,False
Texas,1478,1526.6,1416.9,1698.0,1468.9,2126.0,1696.5,1597.0,1479.2,1270.0,1420.7,,1322.2,1352.0,1374.9,1403.0,48.6,220.0,-9.1,648.0,218.5,119.0,1.2,-208.0,-57.3,,-155.8,-126.0,-103.1,-75.0,False,True,False,False,False,True,False,False,,False,False,False,False
Utah,97,75.7,71.4,287.0,91.1,153.0,74.0,142.0,78.8,74.0,84.5,,72.8,86.0,100.6,80.3,-21.3,190.0,-5.9,56.0,-23.0,45.0,-18.2,-23.0,-12.5,,-24.2,-11.0,3.6,-16.7,False,True,False,False,False,True,False,True,,False,True,True,True
Vermont,54,73.0,69.6,82.0,73.2,55.0,53.6,58.0,57.3,61.0,73.4,,64.0,62.0,111.9,72.4,19.0,28.0,19.2,1.0,-0.4,4.0,3.3,7.0,19.4,,10.0,8.0,57.9,18.4,False,False,True,True,True,True,True,False,,True,True,False,True
Virginia,1159,1262.9,1161.0,1585.0,1286.4,1338.0,1046.6,1025.0,1299.0,1593.0,1322.7,,1042.3,1378.0,1208.9,1108.0,103.9,426.0,127.4,179.0,-112.4,-134.0,140.0,434.0,163.7,,-116.7,219.0,49.9,-51.0,False,False,False,False,False,False,False,False,,False,False,True,True
Washington,1050,1076.9,1035.8,1174.0,1082.0,1132.0,1089.8,1242.0,1123.8,910.0,1245.6,,1100.5,953.0,1043.7,1038.1,26.9,124.0,32.0,82.0,39.8,192.0,73.8,-140.0,195.6,,50.5,-97.0,-6.3,-11.9,False,False,False,False,False,False,False,False,,False,False,True,True
West Virginia,72,88.0,81.2,96.0,86.4,57.0,73.7,50.0,59.3,63.0,160.3,,64.6,82.0,120.3,86.1,16.0,24.0,14.4,-15.0,1.7,-22.0,-12.7,-9.0,88.3,,-7.4,10.0,48.3,14.1,False,True,True,True,False,True,True,False,,True,True,False,True
Wisconsin,507,530.4,498.1,617.0,559.3,747.0,525.6,467.0,542.2,681.0,454.9,474.0,523.9,396.0,512.1,457.1,23.4,110.0,52.3,240.0,18.6,-40.0,35.2,174.0,-52.1,-33.0,16.9,-111.0,5.1,-49.9,False,False,False,True,False,False,False,False,False,True,False,True,False
Wyoming,12,7.0,7.0,17.0,12.2,7.0,6.0,7.0,8.3,9.0,12.8,,9.6,15.0,11.6,15.0,-5.0,5.0,0.2,-5.0,-6.0,-5.0,-3.7,-3.0,0.8,,-2.4,3.0,-0.4,3.0,False,True,False,False,False,True,True,True,,True,True,True,True
US,97406,104641.4,98446.6,,95013.9,97534.0,103071.9,86775.0,99571.7,101648.0,92779.4,,93205.4,,84651.0,96419.7,7235.4,,-2392.1,128.0,5665.9,-10631.0,2165.7,4242.0,-4626.6,,-4200.6,,-12755.0,-986.3,,True,True,True,False,True,True,True,,True,,False,True
