,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,55769,72696.0,66371.0,,53792.4,39587.0,,69499.0,55954.4,69864.4,32909.5,39268.5,27964.7,49205.1,47429.1,41064.0,16927.0,10602.0,,-1976.6,-16182.0,,13730.0,185.4,14095.4,-22859.5,-16500.5,-27804.3,-6563.9,-8339.9,-14705.0,True,,True,True,,True,True,True,False,True,False,True,True,True
Hawaii,3799,4428.0,1171.0,,2876.0,2877.0,,,2094.5,4522.9,6279.1,2428.7,987.0,4406.8,2182.9,1998.0,629.0,-2628.0,,-923.0,-922.0,,,-1704.5,723.9,2480.1,-1370.3,-2812.0,607.8,-1616.1,-1801.0,False,,False,False,,,False,False,False,False,False,True,False,False
Idaho,27361,12480.0,14467.0,,11139.8,6982.0,,10626.0,9219.0,18511.2,8957.7,6624.6,6453.8,7724.3,13504.2,8890.0,-14881.0,-12894.0,,-16221.2,-20379.0,,-16735.0,-18142.0,-8849.8,-18403.3,-20736.4,-20907.2,-19636.7,-13856.8,-18471.0,True,,False,False,,False,False,True,False,False,False,False,True,False
Illinois,141506,78252.0,128819.0,,58492.5,11949.0,,60180.0,83313.9,68982.5,57470.6,44323.4,50147.7,68003.0,62974.4,50505.0,-63254.0,-12687.0,,-83013.5,-129557.0,,-81326.0,-58192.1,-72523.5,-84035.4,-97182.6,-91358.3,-73503.0,-78531.6,-91001.0,True,,False,False,,False,True,False,False,False,False,False,False,False
Indiana,68599,37188.0,49674.0,,33157.9,25729.0,,23167.0,33141.6,44700.5,31059.0,21225.7,19534.7,29464.0,32242.0,28306.0,-31411.0,-18925.0,,-35441.1,-42870.0,,-45432.0,-35457.4,-23898.5,-37540.0,-47373.3,-49064.3,-39135.0,-36357.0,-40293.0,True,,False,False,,False,False,True,False,False,False,False,False,False
Iowa,48706,33594.0,45912.0,,25971.0,27045.0,,29514.0,24225.1,40193.6,19280.2,21532.2,20314.5,24279.0,38634.8,17688.0,-15112.0,-2794.0,,-22735.0,-21661.0,,-19192.0,-24480.9,-8512.4,-29425.8,-27173.8,-28391.5,-24427.0,-10071.2,-31018.0,True,,False,False,,False,False,True,False,False,False,False,True,False
Kansas,34417,22968.0,31766.0,,18434.7,21243.0,,17325.0,13860.8,37221.1,14496.1,11340.2,7734.6,22615.7,15815.2,15317.0,-11449.0,-2651.0,,-15982.3,-13174.0,,-17092.0,-20556.2,2804.1,-19920.9,-23076.8,-26682.4,-11801.3,-18601.8,-19100.0,True,,False,False,,False,False,True,False,False,False,False,False,False
Kentucky,46113,28146.0,31524.0,,25231.5,25394.0,,29852.0,25702.5,38018.8,24358.8,16567.3,15229.0,23658.7,27044.6,24720.0,-17967.0,-14589.0,,-20881.5,-20719.0,,-16261.0,-20410.5,-8094.2,-21754.2,-29545.7,-30884.0,-22454.3,-19068.4,-21393.0,True,,False,False,,True,False,True,False,False,False,False,False,False
Louisiana,25327,24654.0,35873.0,,16016.6,12454.0,,37777.0,16024.5,19843.9,19069.0,14414.7,11734.4,20945.9,12089.8,13484.0,-673.0,10546.0,,-9310.4,-12873.0,,12450.0,-9302.5,-5483.1,-6258.0,-10912.3,-13592.6,-4381.1,-13237.2,-11843.0,False,,False,False,,False,False,False,False,False,False,False,False,False
Maine,1628,1200.0,1900.0,,977.2,302.0,,2848.0,1585.3,2933.3,1994.1,783.4,367.5,905.9,2570.5,1492.0,-428.0,272.0,,-650.8,-1326.0,,1220.0,-42.7,1305.3,366.1,-844.6,-1260.5,-722.1,942.5,-136.0,True,,False,False,,False,True,False,True,False,False,False,False,True
Maryland,25537,25266.0,30507.0,,21128.8,787.0,,20989.0,30127.6,21028.9,33555.3,13219.7,11246.9,20741.2,21397.0,19357.0,-271.0,4970.0,,-4408.2,-24750.0,,-4548.0,4590.6,-4508.1,8018.3,-12317.3,-14290.1,-4795.8,-4140.0,-6180.0,False,,False,False,,False,False,False,False,False,False,False,False,False
Massachusetts,31395,15846.0,24427.0,,4308.0,109.0,,9299.0,16356.7,9896.4,14813.6,10330.3,4140.7,13467.1,40899.2,24546.0,-15549.0,-6968.0,,-27087.0,-31286.0,,-22096.0,-15038.3,-21498.6,-16581.4,-21064.7,-27254.3,-17927.9,9504.2,-6849.0,True,,False,False,,False,True,False,False,False,False,False,True,True
Michigan,69319,30174.0,31862.0,,24937.7,9476.0,,37420.0,33396.6,29828.0,37276.4,10171.8,4635.6,18888.2,16350.7,12501.0,-39145.0,-37457.0,,-44381.3,-59843.0,,-31899.0,-35922.4,-39491.0,-32042.6,-59147.2,-64683.4,-50430.8,-52968.3,-56818.0,True,,False,False,,True,True,False,True,False,False,False,False,False
Minnesota,59751,30798.0,33203.0,,23240.5,3970.0,,32578.0,28573.9,32879.2,19858.1,29155.0,23009.5,26888.2,92657.8,41722.0,-28953.0,-26548.0,,-36510.5,-55781.0,,-27173.0,-31177.1,-26871.8,-39892.9,-30596.0,-36741.5,-32862.8,32906.8,-18029.0,True,,False,False,,True,False,True,False,False,False,False,False,True
Mississippi,27073,20802.0,13965.0,,13778.6,9275.0,,21499.0,19576.9,17344.9,10658.5,12364.4,7285.5,12962.7,13841.1,10647.0,-6271.0,-13108.0,,-13294.4,-17798.0,,-5574.0,-7496.1,-9728.1,-16414.5,-14708.6,-19787.5,-14110.3,-13231.9,-16426.0,False,,False,False,,True,False,False,False,False,False,False,False,False
Missouri,73280,63444.0,81423.0,,57114.2,43576.0,,42696.0,60063.9,73580.5,33547.9,36649.7,31027.3,41103.4,51703.3,41159.0,-9836.0,8143.0,,-16165.8,-29704.0,,-30584.0,-13216.1,300.5,-39732.1,-36630.3,-42252.7,-32176.6,-21576.7,-32121.0,True,,False,False,,False,False,True,False,False,False,False,False,False
Montana,22638,7428.0,3315.0,,6308.7,3082.0,,8698.0,5976.2,10245.5,3959.0,5988.2,3259.5,4011.9,17455.4,7853.0,-15210.0,-19323.0,,-16329.3,-19556.0,,-13940.0,-16661.8,-12392.5,-18679.0,-16649.8,-19378.5,-18626.1,-5182.6,-14785.0,False,,False,False,,True,False,True,False,False,False,False,True,True
Nebraska,29935,16062.0,20927.0,,14638.0,1590.0,,10230.0,21788.6,22431.2,8234.6,9768.6,6279.5,14042.9,16987.9,9644.0,-13873.0,-9008.0,,-15297.0,-28345.0,,-19705.0,-8146.4,-7503.8,-21700.4,-20166.4,-23655.5,-15892.1,-12947.1,-20291.0,True,,False,False,,False,True,True,False,False,False,False,True,False
Nevada,25342,13194.0,11950.0,,10878.7,6693.0,,6436.0,9583.7,11137.7,6452.8,8406.2,8365.7,9933.4,11606.3,11876.0,-12148.0,-13392.0,,-14463.3,-18649.0,,-18906.0,-15758.3,-14204.3,-18889.2,-16935.8,-16976.3,-15408.6,-13735.7,-13466.0,False,,False,False,,False,False,False,False,False,False,False,False,False
New Hampshire,3164,1608.0,3966.0,,1798.2,2.0,,1183.0,1706.8,1886.9,2167.2,924.7,777.5,1456.5,3223.0,1562.0,-1556.0,802.0,,-1365.8,-3162.0,,-1981.0,-1457.2,-1277.1,-996.8,-2239.3,-2386.5,-1707.5,59.0,-1602.0,True,,True,False,,False,True,True,True,False,False,False,True,False
New Jersey,46292,17832.0,36776.0,,9888.5,77.0,,13420.0,22481.8,12053.7,48701.3,10623.5,28060.2,22723.4,27748.0,23036.0,-28460.0,-9516.0,,-36403.5,-46215.0,,-32872.0,-23810.2,-34238.3,2409.3,-35668.5,-18231.8,-23568.6,-18544.0,-23256.0,True,,False,False,,False,True,False,True,False,True,True,True,True
New Mexico,18978,5106.0,3784.0,,4096.2,1509.0,,7022.0,4692.4,5590.9,7531.8,3068.6,1902.8,3750.6,5604.2,4903.0,-13872.0,-15194.0,,-14881.8,-17469.0,,-11956.0,-14285.6,-13387.1,-11446.2,-15909.4,-17075.2,-15227.4,-13373.8,-14075.0,False,,False,False,,True,False,True,True,False,False,False,True,False
New York,60106,32388.0,39497.0,,9874.4,27.0,,13985.0,37901.6,27297.9,44127.7,18894.4,32922.1,27665.4,29086.6,35071.0,-27718.0,-20609.0,,-50231.6,-60079.0,,-46121.0,-22204.4,-32808.1,-15978.3,-41211.6,-27183.9,-32440.6,-31019.4,-25035.0,True,,False,False,,False,True,False,True,False,True,False,False,True
North Carolina,76369,51054.0,44749.0,,41377.8,63259.0,,52558.0,47283.7,58839.8,52289.6,32552.3,30771.9,38188.1,51503.6,35439.0,-25315.0,-31620.0,,-34991.2,-13110.0,,-23811.0,-29085.3,-17529.2,-24079.4,-43816.7,-45597.1,-38180.9,-24865.4,-40930.0,False,,False,True,,True,False,True,True,False,False,False,True,False
North Dakota,26309,14736.0,8652.0,,14305.8,24.0,,14804.0,12654.0,16018.1,3706.1,10929.4,8820.2,8747.8,13197.6,7286.0,-11573.0,-17657.0,,-12003.2,-26285.0,,-11505.0,-13655.0,-10290.9,-22602.9,-15379.6,-17488.8,-17561.2,-13111.4,-19023.0,False,,False,False,,True,False,True,False,False,False,False,False,False
Ohio,72150,41874.0,39378.0,,37085.7,32604.0,,32251.0,42242.2,50955.1,41534.1,21914.8,18204.1,29238.5,30846.7,32360.0,-30276.0,-32772.0,,-35064.3,-39546.0,,-39899.0,-29907.8,-21194.9,-30615.9,-50235.2,-53945.9,-42911.5,-41303.3,-39790.0,False,,False,False,,False,True,True,False,False,False,False,False,False
Oklahoma,46958,42870.0,48946.0,,34269.3,28198.0,,33207.0,54417.0,60607.5,23216.7,29053.8,30206.5,22152.5,51584.2,29744.0,-4088.0,1988.0,,-12688.7,-18760.0,,-13751.0,7459.0,13649.5,-23741.3,-17904.2,-16751.5,-24805.5,4626.2,-17214.0,True,,False,False,,False,False,False,False,False,False,False,False,False
Oregon,14322,7116.0,5962.0,,8701.5,5130.0,,6566.0,7772.0,12102.3,12256.7,6225.6,5041.9,4171.8,16060.4,8911.0,-7206.0,-8360.0,,-5620.5,-9192.0,,-7756.0,-6550.0,-2219.7,-2065.3,-8096.4,-9280.1,-10150.2,1738.4,-5411.0,False,,True,False,,False,True,True,True,False,False,False,True,True
Pennsylvania,58555,33606.0,81263.0,,33396.9,2140.0,,28940.0,42733.8,36453.5,38541.3,16908.2,16046.8,23931.9,29280.9,30375.0,-24949.0,22708.0,,-25158.1,-56415.0,,-29615.0,-15821.2,-22101.5,-20013.7,-41646.8,-42508.2,-34623.1,-29274.1,-28180.0,True,,False,False,,False,True,True,True,False,False,False,False,False
Rhode Island,9384,4290.0,2493.0,,4083.2,0.0,,5172.0,5763.8,3352.8,5266.8,1597.4,559.2,3876.7,2030.4,2745.0,-5094.0,-6891.0,,-5300.8,-9384.0,,-4212.0,-3620.2,-6031.2,-4117.2,-7786.6,-8824.8,-5507.3,-7353.6,-6639.0,False,,False,False,,True,True,False,True,False,False,False,False,False
South Carolina,39372,43572.0,46163.0,,35758.4,12621.0,,34118.0,36858.9,41382.8,9699.3,17964.5,7179.7,26082.6,21856.1,24774.0,4200.0,6791.0,,-3613.6,-26751.0,,-5254.0,-2513.1,2010.8,-29672.7,-21407.5,-32192.3,-13289.4,-17515.9,-14598.0,False,,True,False,,False,True,True,False,False,False,False,False,False
South Dakota,27548,12042.0,9179.0,,9589.3,139.0,,12394.0,13889.6,14355.5,1871.1,9373.7,7222.6,8882.5,16280.1,7211.0,-15506.0,-18369.0,,-17958.7,-27409.0,,-15154.0,-13658.4,-13192.5,-25676.9,-18174.3,-20325.4,-18665.5,-11267.9,-20337.0,False,,False,False,,True,True,True,False,False,False,False,True,False
Tennessee,79233,63288.0,68267.0,,48653.8,28186.0,,54839.0,32489.0,93455.6,30312.4,45729.2,37875.4,33553.6,53916.1,43651.0,-15945.0,-10966.0,,-30579.2,-51047.0,,-24394.0,-46744.0,14222.6,-48920.6,-33503.8,-41357.6,-45679.4,-25316.9,-35582.0,True,,False,False,,False,False,True,False,False,False,False,False,False
Texas,230799,181890.0,313937.0,,105352.1,73342.0,,190096.0,95302.0,196165.2,79593.9,106245.1,47920.6,131394.9,169816.0,154039.0,-48909.0,83138.0,,-125446.9,-157457.0,,-40703.0,-135497.0,-34633.8,-151205.1,-124553.9,-182878.4,-99404.1,-60983.0,-76760.0,False,,False,False,,True,False,True,False,False,False,False,False,False
Utah,51804,33630.0,75124.0,,30498.3,7917.0,,23526.0,33233.6,29354.3,8575.3,26399.4,27601.6,16899.8,79551.9,31996.0,-18174.0,23320.0,,-21305.7,-43887.0,,-28278.0,-18570.4,-22449.7,-43228.7,-25404.6,-24202.4,-34904.2,27747.9,-19808.0,False,,False,False,,False,False,False,False,False,False,False,False,False
Vermont,469,198.0,472.0,,365.3,77.0,,206.0,87.7,1349.3,759.5,50.6,170.1,295.0,138.6,150.0,-271.0,3.0,,-103.7,-392.0,,-263.0,-381.3,880.3,290.5,-418.4,-298.9,-174.0,-330.4,-319.0,True,,True,False,,True,False,False,False,False,False,True,False,False
Virginia,41535,40068.0,50865.0,,36959.6,5055.0,,25231.0,40777.1,61360.8,30635.7,23479.7,24650.4,27818.5,31843.1,849.0,-1467.0,9330.0,,-4575.4,-36480.0,,-16304.0,-757.9,19825.8,-10899.3,-18055.3,-16884.6,-13716.5,-9691.9,-40686.0,False,,False,False,,False,True,False,False,False,False,False,False,False
Washington,27186,16338.0,31496.0,,11599.1,29065.0,,8470.0,14917.2,14793.7,16075.8,10048.6,7734.5,12810.7,19132.6,13775.0,-10848.0,4310.0,,-15586.9,1879.0,,-18716.0,-12268.8,-12392.3,-11110.2,-17137.4,-19451.5,-14375.3,-8053.4,-13411.0,True,,False,True,,False,False,False,False,False,False,False,True,False
West Virginia,10571,8166.0,10675.0,,9159.4,6833.0,,5388.0,11452.7,15583.6,8554.2,5864.9,4076.6,3994.6,9899.8,7982.0,-2405.0,104.0,,-1411.6,-3738.0,,-5183.0,881.7,5012.6,-2016.8,-4706.1,-6494.4,-6576.4,-671.2,-2589.0,True,,True,False,,False,True,False,True,False,False,False,True,False
Wisconsin,138307,58056.0,115326.0,,64539.9,35410.0,,43694.0,64485.7,92571.1,28984.6,113376.7,58787.4,38254.8,194181.8,82599.0,-80251.0,-22981.0,,-73767.1,-102897.0,,-94613.0,-73821.3,-45735.9,-109322.4,-24930.3,-79519.6,-100052.2,55874.8,-55708.0,True,,True,False,,False,True,True,False,True,True,False,True,True
Wyoming,8517,2904.0,3270.0,,2605.2,662.0,,3165.0,2282.8,11987.4,1751.8,2373.8,2252.3,1644.9,8312.0,3854.0,-5613.0,-5247.0,,-5911.8,-7855.0,,-5352.0,-6234.2,3470.4,-6765.1,-6143.2,-6264.7,-6872.1,-205.0,-4663.0,True,,False,False,,True,False,True,False,False,False,False,True,True
US,2388924,1679082.0,2505340.0,1418819.0,857690.2,749180.0,1683161.0,1428155.0,1459774.4,1853982.2,1129115.9,986212.4,835780.1,1219343.8,1857298.5,1410950.0,-709842.0,116416.0,-970105.0,-1531233.8,-1639744.0,-705763.0,-960769.0,-929149.6,-534941.8,-1259808.1,-1402711.6,-1553143.9,-1169580.2,-531625.5,-977974.0,True,False,False,False,True,False,False,True,False,False,False,False,True,False
