,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,UCLA-SuEIR,UMass-MechBayes,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-ensemble,error-CU-select,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-UCLA-SuEIR,error-UMass-MechBayes,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Nevada,417,458.6,414.2,537.0,421.1,643.0,410.9,439.0,375.1,431.0,335.4,,384.0,354.0,348.9,431.0,41.6,120.0,4.1,226.0,-6.1,22.0,-41.9,14.0,-81.6,,-33.0,-63.0,-68.1,14.0,False,True,False,True,True,False,True,False,,True,False,False,True
New Hampshire,238,186.3,164.1,227.0,215.6,259.0,141.2,132.0,189.7,188.0,355.5,,132.4,217.0,208.1,176.6,-51.7,-11.0,-22.4,21.0,-96.8,-106.0,-48.3,-50.0,117.5,,-105.6,-21.0,-29.9,-61.4,True,True,True,False,False,True,True,False,,False,True,True,False
New Jersey,11634,15326.9,13676.0,13642.0,11858.3,11318.0,13888.6,11253.0,12224.9,12536.0,13773.3,,11301.4,11639.0,9795.5,12265.6,3692.9,2008.0,224.3,-316.0,2254.6,-381.0,590.9,902.0,2139.3,,-332.6,5.0,-1838.5,631.6,True,True,True,True,True,True,True,True,,True,True,True,True
New Mexico,351,351.6,307.2,472.0,391.0,201.0,317.0,262.0,291.1,364.0,635.9,,232.2,444.0,451.0,318.3,0.6,121.0,40.0,-150.0,-34.0,-89.0,-59.9,13.0,284.9,,-118.8,93.0,100.0,-32.7,False,False,False,False,False,False,False,False,,False,False,False,False
New York,30429,35438.7,33237.0,37652.0,29913.8,30162.0,31312.7,24755.0,30505.3,28629.0,28697.5,,27477.2,27379.0,20682.1,30710.4,5009.7,7223.0,-515.2,-267.0,883.7,-5674.0,76.3,-1800.0,-1731.5,,-2951.8,-3050.0,-9746.9,281.4,False,True,True,True,False,True,True,True,,True,True,False,True
North Carolina,929,858.3,764.3,1274.0,935.2,1133.0,945.8,670.0,700.8,1035.0,1253.6,,709.3,923.0,952.7,792.6,-70.7,345.0,6.2,204.0,16.8,-259.0,-228.2,106.0,324.6,,-219.7,-6.0,23.7,-136.4,False,True,False,True,False,False,False,False,,False,True,True,False
North Dakota,60,55.9,49.0,89.0,73.8,9.0,37.4,61.0,37.4,79.0,100.1,,42.0,82.0,129.3,47.5,-4.1,29.0,13.8,-51.0,-22.6,1.0,-22.6,19.0,40.1,,-18.0,22.0,69.3,-12.5,False,False,False,False,True,False,False,False,,False,False,False,False
Ohio,2149,2238.6,1973.0,2784.0,2247.8,2622.0,2187.0,1578.0,1871.6,2393.0,3097.1,2666.0,1617.9,2580.0,1879.9,1931.5,89.6,635.0,98.8,473.0,38.0,-571.0,-277.4,244.0,948.1,517.0,-531.1,431.0,-269.1,-217.5,False,False,False,True,False,False,False,False,False,False,False,False,False
Oklahoma,334,403.9,367.1,553.0,372.7,364.0,404.7,269.0,386.5,383.0,416.0,,365.3,337.0,342.4,393.6,69.9,219.0,38.7,30.0,70.7,-65.0,52.5,49.0,82.0,,31.3,3.0,8.4,59.6,False,True,True,False,True,True,True,False,,True,True,True,True
Oregon,153,174.6,160.1,260.0,165.3,173.0,171.8,152.0,166.5,169.0,165.8,,157.5,142.0,186.6,165.9,21.6,107.0,12.3,20.0,18.8,-1.0,13.5,16.0,12.8,,4.5,-11.0,33.6,12.9,False,True,True,True,True,True,True,True,,True,True,False,True
Pennsylvania,5537,6206.9,5434.8,6453.0,5286.3,4493.0,6459.6,4383.0,3887.6,5406.0,9857.7,,4099.9,4695.0,4787.9,5051.2,669.9,916.0,-250.7,-1044.0,922.6,-1154.0,-1649.4,-131.0,4320.7,,-1437.1,-842.0,-749.1,-485.8,False,True,False,False,False,False,True,False,,False,False,False,True
Rhode Island,711,682.6,602.3,735.0,593.8,747.0,469.1,633.0,476.3,679.0,550.0,,598.0,548.0,583.7,571.4,-28.4,24.0,-117.2,36.0,-241.9,-78.0,-234.7,-32.0,-161.0,,-113.0,-163.0,-127.3,-139.6,True,False,False,False,False,False,False,False,,False,False,False,False
South Carolina,487,664.6,578.3,720.0,663.7,562.0,795.0,287.0,463.8,413.0,845.5,,365.2,1161.0,733.9,519.5,177.6,233.0,176.7,75.0,308.0,-200.0,-23.2,-74.0,358.5,,-121.8,674.0,246.9,32.5,False,True,True,False,False,True,True,False,,True,False,False,True
South Dakota,62,59.6,51.0,180.0,60.7,84.0,68.5,251.0,26.9,37.0,71.2,,32.8,112.0,1836.9,38.9,-2.4,118.0,-1.3,22.0,6.5,189.0,-35.1,-25.0,9.2,,-29.2,50.0,1774.9,-23.1,False,True,False,False,False,False,False,False,,False,False,False,False
Tennessee,364,321.9,297.1,619.0,434.7,804.0,393.0,665.0,371.8,437.0,399.0,,403.1,227.0,325.3,302.0,-42.1,255.0,70.7,440.0,29.0,301.0,7.8,73.0,35.0,,39.1,-137.0,-38.7,-62.0,False,False,False,True,False,True,False,True,,True,False,True,False
Texas,1652,1753.6,1559.7,2020.0,1750.4,3463.0,1976.2,1959.0,1635.6,1332.0,1575.4,,1417.1,1510.0,1473.4,1595.8,101.6,368.0,98.4,1811.0,324.2,307.0,-16.4,-320.0,-76.6,,-234.9,-142.0,-178.6,-56.2,False,True,False,False,False,True,False,True,,False,False,False,True
Utah,112,84.7,77.0,376.0,104.2,187.0,79.9,155.0,86.2,78.0,95.6,,79.2,99.0,119.4,91.0,-27.3,264.0,-7.8,75.0,-32.1,43.0,-25.8,-34.0,-16.4,,-32.8,-13.0,7.4,-21.0,False,True,False,False,False,True,False,True,,False,True,True,True
Vermont,55,80.0,74.0,89.0,89.1,55.0,53.6,58.0,58.3,62.0,80.0,,66.5,64.0,191.1,78.0,25.0,34.0,34.1,0.0,-1.4,3.0,3.3,7.0,25.0,,11.5,9.0,136.1,23.0,False,False,True,True,True,True,True,True,,True,True,False,True
Virginia,1370,1473.9,1293.7,1979.0,1495.4,1539.0,1106.2,1084.0,1505.3,1936.0,1583.0,,1147.7,1689.0,1317.8,1244.5,103.9,609.0,125.4,169.0,-263.8,-286.0,135.3,566.0,213.0,,-222.3,319.0,-52.2,-125.5,False,False,False,False,False,False,False,False,,False,False,True,False
Washington,1118,1161.9,1089.3,1262.0,1154.3,1208.0,1120.1,1268.0,1190.7,919.0,1435.2,,1156.1,976.0,1108.9,1092.2,43.9,144.0,36.3,90.0,2.1,150.0,72.7,-199.0,317.2,,38.1,-142.0,-9.1,-25.8,False,True,False,True,False,False,False,False,,True,False,True,True
West Virginia,75,102.0,90.0,113.0,103.3,70.0,80.9,50.0,61.6,66.0,217.4,,68.0,90.0,157.1,98.8,27.0,38.0,28.3,-5.0,5.9,-25.0,-13.4,-9.0,142.4,,-7.0,15.0,82.1,23.8,False,False,True,True,True,True,True,False,,True,True,False,True
Wisconsin,588,597.4,540.2,733.0,623.4,895.0,571.9,497.0,602.6,766.0,481.7,515.5,568.3,408.0,566.8,488.9,9.4,145.0,35.4,307.0,-16.1,-91.0,14.6,178.0,-106.3,-72.5,-19.7,-180.0,-21.2,-99.1,False,False,False,False,False,False,False,False,False,False,False,False,False
Wyoming,16,7.0,7.0,19.0,13.8,8.0,6.0,7.0,8.7,10.0,15.2,,10.2,17.0,14.9,17.5,-9.0,3.0,-2.2,-8.0,-10.0,-9.0,-7.3,-6.0,-0.8,,-5.8,1.0,-1.1,1.5,True,True,True,False,False,True,True,True,,True,True,True,True
US,104773,118792.6,107718.1,,102955.0,109437.0,110259.1,90794.0,107313.7,111124.0,98299.5,,98748.5,,92905.4,104156.4,14019.6,,-1818.0,4664.0,5486.1,-13979.0,2540.7,6351.0,-6473.5,,-6024.5,,-11867.6,-616.6,,True,True,True,True,True,True,True,,True,,True,True
