,actual_deaths,Baseline,Baseline_0.98,CU-select,IHME-CurveFit,LANL-GrowthRate,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-CU-select,error-IHME-CurveFit,error-LANL-GrowthRate,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-CU-select,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Ohio,2149,1747.9,1348.0,1918.0,770.6,3478.2,1039.6,1345.9,-401.1,-801.0,-231.0,-1378.4,1329.2,-1109.4,-803.1,True,False,False,False,False
Oklahoma,334,397.7,317.0,172.0,304.1,243.5,227.0,312.7,63.7,-17.0,-162.0,-29.9,-90.5,-107.0,-21.3,False,True,False,False,True
Oregon,153,202.9,162.5,160.0,120.3,148.2,166.3,176.8,49.9,9.5,7.0,-32.7,-4.8,13.3,23.8,True,True,True,True,True
Pennsylvania,5537,5487.3,4168.5,6217.0,2323.2,4321.7,3257.9,3924.8,-49.7,-1368.5,680.0,-3213.8,-1215.3,-2279.1,-1612.2,False,False,False,False,False
Rhode Island,711,659.6,500.0,198.0,577.8,580.8,507.4,636.0,-51.4,-211.0,-513.0,-133.2,-130.2,-203.6,-75.0,False,False,False,False,False
South Carolina,487,342.6,272.9,433.0,261.1,255.8,202.7,274.7,-144.4,-214.1,-54.0,-225.9,-231.2,-284.3,-212.3,True,False,False,False,False
South Dakota,62,12.9,11.0,639.0,88.0,37.8,34.0,42.5,-49.1,-51.0,577.0,26.0,-24.2,-28.0,-19.5,False,True,True,True,True
Tennessee,364,394.0,317.0,515.0,234.7,338.1,294.0,317.4,30.0,-47.0,151.0,-129.3,-25.9,-70.0,-46.6,False,False,True,False,False
Texas,1652,1702.4,1322.8,1567.0,1164.9,1219.5,1052.3,1284.6,50.4,-329.2,-85.0,-487.1,-432.5,-599.7,-367.4,False,False,False,False,False
Utah,112,79.7,63.2,237.0,216.5,55.5,111.1,81.3,-32.3,-48.8,125.0,104.5,-56.5,-0.9,-30.7,False,False,False,True,True
Vermont,55,102.4,82.3,49.0,42.8,46.5,66.3,79.8,47.4,27.3,-6.0,-12.2,-8.5,11.3,24.8,True,True,True,True,True
Virginia,1370,1073.6,824.1,1280.0,771.1,1060.5,666.3,835.2,-296.4,-545.9,-90.0,-598.9,-309.5,-703.7,-534.8,True,False,False,False,False
Washington,1118,1397.4,1159.0,1631.0,779.2,984.3,791.4,965.8,279.4,41.0,513.0,-338.8,-133.7,-326.6,-152.2,False,False,True,False,True
West Virginia,75,88.3,66.3,19.0,34.5,33.5,75.9,97.9,13.3,-8.7,-56.0,-40.5,-41.5,0.9,22.9,False,False,False,True,False
Wisconsin,588,665.1,525.7,427.0,340.3,485.7,420.9,474.5,77.1,-62.3,-161.0,-247.7,-102.3,-167.1,-113.5,False,False,False,False,False
Wyoming,16,13.7,10.0,1.0,243.4,2.6,13.1,21.7,-2.3,-6.0,-15.0,227.4,-13.4,-2.9,5.7,False,False,False,False,False
US,104773,127976.3,100722.1,116708.0,65811.2,,60212.0,89974.2,23929.3,-3324.9,12661.0,-38235.8,,-43835.0,-14072.8,True,False,,False,True
