,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,4669,3833.6,3423.0,3859.7,4053.0,3772.0,,4654.8,4688.0,3730.8,4601.3,3724.3,3654.0,4327.4,3406.3,3623.8,3422.5,3614.9,4473.9,,3351.6,4217.2,3962.0,,8964.3,,3679.0,4171.1,4109.0,3633.5,6179.0,4350.9,3677.0,4064.7,3905.0,-835.4,-1246.0,-809.3,-616.0,-897.0,,-14.2,19.0,-938.2,-67.7,-944.7,-1015.0,-341.6,-1262.7,-1045.2,-1246.5,-1054.1,-195.1,,-1317.4,-451.8,-707.0,,4295.3,,-990.0,-497.9,-560.0,-1035.5,1510.0,-318.1,-992.0,-604.3,-764.0,False,True,True,False,,True,True,False,True,False,False,True,False,False,False,False,True,,False,True,True,,False,,False,True,True,False,False,True,False,True,True
Hawaii,40,43.3,26.0,44.0,32.0,24.0,,31.9,27.0,,,20.6,,67.0,30.8,28.1,24.1,21.3,32.1,,53.7,39.0,,,39.0,,37.0,35.6,34.0,,36.8,40.6,38.0,28.6,,3.3,-14.0,4.0,-8.0,-16.0,,-8.1,-13.0,,,-19.4,,27.0,-9.2,-11.9,-15.9,-18.7,-7.9,,13.7,-1.0,,,-1.0,,-3.0,-4.4,-6.0,,-3.2,0.6,-2.0,-11.4,,False,False,False,False,,False,False,,,False,,False,False,False,False,False,False,,False,True,,,True,,True,False,False,,True,True,True,False,
Idaho,269,184.6,148.0,187.0,240.0,177.0,,341.8,221.0,216.8,,165.8,179.0,325.5,129.2,184.1,148.6,165.5,186.8,,189.6,227.6,274.0,,199.9,,265.0,166.9,218.0,,436.2,232.1,522.0,237.9,,-84.4,-121.0,-82.0,-29.0,-92.0,,72.8,-48.0,-52.2,,-103.2,-90.0,56.5,-139.8,-84.9,-120.4,-103.5,-82.2,,-79.4,-41.4,5.0,,-69.1,,-4.0,-102.1,-51.0,,167.2,-36.9,253.0,-31.1,,False,True,True,False,,True,True,True,,False,False,True,False,False,False,False,True,,True,True,True,,True,,True,False,True,,False,True,False,True,
Illinois,7937,7873.7,7611.0,7953.7,8013.0,7922.0,,7714.7,7551.0,8485.9,,7762.9,7913.0,8376.9,7553.5,7870.0,7581.8,8142.0,8034.2,8876.0,7675.0,8106.2,7880.0,,8657.8,,7969.0,7944.6,7928.0,8095.7,8166.9,9015.6,7788.0,7855.8,7362.0,-63.3,-326.0,16.7,76.0,-15.0,,-222.3,-386.0,548.9,,-174.1,-24.0,439.9,-383.5,-67.0,-355.2,205.0,97.2,939.0,-262.0,169.2,-57.0,,720.8,,32.0,7.6,-9.0,158.7,229.9,1078.6,-149.0,-81.2,-575.0,False,True,False,True,,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,True,,False,,True,True,True,False,False,False,False,False,False
Indiana,3128,3061.1,2888.0,3077.9,3133.0,2961.0,,3036.2,3007.0,3156.2,,2963.6,2881.0,3186.9,3052.6,3124.7,2912.7,3278.2,3589.5,3213.0,2966.7,3183.8,2940.0,,4089.4,,3172.0,3057.7,3366.0,2998.3,3749.6,3545.5,3169.0,3128.8,3152.0,-66.9,-240.0,-50.1,5.0,-167.0,,-91.8,-121.0,28.2,,-164.4,-247.0,58.9,-75.4,-3.3,-215.3,150.2,461.5,85.0,-161.3,55.8,-188.0,,961.4,,44.0,-70.3,238.0,-129.7,621.6,417.5,41.0,0.8,24.0,False,True,True,False,,False,False,True,,False,False,True,False,True,False,False,False,False,False,True,False,,False,,True,False,False,False,False,False,True,True,True
Iowa,975,951.1,827.0,953.1,942.0,907.0,,996.4,894.0,936.2,,904.9,837.0,1095.8,874.9,864.6,831.7,895.3,1068.9,,856.4,1010.5,816.0,,5.2,,1016.0,906.3,931.0,894.7,1201.6,916.2,1040.0,920.3,,-23.9,-148.0,-21.9,-33.0,-68.0,,21.4,-81.0,-38.8,,-70.1,-138.0,120.8,-100.1,-110.4,-143.3,-79.7,93.9,,-118.6,35.5,-159.0,,-969.8,,41.0,-68.7,-44.0,-80.3,226.6,-58.8,65.0,-54.7,,False,True,False,False,,True,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,
Kansas,406,355.3,342.0,360.0,381.0,411.0,,498.3,341.0,,,345.2,369.0,556.6,317.8,352.8,328.3,385.2,359.0,,348.5,378.1,326.0,,305.6,,322.0,352.2,374.0,,560.7,359.5,418.0,382.7,,-50.7,-64.0,-46.0,-25.0,5.0,,92.3,-65.0,,,-60.8,-37.0,150.6,-88.2,-53.2,-77.7,-20.8,-47.0,,-57.5,-27.9,-80.0,,-100.4,,-84.0,-53.8,-32.0,,154.7,-46.5,12.0,-23.3,,False,True,True,True,,False,False,,,False,True,False,False,False,False,True,True,,False,True,False,,False,,False,False,True,,False,True,True,True,
Kentucky,810,843.6,699.0,847.0,870.0,749.0,,786.3,858.0,986.8,,844.6,723.0,1065.8,707.2,954.1,734.5,1127.8,838.3,908.5,777.9,964.4,743.0,,1571.5,,718.0,833.2,1048.0,759.9,1277.3,1156.5,1032.0,912.7,,33.6,-111.0,37.0,60.0,-61.0,,-23.7,48.0,176.8,,34.6,-87.0,255.8,-102.8,144.1,-75.5,317.8,28.3,98.5,-32.1,154.4,-67.0,,761.5,,-92.0,23.2,238.0,-50.1,467.3,346.5,222.0,102.7,,False,False,False,False,,True,False,False,,False,False,False,False,False,False,False,True,False,True,False,False,,False,,False,True,False,False,False,False,False,False,
Louisiana,4430,4032.9,3659.0,3933.6,4153.0,3790.0,,4165.5,4402.0,4266.6,,4108.3,4022.0,4207.6,4201.2,4053.6,3676.9,3740.4,4424.2,,3778.7,4107.6,3593.0,,1648.9,,4334.0,4114.3,4422.0,,4329.5,3659.6,4377.0,4358.9,4069.0,-397.1,-771.0,-496.4,-277.0,-640.0,,-264.5,-28.0,-163.4,,-321.7,-408.0,-222.4,-228.8,-376.4,-753.1,-689.6,-5.8,,-651.3,-322.4,-837.0,,-2781.1,,-96.0,-315.7,-8.0,,-100.5,-770.4,-53.0,-71.1,-361.0,False,False,True,False,,True,True,True,,True,False,True,True,True,False,False,True,,False,True,False,,False,,True,True,True,,True,False,True,True,True
Maine,127,128.6,122.0,137.0,128.0,116.0,,121.0,123.0,133.8,,129.8,128.0,149.9,118.2,121.8,117.2,130.9,124.7,,123.0,134.2,122.0,,82.0,,127.0,124.7,128.0,,137.3,128.2,144.0,129.5,,1.6,-5.0,10.0,1.0,-11.0,,-6.0,-4.0,6.8,,2.8,1.0,22.9,-8.8,-5.2,-9.8,3.9,-2.3,,-4.0,7.2,-5.0,,-45.0,,0.0,-2.3,1.0,,10.3,1.2,17.0,2.5,,False,False,True,False,,False,False,False,,False,True,False,False,False,False,False,False,,False,False,False,,False,,True,False,True,,False,True,False,False,
Maryland,3636,3600.7,3434.0,3604.9,3696.0,3656.0,,3531.5,3473.0,3853.2,,3713.4,3624.0,3786.3,3386.7,3684.7,3463.9,3573.5,4192.7,,3570.8,3734.0,3521.0,,2681.1,,3766.0,3590.6,3878.0,3528.6,4136.1,3963.6,3699.5,3678.8,3642.0,-35.3,-202.0,-31.1,60.0,20.0,,-104.5,-163.0,217.2,,77.4,-12.0,150.3,-249.3,48.7,-172.1,-62.5,556.7,,-65.2,98.0,-115.0,,-954.9,,130.0,-45.4,242.0,-107.4,500.1,327.6,63.5,42.8,6.0,False,True,False,True,,False,False,False,,False,True,False,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,True
Massachusetts,8826,8839.9,8506.0,8903.6,8783.0,8643.0,,8432.3,8518.0,9115.0,,9056.2,8609.0,8711.3,8482.1,8993.9,8489.9,8346.8,8939.9,,8665.8,9010.3,8614.0,,10482.9,,8924.0,8751.8,8802.0,8726.3,8879.1,8983.2,9026.0,8777.6,8718.0,13.9,-320.0,77.6,-43.0,-183.0,,-393.7,-308.0,289.0,,230.2,-217.0,-114.7,-343.9,167.9,-336.1,-479.2,113.9,,-160.2,184.3,-212.0,,1656.9,,98.0,-74.2,-24.0,-99.7,53.1,157.2,200.0,-48.4,-108.0,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,False
Michigan,6586,6566.6,6427.0,6613.2,6713.0,6642.0,,6558.0,6647.0,6900.6,,6840.6,6682.0,7061.7,6446.0,6651.5,6438.8,7177.0,7906.8,6773.5,6715.0,6661.4,6426.0,,7391.5,,6503.0,6555.5,6734.0,6517.7,7182.7,6956.1,6683.0,6686.3,6781.0,-19.4,-159.0,27.2,127.0,56.0,,-28.0,61.0,314.6,,254.6,96.0,475.7,-140.0,65.5,-147.2,591.0,1320.8,187.5,129.0,75.4,-160.0,,805.5,,-83.0,-30.5,148.0,-68.3,596.7,370.1,97.0,100.3,195.0,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False
Minnesota,1705,1739.1,1636.0,1742.0,1744.0,1703.0,,1811.8,1695.0,1828.1,,1664.9,1787.0,1928.3,1641.5,1723.5,1628.6,1799.7,1749.5,1834.5,1635.1,1798.4,1665.0,,,,1774.0,1723.9,1766.0,1688.3,1781.2,1710.3,1673.5,1794.3,,34.1,-69.0,37.0,39.0,-2.0,,106.8,-10.0,123.1,,-40.1,82.0,223.3,-63.5,18.5,-76.4,94.7,44.5,129.5,-69.9,93.4,-40.0,,,,69.0,18.9,61.0,-16.7,76.2,5.3,-31.5,89.3,,False,False,False,True,,False,True,False,,False,False,False,False,True,False,False,False,False,False,False,False,,,,False,True,False,True,False,True,True,False,
Mississippi,2080,1763.9,1444.0,1809.9,1784.0,1496.0,,1870.7,1759.0,1729.6,,1964.9,1642.0,1860.6,1436.5,1696.2,1479.6,1951.4,1901.4,,1777.3,2000.1,1584.0,,3370.9,,1889.0,1722.2,1878.0,1759.5,1769.0,2014.4,2060.0,1824.6,1824.0,-316.1,-636.0,-270.1,-296.0,-584.0,,-209.3,-321.0,-350.4,,-115.1,-438.0,-219.4,-643.5,-383.8,-600.4,-128.6,-178.6,,-302.7,-79.9,-496.0,,1290.9,,-191.0,-357.8,-202.0,-320.5,-311.0,-65.6,-20.0,-255.4,-256.0,False,True,True,False,,True,False,False,,True,False,True,False,False,False,True,True,,True,True,False,,False,,True,False,True,False,True,True,True,True,True
Missouri,1378,1305.7,1193.0,1315.8,1364.0,1371.0,,1414.3,1471.0,1337.7,,1360.7,1223.0,1590.0,1206.9,1327.5,1201.3,1454.6,1507.7,,1287.6,1413.3,1213.0,,1083.8,,1424.0,1399.2,1424.0,1289.5,1469.2,1501.0,1339.0,1368.8,,-72.3,-185.0,-62.2,-14.0,-7.0,,36.3,93.0,-40.3,,-17.3,-155.0,212.0,-171.1,-50.5,-176.7,76.6,129.7,,-90.4,35.3,-165.0,,-294.2,,46.0,21.2,46.0,-88.5,91.2,123.0,-39.0,-9.2,,False,True,True,True,,True,False,True,,True,False,False,False,True,False,False,False,,False,True,False,,False,,True,True,True,False,False,False,True,True,
Montana,82,67.9,40.0,69.0,78.0,38.0,,71.2,65.0,88.3,,53.6,56.0,103.3,86.3,67.6,45.6,76.7,95.3,,131.4,95.8,53.0,,0.0,,54.0,62.8,87.0,49.4,98.7,117.4,182.0,69.2,,-14.1,-42.0,-13.0,-4.0,-44.0,,-10.8,-17.0,6.3,,-28.4,-26.0,21.3,4.3,-14.4,-36.4,-5.3,13.3,,49.4,13.8,-29.0,,-82.0,,-28.0,-19.2,5.0,-32.6,16.7,35.4,100.0,-12.8,,False,True,True,False,,True,False,True,,False,False,False,True,False,False,True,True,,False,True,False,,False,,False,False,True,False,False,False,False,True,
Nebraska,361,362.7,318.0,365.1,352.0,337.0,,366.8,312.0,427.8,,292.5,332.0,464.6,306.1,330.2,313.8,347.7,355.9,,381.0,381.1,354.0,,0.0,,322.0,347.1,342.0,358.1,479.2,370.3,390.0,361.7,,1.7,-43.0,4.1,-9.0,-24.0,,5.8,-49.0,66.8,,-68.5,-29.0,103.6,-54.9,-30.8,-47.2,-13.3,-5.1,,20.0,20.1,-7.0,,-361.0,,-39.0,-13.9,-19.0,-2.9,118.2,9.3,29.0,0.7,,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,True,
Nevada,1069,855.3,730.0,861.9,964.0,907.0,,1043.9,1034.0,958.1,,1161.3,919.0,1082.4,692.5,896.6,745.3,763.2,1019.4,,1125.2,963.4,1137.5,,877.9,,945.0,832.8,975.0,748.2,1668.2,1018.3,1195.5,972.8,1006.0,-213.7,-339.0,-207.1,-105.0,-162.0,,-25.1,-35.0,-110.9,,92.3,-150.0,13.4,-376.5,-172.4,-323.7,-305.8,-49.6,,56.2,-105.6,68.5,,-191.1,,-124.0,-236.2,-94.0,-320.8,599.2,-50.7,126.5,-96.2,-63.0,False,True,True,True,,True,True,True,,True,True,True,False,True,False,False,True,,True,True,True,,True,,True,False,True,False,False,True,True,True,True
New Hampshire,423,425.0,396.0,419.7,426.0,396.0,,438.2,424.0,436.7,,426.1,400.0,440.1,397.8,438.0,398.3,443.9,449.7,,421.8,423.4,440.0,,0.0,,416.0,432.7,420.0,427.2,435.3,412.0,435.0,423.1,,2.0,-27.0,-3.3,3.0,-27.0,,15.2,1.0,13.7,,3.1,-23.0,17.1,-25.2,15.0,-24.7,20.9,26.7,,-1.2,0.4,17.0,,-423.0,,-7.0,9.7,-3.0,4.2,12.3,-11.0,12.0,0.1,,False,False,False,False,,False,True,False,,False,False,False,False,False,False,False,False,,True,True,False,,False,,False,False,False,False,False,False,False,True,
New Jersey,15910,16404.1,15818.0,16568.3,16182.0,15841.0,,16019.7,16042.0,17800.4,,16841.7,16125.0,16153.1,15787.9,16062.6,15759.0,15856.7,17063.9,,16235.0,16375.9,16107.0,,5866.8,,15801.0,16114.8,15949.0,,15894.0,16206.3,16722.0,16118.0,15063.0,494.1,-92.0,658.3,272.0,-69.0,,109.7,132.0,1890.4,,931.7,215.0,243.1,-122.1,152.6,-151.0,-53.3,1153.9,,325.0,465.9,197.0,,-10043.2,,-109.0,204.8,39.0,,-16.0,296.3,812.0,208.0,-847.0,True,False,True,True,,True,True,False,,False,True,True,True,True,True,True,False,,True,True,True,,False,,True,True,True,,True,True,False,True,False
New Mexico,711,671.3,586.0,673.0,679.0,617.0,,691.4,685.0,710.1,,771.5,680.0,814.7,591.4,660.5,601.4,721.8,716.3,,633.9,708.7,629.0,,473.9,,661.0,673.2,683.0,656.7,666.8,698.6,695.5,715.4,,-39.7,-125.0,-38.0,-32.0,-94.0,,-19.6,-26.0,-0.9,,60.5,-31.0,103.7,-119.6,-50.5,-109.6,10.8,5.3,,-77.1,-2.3,-82.0,,-237.1,,-50.0,-37.8,-28.0,-54.3,-44.2,-12.4,-15.5,4.4,,False,True,True,False,,True,True,True,,False,True,False,False,False,False,True,True,,False,True,False,,False,,False,True,True,False,False,True,True,True,
