,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,4669,4423.7,3744.0,4469.4,4431.0,4827.0,,4503.9,4740.0,4434.2,4225.0,4369.3,4303.6,4144.0,4687.8,4353.4,4832.5,4035.4,3806.1,3770.6,4573.1,,3598.6,4634.7,3749.0,,3873.9,,4654.0,4689.4,,4302.0,3975.9,4770.4,4420.0,4181.0,4511.2,5219.0,-245.3,-925.0,-199.6,-238.0,158.0,,-165.1,71.0,-234.8,-444.0,-299.7,-365.4,-525.0,18.8,-315.6,163.5,-633.6,-862.9,-898.4,-95.9,,-1070.4,-34.3,-920.0,,-795.1,,-15.0,20.4,,-367.0,-693.1,101.4,-249.0,-488.0,-157.8,550.0,False,True,True,True,,True,True,True,False,False,False,False,True,False,True,False,False,False,True,,False,True,False,,False,,True,True,,False,False,True,False,False,True,False
Hawaii,40,31.7,29.0,32.0,36.0,50.0,,31.7,28.0,48.5,,,27.2,,34.5,51.1,32.7,37.6,26.3,27.0,33.7,,50.3,35.5,77.0,,28.7,,39.0,28.6,,36.0,,35.8,39.0,38.0,34.1,,-8.3,-11.0,-8.0,-4.0,10.0,,-8.3,-12.0,8.5,,,-12.8,,-5.5,11.1,-7.3,-2.4,-13.7,-13.0,-6.3,,10.3,-4.5,37.0,,-11.3,,-1.0,-11.4,,-4.0,,-4.2,-1.0,-2.0,-5.9,,False,True,True,False,,False,False,False,,,False,,True,False,True,True,False,False,True,,False,True,False,,False,,True,False,,True,,True,True,True,True,
Idaho,269,223.1,177.0,219.0,227.0,219.0,,330.6,231.0,504.5,223.2,,165.7,210.0,289.1,324.3,230.7,192.2,165.9,198.3,235.6,,204.9,224.9,496.0,,167.8,,276.0,215.1,,207.0,,226.6,239.0,655.0,246.5,,-45.9,-92.0,-50.0,-42.0,-50.0,,61.6,-38.0,235.5,-45.8,,-103.3,-59.0,20.1,55.3,-38.3,-76.8,-103.1,-70.7,-33.4,,-64.1,-44.1,227.0,,-101.2,,7.0,-53.9,,-62.0,,-42.4,-30.0,386.0,-22.5,,False,False,True,False,,False,True,False,True,,False,False,True,False,True,False,False,False,True,,False,True,False,,False,,True,False,,False,,True,True,False,True,
Illinois,7937,7881.4,7704.0,7912.7,7977.0,8204.0,,7912.8,7647.0,7821.1,8166.7,,7813.2,7957.0,7926.8,8037.2,7904.1,7905.9,7691.0,8310.5,7949.1,8034.0,7720.7,7979.2,7847.0,,8127.6,,8054.0,7965.1,,7908.0,8307.4,8605.0,7907.0,7777.0,7914.8,7640.0,-55.6,-233.0,-24.3,40.0,267.0,,-24.2,-290.0,-115.9,229.7,,-123.8,20.0,-10.2,100.2,-32.9,-31.1,-246.0,373.5,12.1,97.0,-216.3,42.2,-90.0,,190.6,,117.0,28.1,,-29.0,370.4,668.0,-30.0,-160.0,-22.2,-297.0,False,True,True,False,,True,False,False,False,,False,True,True,False,True,True,False,False,True,False,False,True,False,,False,,False,True,,True,False,False,True,False,True,False
Indiana,3128,3134.4,2953.0,3120.3,3193.0,3253.0,,3068.2,3179.0,3078.1,3189.8,,3043.3,3047.0,3310.4,3097.8,3150.8,3094.9,2981.1,3298.4,3330.9,3257.0,2991.9,3200.7,2981.0,,3214.9,,3269.0,3133.5,,3224.0,3116.8,3547.3,3188.0,3186.0,3234.1,3322.0,6.4,-175.0,-7.7,65.0,125.0,,-59.8,51.0,-49.9,61.8,,-84.7,-81.0,182.4,-30.2,22.8,-33.1,-146.9,170.4,202.9,129.0,-136.1,72.7,-147.0,,86.9,,141.0,5.5,,96.0,-11.2,419.3,60.0,58.0,106.1,194.0,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,True,,False,False,False,False,False,False,False
Iowa,975,931.9,877.0,937.0,931.0,936.0,,986.6,906.0,897.2,946.7,,981.3,912.0,982.3,1037.4,1046.8,892.6,853.9,921.8,1024.1,,892.5,937.8,848.0,,893.2,,931.0,907.6,,906.0,925.1,1032.5,930.0,969.0,974.7,,-43.1,-98.0,-38.0,-44.0,-39.0,,11.6,-69.0,-77.8,-28.3,,6.3,-63.0,7.3,62.4,71.8,-82.4,-121.1,-53.2,49.1,,-82.5,-37.2,-127.0,,-81.8,,-44.0,-67.4,,-69.0,-49.9,57.5,-45.0,-6.0,-0.3,,False,True,False,True,,True,False,False,True,,True,False,True,False,False,False,False,False,False,,False,True,False,,False,,False,False,,False,False,False,False,True,True,
Kansas,406,393.9,360.0,392.0,407.0,496.0,,480.3,361.0,417.5,,,349.2,417.0,455.0,515.2,378.0,368.3,351.2,377.6,383.0,,354.5,407.1,374.0,,535.8,,417.0,397.4,,390.0,,444.7,383.0,454.0,393.5,,-12.1,-46.0,-14.0,1.0,90.0,,74.3,-45.0,11.5,,,-56.8,11.0,49.0,109.2,-28.0,-37.7,-54.8,-28.4,-23.0,,-51.5,1.1,-32.0,,129.8,,11.0,-8.6,,-16.0,,38.7,-23.0,48.0,-12.5,,False,False,True,False,,False,False,True,,,False,True,False,False,False,False,False,False,False,,False,True,False,,False,,True,True,,False,,False,False,False,False,
Kentucky,810,785.7,741.0,783.1,846.0,1031.0,,831.8,868.0,873.2,806.6,,815.6,770.0,847.5,972.0,909.2,790.8,738.6,960.5,800.0,841.0,866.6,823.7,849.0,,828.8,,837.0,764.9,,846.0,782.8,954.0,802.0,882.0,871.7,,-24.3,-69.0,-26.9,36.0,221.0,,21.8,58.0,63.2,-3.4,,5.6,-40.0,37.5,162.0,99.2,-19.2,-71.4,150.5,-10.0,31.0,56.6,13.7,39.0,,18.8,,27.0,-45.1,,36.0,-27.2,144.0,-8.0,72.0,61.7,,False,False,False,False,,True,False,False,True,,True,False,False,False,False,True,False,False,True,False,False,True,False,,True,,False,False,,False,False,False,True,False,False,
Louisiana,4430,4391.6,3878.0,4333.0,4458.0,4593.0,,4169.6,4494.0,4708.3,4404.4,,4099.1,4403.0,4694.8,4224.8,4421.5,4304.3,3913.4,3826.2,4581.1,,3942.2,4313.6,4101.5,,4256.5,,4674.0,4457.5,,4467.0,,5167.6,4389.0,4676.0,4318.2,4674.0,-38.4,-552.0,-97.0,28.0,163.0,,-260.4,64.0,278.3,-25.6,,-330.9,-27.0,264.8,-205.2,-8.5,-125.7,-516.6,-603.8,151.1,,-487.8,-116.4,-328.5,,-173.5,,244.0,27.5,,37.0,,737.6,-41.0,246.0,-111.8,244.0,False,False,True,False,,False,False,False,True,,False,True,False,False,True,False,False,False,False,,False,False,False,,False,,False,True,,True,,False,False,False,False,False
Maine,127,124.7,123.0,125.2,126.0,118.0,,120.8,123.0,129.2,130.8,,131.4,138.0,124.9,138.9,127.7,123.5,119.2,133.8,123.9,,126.4,126.3,123.0,,125.2,,124.0,120.3,,125.0,126.7,131.7,126.0,133.0,126.3,,-2.3,-4.0,-1.8,-1.0,-9.0,,-6.2,-4.0,2.2,3.8,,4.4,11.0,-2.1,11.9,0.7,-3.5,-7.8,6.8,-3.1,,-0.6,-0.7,-4.0,,-1.8,,-3.0,-6.7,,-2.0,-0.3,4.7,-1.0,6.0,-0.7,,False,True,True,False,,False,False,True,False,,False,False,True,False,True,False,False,False,False,,True,True,False,,True,,False,False,,True,True,False,True,False,True,
Maryland,3636,3620.0,3490.0,3629.1,3663.0,3877.0,,3597.8,3625.0,3558.2,3756.9,,3699.7,3691.0,3671.5,3717.6,3605.8,3625.7,3503.6,3643.9,3572.5,,3585.4,3728.2,3544.0,,3620.2,,3752.0,3642.9,,3685.0,,4005.8,3664.0,3680.0,3702.2,3700.0,-16.0,-146.0,-6.9,27.0,241.0,,-38.2,-11.0,-77.8,120.9,,63.7,55.0,35.5,81.6,-30.2,-10.3,-132.4,7.9,-63.5,,-50.6,92.2,-92.0,,-15.8,,116.0,6.9,,49.0,,369.8,28.0,44.0,66.2,64.0,False,True,False,False,,False,True,False,False,,False,False,False,False,False,True,False,True,False,,False,False,False,,True,,False,True,,False,,False,False,False,False,False
Massachusetts,8826,8809.0,8561.0,8811.5,8822.0,8846.0,,8499.0,8576.0,8730.0,8915.2,,9054.6,8664.0,8771.7,8760.4,8621.1,8964.1,8579.1,8438.5,8904.4,,8617.2,8843.7,8583.0,,8795.1,,8822.0,8740.9,,8798.0,,8935.9,8878.0,8984.5,8718.6,8609.0,-17.0,-265.0,-14.5,-4.0,20.0,,-327.0,-250.0,-96.0,89.2,,228.6,-162.0,-54.3,-65.6,-204.9,138.1,-246.9,-387.5,78.4,,-208.8,17.7,-243.0,,-30.9,,-4.0,-85.1,,-28.0,,109.9,52.0,158.5,-107.4,-217.0,False,True,True,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,,False,,True,False,,False,,False,False,False,False,False
Michigan,6586,6497.1,6460.0,6532.0,6583.0,6597.0,,6581.6,6644.0,6535.0,6738.8,,6713.5,6638.0,6626.1,6737.0,6592.0,6568.8,6436.4,7082.0,6452.9,10558.5,6685.6,6502.0,6439.0,,6618.4,,6531.0,6499.1,,6517.0,6630.1,7361.7,6490.0,6520.0,6502.9,6541.0,-88.9,-126.0,-54.0,-3.0,11.0,,-4.4,58.0,-51.0,152.8,,127.5,52.0,40.1,151.0,6.0,-17.2,-149.6,496.0,-133.1,3972.5,99.6,-84.0,-147.0,,32.4,,-55.0,-86.9,,-69.0,44.1,775.7,-96.0,-66.0,-83.1,-45.0,False,True,True,True,,True,True,True,False,,False,True,True,False,True,True,False,False,False,False,False,True,False,,True,,True,True,,True,True,False,False,True,True,True
Minnesota,1705,1708.3,1666.0,1710.1,1724.0,1874.0,,1812.4,1702.0,1663.3,1762.6,,1706.7,1715.0,1784.5,1752.3,1767.8,1722.9,1647.4,1760.9,1724.8,1718.0,1642.9,1730.1,1629.0,,,,1755.0,1705.0,,1725.0,1782.9,2003.7,1720.0,1674.5,1738.0,,3.3,-39.0,5.1,19.0,169.0,,107.4,-3.0,-41.7,57.6,,1.7,10.0,79.5,47.3,62.8,17.9,-57.6,55.9,19.8,13.0,-62.1,25.1,-76.0,,,,50.0,0.0,,20.0,77.9,298.7,15.0,-30.5,33.0,,False,False,False,False,,False,True,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,True,,False,False,False,False,False,False,
Mississippi,2080,1887.3,1566.0,1874.1,1942.0,2203.0,,1949.2,1943.0,1991.5,2019.5,,1845.3,1743.0,2123.1,1916.3,1808.8,1830.0,1638.0,1835.8,1917.6,,1807.9,2047.9,1974.0,,1668.2,,2105.0,1866.8,,1999.0,1841.1,2082.6,2016.0,1995.0,1914.9,1960.0,-192.7,-514.0,-205.9,-138.0,123.0,,-130.8,-137.0,-88.5,-60.5,,-234.7,-337.0,43.1,-163.7,-271.2,-250.0,-442.0,-244.2,-162.4,,-272.1,-32.1,-106.0,,-411.8,,25.0,-213.2,,-81.0,-238.9,2.6,-64.0,-85.0,-165.1,-120.0,False,False,True,True,,True,True,True,True,,False,False,True,True,False,False,False,False,True,,False,True,True,,False,,True,False,,True,False,True,True,True,True,True
Missouri,1378,1417.6,1259.0,1392.1,1435.0,1796.0,,1458.1,1582.0,1417.7,1346.9,,1333.4,1326.0,1625.4,1557.5,1369.5,1397.2,1292.9,1391.2,1419.4,,1314.3,1508.4,1326.0,,1339.8,,1590.0,1456.8,,1626.0,1334.4,1657.2,1521.0,1455.0,1442.6,,39.6,-119.0,14.1,57.0,418.0,,80.1,204.0,39.7,-31.1,,-44.6,-52.0,247.4,179.5,-8.5,19.2,-85.1,13.2,41.4,,-63.7,130.4,-52.0,,-38.2,,212.0,78.8,,248.0,-43.6,279.2,143.0,77.0,64.6,,False,True,False,False,,False,False,False,True,,False,False,False,False,True,True,False,True,False,,False,False,False,,True,,False,False,,False,False,False,False,False,False,
Montana,82,71.7,55.0,73.0,80.0,47.0,,70.7,65.0,128.9,74.7,,53.6,54.0,77.9,103.7,93.9,71.8,53.5,82.5,98.4,,108.1,84.8,120.0,,50.4,,91.0,63.3,,80.0,,74.7,67.0,162.0,78.1,,-10.3,-27.0,-9.0,-2.0,-35.0,,-11.3,-17.0,46.9,-7.3,,-28.4,-28.0,-4.1,21.7,11.9,-10.2,-28.5,0.5,16.4,,26.1,2.8,38.0,,-31.6,,9.0,-18.7,,-2.0,,-7.3,-15.0,80.0,-3.9,,False,True,True,False,,False,False,False,True,,False,False,True,False,False,True,False,True,False,,False,True,False,,False,,True,False,,True,,True,False,False,True,
Nebraska,361,358.9,335.0,361.0,357.0,404.0,,380.4,345.0,362.2,366.8,,315.8,345.0,401.4,426.1,340.5,350.0,330.8,361.8,355.8,,363.1,378.0,324.0,,325.3,,392.0,353.1,,363.0,,375.1,368.0,368.0,363.7,,-2.1,-26.0,-0.0,-4.0,43.0,,19.4,-16.0,1.2,5.8,,-45.2,-16.0,40.4,65.1,-20.5,-11.0,-30.2,0.8,-5.2,,2.1,17.0,-37.0,,-35.7,,31.0,-7.9,,2.0,,14.1,7.0,7.0,2.7,,False,True,False,False,,False,False,True,False,,False,False,False,False,False,False,False,True,False,,True,False,False,,False,,False,False,,True,,False,False,False,False,
Nevada,1069,982.6,820.0,990.0,1021.0,976.0,,999.2,1049.0,1156.0,970.9,,939.7,1030.0,1158.4,1040.8,1042.3,902.8,814.2,826.4,1055.9,,987.8,1012.2,1270.0,,851.0,,1030.0,1004.0,,959.0,,1079.1,1007.0,1583.5,1069.8,1230.0,-86.4,-249.0,-79.0,-48.0,-93.0,,-69.8,-20.0,87.0,-98.1,,-129.3,-39.0,89.4,-28.2,-26.7,-166.2,-254.8,-242.6,-13.1,,-81.2,-56.8,201.0,,-218.0,,-39.0,-65.0,,-110.0,,10.1,-62.0,514.5,0.8,161.0,False,True,True,False,,True,True,False,False,,False,True,False,True,True,False,False,False,True,,True,True,False,,False,,True,True,,False,,True,True,False,True,False
New Hampshire,423,440.4,416.0,448.0,444.0,446.0,,435.9,425.0,430.9,448.7,,420.2,412.0,450.9,438.3,422.4,455.2,413.2,445.0,446.1,,450.7,459.9,418.0,,447.0,,459.0,465.5,,436.0,459.9,444.5,453.0,428.0,438.1,,17.4,-7.0,25.0,21.0,23.0,,12.9,2.0,7.9,25.7,,-2.8,-11.0,27.9,15.3,-0.6,32.2,-9.8,22.0,23.1,,27.7,36.9,-5.0,,24.0,,36.0,42.5,,13.0,36.9,21.5,30.0,5.0,15.1,,True,False,False,False,,True,True,True,False,,True,True,False,True,True,False,True,False,False,,False,False,True,,False,,False,False,,True,False,False,False,True,True,
