,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,54331,70245.0,66703.5,61556.0,73852.0,,62325.0,60503.5,25716.8,181007.4,52288.0,62095.2,58916.0,60848.6,66051.0,,106521.8,65854.4,102761.7,61010.6,50472.0,15914.0,12372.5,7225.0,19521.0,,7994.0,6172.5,-28614.2,126676.4,-2043.0,7764.2,4585.0,6517.6,11720.0,,52190.8,11523.4,48430.7,6679.6,-3859.0,True,True,False,,True,True,False,False,True,True,True,True,True,,False,True,False,True,True
Hawaii,4793,3447.0,3213.0,3340.0,4490.0,,2722.0,2673.1,1693.4,21.3,6582.1,4206.9,4331.9,3822.2,6433.0,,3627.8,3293.0,,8870.9,7518.0,-1346.0,-1580.0,-1453.0,-303.0,,-2071.0,-2119.9,-3099.6,-4771.7,1789.1,-586.1,-461.1,-970.8,1640.0,,-1165.2,-1500.0,,4077.9,2725.0,False,False,True,,False,False,False,False,False,True,True,True,False,,True,False,,False,False
Idaho,7171,10161.0,10391.7,10176.0,13745.0,,8324.0,19345.2,4185.4,16907.4,13595.3,10454.1,6783.5,7824.1,8649.0,,8382.5,9085.1,11563.3,8050.9,10303.0,2990.0,3220.7,3005.0,6574.0,,1153.0,12174.2,-2985.6,9736.4,6424.3,3283.1,-387.5,653.1,1478.0,,1211.5,1914.1,4392.3,879.9,3132.0,False,False,False,,True,False,True,False,False,False,True,True,True,,True,True,False,True,False
Illinois,39068,36732.0,36843.6,38272.0,49595.0,,2384.0,41535.5,13886.0,40936.6,44618.1,48551.8,27293.4,36632.3,54243.0,,47762.1,44355.0,24695.3,43818.8,40798.0,-2336.0,-2224.4,-796.0,10527.0,,-36684.0,2467.5,-25182.0,1868.6,5550.1,9483.8,-11774.6,-2435.7,15175.0,,8694.1,5287.0,-14372.7,4750.8,1730.0,True,True,False,,False,False,False,True,False,False,False,False,False,,False,False,False,False,True
Indiana,19147,18495.0,18131.1,19692.0,24890.0,,6545.0,20754.7,6798.0,26869.7,24767.2,19179.9,17740.2,19283.6,23874.0,,34078.0,19579.9,17900.9,31023.3,19009.0,-652.0,-1015.9,545.0,5743.0,,-12602.0,1607.7,-12349.0,7722.7,5620.2,32.9,-1406.8,136.6,4727.0,,14931.0,432.9,-1246.1,11876.3,-138.0,False,True,False,,False,False,False,False,False,True,False,True,False,,False,True,False,False,True
Iowa,15077,9726.0,9812.3,9458.0,11141.0,,2403.0,9317.9,3391.5,12478.0,12081.1,9506.8,7792.9,7908.0,9416.0,,12261.2,8568.7,10735.6,9356.3,8822.0,-5351.0,-5264.7,-5619.0,-3936.0,,-12674.0,-5759.1,-11685.5,-2599.0,-2995.9,-5570.2,-7284.1,-7169.0,-5661.0,,-2815.8,-6508.3,-4341.4,-5720.7,-6255.0,True,False,True,,False,False,False,True,True,False,False,False,False,,True,False,True,False,False
Kansas,11132,8613.0,8500.6,8333.0,9959.0,,6856.0,7753.2,2917.5,21267.1,14110.8,6504.8,5466.7,6274.4,6935.0,,9936.2,9109.3,8390.7,5879.2,7393.0,-2519.0,-2631.4,-2799.0,-1173.0,,-4276.0,-3378.8,-8214.5,10135.1,2978.8,-4627.2,-5665.3,-4857.6,-4197.0,,-1195.8,-2022.7,-2741.3,-5252.8,-3739.0,False,False,True,,False,False,False,False,False,False,False,False,False,,True,True,False,False,False
Kentucky,12999,11565.0,11804.5,11805.0,14315.0,,8802.0,27469.4,4201.5,30845.5,17821.3,12775.9,8865.3,10040.0,12597.0,,15190.3,11174.9,14472.1,9995.5,10430.0,-1434.0,-1194.5,-1194.0,1316.0,,-4197.0,14470.4,-8797.5,17846.5,4822.3,-223.1,-4133.7,-2959.0,-402.0,,2191.3,-1824.1,1473.1,-3003.5,-2569.0,True,True,True,,False,False,False,False,False,True,False,False,True,,False,False,False,False,False
Louisiana,17497,37398.0,37525.1,33280.0,35887.0,,25524.0,47373.9,6587.5,84583.6,26314.2,33224.6,29054.0,27073.8,24307.0,,25293.2,33798.7,,21952.4,15217.0,19901.0,20028.1,15783.0,18390.0,,8027.0,29876.9,-10909.5,67086.6,8817.2,15727.6,11557.0,9576.8,6810.0,,7796.2,16301.7,,4455.4,-2280.0,False,True,True,,True,False,True,False,True,True,True,True,True,,True,True,,True,True
Maine,464,273.0,276.5,265.0,332.0,,144.0,357.4,105.9,600.9,757.3,269.7,186.1,264.0,212.0,,224.4,267.0,436.8,250.2,230.0,-191.0,-187.5,-199.0,-132.0,,-320.0,-106.6,-358.1,136.9,293.3,-194.3,-277.9,-200.0,-252.0,,-239.6,-197.0,-27.2,-213.8,-234.0,True,False,True,,False,True,False,True,False,False,False,False,False,,False,False,True,False,False
Maryland,12713,15648.0,15267.8,15062.0,12120.0,,6794.0,20943.8,5185.8,24978.9,14092.1,26855.2,12590.8,14767.3,16855.0,,15400.1,15646.9,13428.8,13384.7,11780.0,2935.0,2554.8,2349.0,-593.0,,-5919.0,8230.8,-7527.2,12265.9,1379.1,14142.2,-122.2,2054.3,4142.0,,2687.1,2933.9,715.8,671.7,-933.0,True,True,True,,False,False,False,False,True,False,True,True,False,,True,True,True,True,True
Massachusetts,7319,8013.0,7878.4,8334.0,8186.0,,66.0,9061.4,2758.4,22016.8,12562.9,15111.1,5445.2,8213.9,11376.0,,8276.0,11882.1,4320.3,9772.5,8334.0,694.0,559.4,1015.0,867.0,,-7253.0,1742.4,-4560.6,14697.8,5243.9,7792.1,-1873.8,894.9,4057.0,,957.0,4563.1,-2998.7,2453.5,1015.0,True,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Michigan,14945,14577.0,13990.2,14343.0,13681.0,,4041.0,17889.1,5139.3,21849.5,30575.6,24646.4,10689.3,13388.5,15498.0,,23552.3,13005.4,,11830.7,12228.0,-368.0,-954.8,-602.0,-1264.0,,-10904.0,2944.1,-9805.7,6904.5,15630.6,9701.4,-4255.7,-1556.5,553.0,,8607.3,-1939.6,,-3114.3,-2717.0,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Minnesota,14156,14739.0,15171.0,15380.0,16903.0,,4569.0,19835.0,5110.7,10621.0,16999.0,21098.0,13171.5,13467.3,16614.0,,27344.0,15271.4,15642.8,17263.5,13931.0,583.0,1015.0,1224.0,2747.0,,-9587.0,5679.0,-9045.3,-3535.0,2843.0,6942.0,-984.5,-688.7,2458.0,,13188.0,1115.4,1486.8,3107.5,-225.0,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,True
Mississippi,15383,20295.0,20461.7,20255.0,18173.0,,23622.0,20539.4,7515.9,53048.6,19234.8,45951.4,12252.0,16232.7,18082.0,,32974.2,27431.5,31304.4,12054.7,12012.0,4912.0,5078.7,4872.0,2790.0,,8239.0,5156.4,-7867.1,37665.6,3851.8,30568.4,-3131.0,849.7,2699.0,,17591.2,12048.5,15921.4,-3328.3,-3371.0,False,True,True,,False,False,False,False,True,False,True,True,True,,False,False,False,True,True
Missouri,25147,19167.0,21712.9,22353.0,12488.0,,25630.0,25681.4,4704.0,58539.8,29575.7,68543.9,16744.9,19577.9,19407.0,,17470.1,26172.9,33451.6,10170.3,13836.0,-5980.0,-3434.1,-2794.0,-12659.0,,483.0,534.4,-20443.0,33392.8,4428.7,43396.9,-8402.1,-5569.1,-5740.0,,-7676.9,1025.9,8304.6,-14976.7,-11311.0,True,True,False,,True,True,False,False,True,False,False,True,True,,False,True,False,False,False
Montana,2362,2424.0,2433.5,2219.0,2281.0,,1749.0,2005.7,924.7,2224.8,3704.8,2901.8,1931.1,1966.1,2574.0,,3545.8,1987.5,3583.5,2218.6,2283.0,62.0,71.5,-143.0,-81.0,,-613.0,-356.3,-1437.3,-137.2,1342.8,539.8,-430.9,-395.9,212.0,,1183.8,-374.5,1221.5,-143.4,-79.0,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Nebraska,5508,5562.0,5469.3,5397.0,5109.0,,1126.0,6682.8,1615.9,5295.3,5871.3,7922.8,3687.2,4535.0,5856.0,,8463.4,6734.6,4166.4,4074.6,4284.0,54.0,-38.7,-111.0,-399.0,,-4382.0,1174.8,-3892.1,-212.7,363.3,2414.8,-1820.8,-973.0,348.0,,2955.4,1226.6,-1341.6,-1433.4,-1224.0,True,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Nevada,13042,19035.0,19400.4,15533.0,14117.0,,23411.0,15895.8,5450.9,50015.0,14141.0,21261.1,13842.3,13902.3,14888.0,,15692.5,16209.5,28147.8,12243.5,13971.0,5993.0,6358.4,2491.0,1075.0,,10369.0,2853.8,-7591.1,36973.0,1099.0,8219.1,800.3,860.3,1846.0,,2650.5,3167.5,15105.8,-798.5,929.0,False,True,True,,False,True,False,False,True,False,True,True,True,,True,True,False,True,True
New Hampshire,428,612.0,613.8,612.0,801.0,,39.0,700.5,212.2,2285.5,1173.0,165.6,427.6,587.5,724.0,,652.4,589.1,559.3,576.7,609.0,184.0,185.8,184.0,373.0,,-389.0,272.5,-215.8,1857.5,745.0,-262.4,-0.4,159.5,296.0,,224.4,161.1,131.3,148.7,181.0,False,False,False,,False,False,False,False,False,False,True,True,False,,False,True,True,True,True
New Jersey,6891,7200.0,7417.7,7566.0,7436.0,,151.0,7397.9,2508.5,10514.0,10773.5,8984.6,5223.9,8046.1,8944.0,,5854.0,12398.3,1526.3,14060.8,4501.0,309.0,526.7,675.0,545.0,,-6740.0,506.9,-4382.5,3623.0,3882.5,2093.6,-1667.1,1155.1,2053.0,,-1037.0,5507.3,-5364.7,7169.8,-2390.0,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
New Mexico,3063,3957.0,3685.3,3813.0,3643.0,,3777.0,4773.0,1135.3,12227.0,6705.7,6385.8,2970.9,3423.8,2751.0,,3160.4,4866.8,5669.7,2649.2,2732.0,894.0,622.3,750.0,580.0,,714.0,1710.0,-1927.7,9164.0,3642.7,3322.8,-92.1,360.8,-312.0,,97.4,1803.8,2606.7,-413.8,-331.0,True,True,True,,True,False,False,False,False,False,True,True,True,,True,False,False,True,True
New York,13057,13734.0,13982.7,13629.0,13883.0,,273.0,11674.3,4795.0,18321.6,37992.0,16128.5,9499.6,13726.1,13982.0,,12332.4,14407.9,1758.3,12705.0,12893.0,677.0,925.7,572.0,826.0,,-12784.0,-1382.7,-8262.0,5264.6,24935.0,3071.5,-3557.4,669.1,925.0,,-724.6,1350.9,-11298.7,-352.0,-164.0,False,True,False,,False,False,False,False,False,False,False,True,False,,False,False,False,True,True
North Carolina,30128,32826.0,32329.4,32181.0,32073.0,,41129.0,27584.4,10823.5,77521.7,42738.5,34688.8,24537.4,25672.7,27187.0,,36415.1,33239.3,43070.3,23552.3,27193.0,2698.0,2201.4,2053.0,1945.0,,11001.0,-2543.6,-19304.5,47393.7,12610.5,4560.8,-5590.6,-4455.3,-2941.0,,6287.1,3111.3,12942.3,-6575.7,-2935.0,True,True,True,,False,True,False,False,False,False,False,False,False,,False,False,False,False,False
North Dakota,3976,2718.0,2753.3,2688.0,2280.0,,407.0,4106.8,1029.0,1658.7,2780.7,2715.5,2267.0,2406.3,3585.0,,3432.9,3193.4,2881.2,2966.9,2674.0,-1258.0,-1222.7,-1288.0,-1696.0,,-3569.0,130.8,-2947.0,-2317.3,-1195.3,-1260.5,-1709.0,-1569.7,-391.0,,-543.1,-782.6,-1094.8,-1009.1,-1302.0,True,False,False,,False,True,False,False,True,False,False,False,True,,True,True,True,True,False
Ohio,21351,23646.0,23990.3,21500.0,25682.0,,15145.0,21900.0,8404.0,71746.5,43448.1,23357.2,16439.7,20415.8,20508.0,,19490.9,21981.5,28737.8,19517.9,20348.0,2295.0,2639.3,149.0,4331.0,,-6206.0,549.0,-12947.0,50395.5,22097.1,2006.2,-4911.3,-935.2,-843.0,,-1860.1,630.5,7386.8,-1833.1,-1003.0,False,True,False,,False,True,False,False,False,True,False,True,True,,True,True,False,True,True
Oklahoma,14273,16047.0,16381.6,16095.0,14371.0,,18519.0,12874.9,5784.0,31138.6,26992.2,33253.7,10440.4,13041.0,16010.0,,30395.1,14579.7,25404.8,10409.3,12418.0,1774.0,2108.6,1822.0,98.0,,4246.0,-1398.1,-8489.0,16865.6,12719.2,18980.7,-3832.6,-1232.0,1737.0,,16122.1,306.7,11131.8,-3863.7,-1855.0,False,False,True,,False,True,False,False,False,False,False,True,True,,False,True,False,False,False
Oregon,5283,6579.0,6511.0,6575.0,7310.0,,7539.0,4784.3,2316.3,21388.2,14029.0,7288.8,5293.9,6065.0,6076.0,,6855.6,6195.7,9260.6,6020.9,6025.0,1296.0,1228.0,1292.0,2027.0,,2256.0,-498.7,-2966.7,16105.2,8746.0,2005.8,10.9,782.0,793.0,,1572.6,912.7,3977.6,737.9,742.0,True,True,False,,False,True,False,False,False,False,True,True,True,,False,True,False,True,True
Pennsylvania,14911,15591.0,15669.9,15005.0,13653.0,,621.0,15443.1,4981.5,23384.8,33622.4,25957.1,10783.7,14120.5,13505.0,,18891.3,13825.6,9011.2,12934.2,11026.0,680.0,758.9,94.0,-1258.0,,-14290.0,532.1,-9929.5,8473.8,18711.4,11046.1,-4127.3,-790.5,-1406.0,,3980.3,-1085.4,-5899.8,-1976.8,-3885.0,False,True,False,,False,True,False,False,False,False,False,False,False,,False,False,False,False,False
Rhode Island,1945,2148.0,2083.8,1591.0,2082.0,,19.0,2775.0,678.0,1571.3,506.9,873.4,964.4,1548.9,2997.0,,1655.8,2060.2,631.8,1750.4,1559.0,203.0,138.8,-354.0,137.0,,-1926.0,830.0,-1267.0,-373.7,-1438.1,-1071.6,-980.6,-396.1,1052.0,,-289.2,115.2,-1313.2,-194.6,-386.0,True,False,True,,False,False,False,False,False,False,False,False,False,,False,True,False,True,False
South Carolina,17789,26583.0,26198.6,23589.0,23963.0,,26670.0,17727.8,8744.5,49068.8,28711.5,25517.4,17382.5,22129.7,19330.0,,21046.5,21838.2,32481.5,17699.9,19145.0,8794.0,8409.6,5800.0,6174.0,,8881.0,-61.2,-9044.5,31279.8,10922.5,7728.4,-406.5,4340.7,1541.0,,3257.5,4049.2,14692.5,-89.1,1356.0,True,True,True,,False,True,False,False,False,True,True,True,True,,True,True,False,True,True
South Dakota,3465,1830.0,1821.6,1856.0,1652.0,,454.0,1871.3,637.9,1906.6,1325.4,1906.4,1784.6,2179.9,2691.0,,2781.7,2942.3,1250.1,3180.8,2166.0,-1635.0,-1643.4,-1609.0,-1813.0,,-3011.0,-1593.7,-2827.1,-1558.4,-2139.6,-1558.6,-1680.4,-1285.1,-774.0,,-683.3,-522.7,-2214.9,-284.2,-1299.0,False,True,False,,False,True,False,True,False,True,False,True,True,,True,True,False,True,True
Tennessee,31695,37203.0,41513.0,37712.0,33432.0,,39772.0,41304.1,13497.4,29279.8,38822.1,37198.6,36422.5,33326.8,34772.0,,49205.8,39170.4,63354.8,31831.8,23613.0,5508.0,9818.0,6017.0,1737.0,,8077.0,9609.1,-18197.6,-2415.2,7127.1,5503.6,4727.5,1631.8,3077.0,,17510.8,7475.4,31659.8,136.8,-8082.0,False,False,True,,False,False,False,True,False,True,True,True,True,,False,False,False,True,False
Texas,129119,158682.0,148639.3,145742.0,170607.0,,156295.0,105697.8,53597.5,540413.1,145717.6,144119.9,95885.7,129601.5,123560.0,,255537.1,147707.3,196759.3,118768.2,123379.0,29563.0,19520.3,16623.0,41488.0,,27176.0,-23421.2,-75521.5,411294.1,16598.6,15000.9,-33233.3,482.5,-5559.0,,126418.1,18588.3,67640.3,-10350.8,-5740.0,True,True,False,,True,True,False,False,True,True,False,True,True,,False,True,False,True,True
Utah,7655,9147.0,9641.8,8055.0,7886.0,,9198.0,6858.4,3075.9,13486.8,9220.1,8352.0,6855.2,6770.5,6420.0,,5538.8,9739.6,13480.3,6371.4,6866.0,1492.0,1986.8,400.0,231.0,,1543.0,-796.6,-4579.1,5831.8,1565.1,697.0,-799.8,-884.5,-1235.0,,-2116.2,2084.6,5825.3,-1283.6,-789.0,False,True,True,,False,True,False,False,False,True,True,True,True,,False,False,False,True,True
Vermont,151,99.0,88.0,93.0,151.0,,19.0,95.6,35.9,74.6,475.3,212.6,79.4,85.2,76.0,,368.2,147.8,,100.8,79.0,-52.0,-63.0,-58.0,0.0,,-132.0,-55.4,-115.1,-76.4,324.3,61.6,-71.6,-65.8,-75.0,,217.2,-3.2,,-50.2,-72.0,False,False,True,,False,False,False,False,False,False,False,False,False,,False,True,,True,False
Virginia,19605,25164.0,25092.0,26761.0,35568.0,,9214.0,27235.7,8852.4,79658.7,29335.3,22744.1,17759.3,20961.0,31443.0,,49541.4,31696.0,23366.3,29214.1,0.0,5559.0,5487.0,7156.0,15963.0,,-10391.0,7630.7,-10752.6,60053.7,9730.3,3139.1,-1845.7,1356.0,11838.0,,29936.4,12091.0,3761.3,9609.1,-19605.0,True,False,False,,False,False,False,False,False,True,True,True,False,,False,False,True,False,False
Washington,11356,14946.0,14874.8,15314.0,15021.0,,16013.0,12952.8,5398.4,33156.9,19791.6,18973.2,11475.4,11313.1,13979.0,,18316.5,16648.5,17331.0,13157.8,13017.0,3590.0,3518.8,3958.0,3665.0,,4657.0,1596.8,-5957.6,21800.9,8435.6,7617.2,119.4,-42.9,2623.0,,6960.5,5292.5,5975.0,1801.8,1661.0,True,False,False,,False,True,False,False,False,False,True,True,True,,False,False,False,True,True
West Virginia,2407,2475.0,2477.3,2486.0,3158.0,,2445.0,3139.8,884.3,2072.6,5268.5,3803.8,2250.6,2305.2,2511.0,,9136.8,2090.6,3573.9,2375.6,2619.0,68.0,70.3,79.0,751.0,,38.0,732.8,-1522.7,-334.4,2861.5,1396.8,-156.4,-101.8,104.0,,6729.8,-316.4,1166.9,-31.4,212.0,False,False,False,,True,False,False,False,False,False,False,False,False,,False,False,False,True,False
Wisconsin,14867,17793.0,17893.1,17805.0,22618.0,,8993.0,19904.9,6510.5,24365.8,24879.2,16097.3,13862.0,14142.8,18833.0,,19883.7,18245.7,21986.1,17533.6,16611.0,2926.0,3026.1,2938.0,7751.0,,-5874.0,5037.9,-8356.5,9498.8,10012.2,1230.3,-1005.0,-724.2,3966.0,,5016.7,3378.7,7119.1,2666.6,1744.0,False,False,False,,False,False,False,False,False,True,True,True,False,,False,False,False,True,True
Wyoming,780,738.0,732.1,726.0,544.0,,698.0,805.0,194.2,23.3,1326.3,1797.2,533.5,625.2,572.0,,807.1,817.2,,460.4,743.0,-42.0,-47.9,-54.0,-236.0,,-82.0,25.0,-585.8,-756.7,546.3,1017.2,-246.5,-154.8,-208.0,,27.1,37.2,,-319.6,-37.0,False,False,False,,False,True,False,False,False,False,False,False,False,,True,True,,False,True
US,963165,1132011.0,1109137.2,1090832.0,1103319.0,844553.0,1086464.0,1025909.6,382916.8,2487756.9,1283764.8,1285669.3,781167.5,946733.3,985994.0,1004346.0,1370311.4,966987.6,1190808.5,894911.8,879763.0,168846.0,145972.2,127667.0,140154.0,-118612.0,123299.0,62744.6,-580248.2,1524591.9,320599.8,322504.3,-181997.5,-16431.7,22829.0,41181.0,407146.4,3822.6,227643.5,-68253.2,-83402.0,True,True,True,True,True,True,False,False,False,False,False,True,True,True,False,True,False,True,True
