,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,52799,68216.0,66080.6,54177.0,65746.0,,49455.4,66614.0,56662.0,16993.5,42104.0,63773.0,51771.2,70148.7,40823.8,46528.4,36375.0,,42186.1,58069.8,60727.1,61851.4,43254.0,36538.0,15417.0,13281.6,1378.0,12947.0,,-3343.6,13815.0,3863.0,-35805.5,-10695.0,10974.0,-1027.8,17349.7,-11975.2,-6270.6,-16424.0,,-10612.9,5270.8,7928.1,9052.4,-9545.0,-16261.0,True,True,True,,True,True,True,False,True,True,True,False,True,True,False,,True,True,True,True,True,False
Hawaii,4970,6124.0,5994.0,6227.0,7960.0,,11704.0,5335.0,10934.7,1672.5,,,9444.1,26075.1,6104.0,6040.7,8381.0,,5302.5,2162.3,8171.4,10000.2,7810.4,5899.0,1154.0,1024.0,1257.0,2990.0,,6734.0,365.0,5964.7,-3297.5,,,4474.1,21105.1,1134.0,1070.7,3411.0,,332.5,-2807.7,3201.4,5030.2,2840.4,929.0,True,False,False,,False,True,False,False,,,False,False,True,True,False,,True,False,False,False,False,True
Idaho,7588,8736.0,8562.2,7609.0,6108.0,,5711.1,9383.0,20837.2,1222.7,4192.0,7712.0,12519.0,9939.2,4822.5,6391.4,4296.0,,5173.0,11155.8,7646.9,8033.0,4157.5,4631.0,1148.0,974.2,21.0,-1480.0,,-1876.9,1795.0,13249.2,-6365.3,-3396.0,124.0,4931.0,2351.2,-2765.5,-1196.6,-3292.0,,-2415.0,3567.8,58.9,445.0,-3430.5,-2957.0,True,True,False,,False,False,False,False,False,True,False,False,False,False,False,,False,False,True,True,False,False
Illinois,55340,55400.0,55483.0,51663.0,80770.0,,47358.1,7791.0,55404.2,14593.0,23356.0,44567.0,56188.0,82572.9,40807.1,50758.8,48549.0,,52156.9,25280.4,58449.0,41447.0,65775.2,55783.0,60.0,143.0,-3677.0,25430.0,,-7981.9,-47549.0,64.2,-40747.0,-31984.0,-10773.0,848.0,27232.9,-14532.9,-4581.2,-6791.0,,-3183.1,-30059.6,3109.0,-13893.0,10435.2,443.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Indiana,25442,22564.0,22662.4,19627.0,22676.0,,20693.0,7051.0,21434.5,5037.9,13584.0,19506.0,31202.6,28741.7,15731.4,17332.7,16536.0,,15531.1,9929.7,16512.5,19706.4,19095.3,18145.0,-2878.0,-2779.6,-5815.0,-2766.0,,-4749.0,-18391.0,-4007.5,-20404.1,-11858.0,-5936.0,5760.6,3299.7,-9710.6,-8109.3,-8906.0,,-9910.9,-15512.3,-8929.5,-5735.6,-6346.7,-7297.0,True,False,True,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Iowa,23808,15724.0,15723.1,13523.0,28684.0,,13774.9,2760.0,10670.0,4384.5,7629.0,13470.0,13295.8,12850.5,12321.3,13743.7,15605.0,,14499.6,4162.2,18908.4,11198.9,19530.9,15061.0,-8084.0,-8084.9,-10285.0,4876.0,,-10033.1,-21048.0,-13138.0,-19423.5,-16179.0,-10338.0,-10512.2,-10957.5,-11486.7,-10064.3,-8203.0,,-9308.4,-19645.8,-4899.6,-12609.1,-4277.1,-8747.0,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,True,False
Kansas,15098,14012.0,14196.1,12042.0,21102.0,,10947.2,9916.0,9554.3,3373.3,8226.0,16032.0,17250.8,12658.2,10078.6,12659.8,15462.0,,8840.0,10462.3,9172.0,12526.2,15345.9,14482.0,-1086.0,-901.9,-3056.0,6004.0,,-4150.8,-5182.0,-5543.7,-11724.7,-6872.0,934.0,2152.8,-2439.8,-5019.4,-2438.2,364.0,,-6258.0,-4635.7,-5926.0,-2571.8,247.9,-616.0,True,False,False,,False,False,False,False,False,True,False,False,False,False,True,,False,False,False,False,True,True
Kentucky,18040,16544.0,16387.2,15023.0,21904.0,,13720.5,15083.0,19032.4,4099.9,12835.0,18459.0,20265.8,18087.1,7344.9,11788.7,12891.0,,4048.4,13088.3,16265.0,12706.8,10976.3,18303.0,-1496.0,-1652.8,-3017.0,3864.0,,-4319.5,-2957.0,992.4,-13940.1,-5205.0,419.0,2225.8,47.1,-10695.1,-6251.3,-5149.0,,-13991.6,-4951.7,-1775.0,-5333.2,-7063.7,263.0,False,False,False,,False,False,True,False,False,True,False,True,False,False,False,,False,False,False,False,False,True
Louisiana,18563,19932.0,18754.7,14878.0,13112.0,,8505.1,25195.0,45399.1,2047.9,12041.0,27782.0,15450.1,12494.9,15447.4,12580.2,7141.0,,14728.5,20909.9,17214.2,,9526.0,8214.0,1369.0,191.7,-3685.0,-5451.0,,-10057.9,6632.0,26836.1,-16515.1,-6522.0,9219.0,-3112.9,-6068.1,-3115.6,-5982.8,-11422.0,,-3834.5,2346.9,-1348.8,,-9037.0,-10349.0,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,,False,False
Maine,717,696.0,669.0,585.0,1284.0,,589.5,175.0,560.4,212.0,321.0,578.0,1248.6,303.7,454.0,662.5,988.0,,297.5,885.9,584.7,659.3,1238.7,1194.0,-21.0,-48.0,-132.0,567.0,,-127.5,-542.0,-156.6,-505.0,-396.0,-139.0,531.6,-413.3,-263.0,-54.5,271.0,,-419.5,168.9,-132.3,-57.7,521.7,477.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Maryland,16221,15320.0,14307.5,12523.0,15698.0,,11656.2,3302.0,18550.5,2957.0,8265.0,14816.0,16278.1,12755.2,11061.4,11930.2,9026.0,,12044.4,23318.9,18232.6,,12172.0,10767.0,-901.0,-1913.5,-3698.0,-523.0,,-4564.8,-12919.0,2329.5,-13264.0,-7956.0,-1405.0,57.1,-3465.8,-5159.6,-4290.8,-7195.0,,-4176.6,7097.9,2011.6,,-4049.0,-5454.0,False,False,True,,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,,False,False
Massachusetts,9334,8644.0,9009.8,5316.0,334.0,,8620.8,2858.0,10840.3,1549.4,2743.0,23157.0,6965.4,14971.5,3852.2,4716.0,5485.0,,4217.8,1263.0,11746.6,,277.8,7388.0,-690.0,-324.2,-4018.0,-9000.0,,-713.2,-6476.0,1506.3,-7784.6,-6591.0,13823.0,-2368.6,5637.5,-5481.8,-4618.0,-3849.0,,-5116.2,-8071.0,2412.6,,-9056.2,-1946.0,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False
Michigan,22043,17048.0,17030.4,17605.0,17615.0,,16388.9,9745.0,25417.8,4432.8,10106.0,18184.0,35817.7,21885.3,14355.9,15086.9,12359.0,,14673.3,20729.4,21203.6,,19949.9,10507.0,-4995.0,-5012.6,-4438.0,-4428.0,,-5654.1,-12298.0,3374.8,-17610.2,-11937.0,-3859.0,13774.7,-157.7,-7687.1,-6956.1,-9684.0,,-7369.7,-1313.6,-839.4,,-2093.1,-11536.0,False,True,True,,False,False,True,False,False,True,False,True,False,False,False,,False,True,True,,True,False
Minnesota,19854,17816.0,17757.8,16768.0,22316.0,,14103.9,3970.0,15496.1,4415.5,9681.0,17942.0,19432.8,16967.1,14460.0,14567.6,11962.0,,13352.3,3258.8,19091.3,14386.4,22584.7,17129.0,-2038.0,-2096.2,-3086.0,2462.0,,-5750.1,-15884.0,-4357.9,-15438.5,-10173.0,-1912.0,-421.2,-2886.9,-5394.0,-5286.4,-7892.0,,-6501.7,-16595.2,-762.7,-5467.6,2730.7,-2725.0,False,False,False,,False,False,False,False,False,True,True,False,False,False,False,,False,False,True,False,False,False
Mississippi,15819,22052.0,22792.0,16807.0,26656.0,,12549.0,15790.0,17956.2,5501.3,16411.0,18283.0,16045.2,13863.5,16397.4,17242.2,13998.0,,11871.8,12338.6,25975.0,18514.5,19757.6,9306.0,6233.0,6973.0,988.0,10837.0,,-3270.0,-29.0,2137.2,-10317.7,592.0,2464.0,226.2,-1955.5,578.4,1423.2,-1821.0,,-3947.2,-3480.4,10156.0,2695.5,3938.6,-6513.0,False,True,False,,True,True,True,False,True,True,True,True,True,True,True,,True,True,False,True,True,False
Missouri,37912,31792.0,25893.9,25271.0,36579.0,,23582.9,27450.0,28681.5,7542.6,21314.0,27936.0,35619.5,26731.9,19455.9,24246.4,23824.0,,18406.5,28605.8,15701.4,22496.5,21673.4,25277.0,-6120.0,-12018.1,-12641.0,-1333.0,,-14329.1,-10462.0,-9230.5,-30369.4,-16598.0,-9976.0,-2292.5,-11180.1,-18456.1,-13665.6,-14088.0,,-19505.5,-9306.2,-22210.6,-15415.5,-16238.6,-12635.0,False,False,True,,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,False,False
Montana,3787,2868.0,2854.9,2603.0,2341.0,,2555.0,2709.0,3193.0,706.9,2165.0,4647.0,3730.1,3404.4,2168.8,2238.4,1821.0,,1325.0,6462.7,1715.9,2703.2,2500.1,2666.0,-919.0,-932.1,-1184.0,-1446.0,,-1232.0,-1078.0,-594.0,-3080.1,-1622.0,860.0,-56.9,-382.6,-1618.2,-1548.6,-1966.0,,-2462.0,2675.7,-2071.1,-1083.8,-1286.9,-1121.0,False,False,False,,False,False,True,False,False,True,True,True,False,False,False,,False,False,False,False,False,False
Nebraska,9017,6156.0,6201.8,5618.0,5775.0,,5671.2,1298.0,5374.9,1500.6,3754.0,6918.0,6667.2,11335.4,3326.3,4759.6,4208.0,,3842.8,4745.8,6282.4,6273.9,3734.9,4099.0,-2861.0,-2815.2,-3399.0,-3242.0,,-3345.8,-7719.0,-3642.1,-7516.4,-5263.0,-2099.0,-2349.8,2318.4,-5690.7,-4257.4,-4809.0,,-5174.2,-4271.2,-2734.6,-2743.1,-5282.1,-4918.0,True,False,False,,False,False,False,False,False,True,True,True,False,False,False,,False,False,True,True,False,False
Nevada,10350,17844.0,18083.5,14195.0,16743.0,,10726.9,18070.0,14903.2,3653.0,9487.0,15575.0,10858.2,14669.5,11307.5,11580.1,9337.0,,11036.7,14967.9,16155.6,16189.7,10712.7,10914.0,7494.0,7733.5,3845.0,6393.0,,376.9,7720.0,4553.2,-6697.0,-863.0,5225.0,508.2,4319.5,957.5,1230.1,-1013.0,,686.7,4617.9,5805.6,5839.7,362.7,564.0,False,True,True,,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True
New Hampshire,826,456.0,467.4,436.0,492.0,,495.5,18.0,677.5,119.4,349.0,476.0,1193.3,134.1,287.8,372.3,273.0,,322.7,104.9,439.3,1052.8,411.3,287.0,-370.0,-358.6,-390.0,-334.0,,-330.5,-808.0,-148.5,-706.6,-477.0,-350.0,367.3,-691.9,-538.2,-453.7,-553.0,,-503.3,-721.1,-386.7,226.8,-414.7,-539.0,True,False,True,,True,False,True,False,False,True,True,False,False,False,False,,False,False,False,True,False,False
New Jersey,9963,7616.0,7463.4,8053.0,11225.0,,9778.4,236.0,12220.6,1831.7,3073.0,8465.0,14585.0,12292.2,4328.2,5969.4,5767.0,,14681.2,2329.1,6991.0,,7702.6,4015.0,-2347.0,-2499.6,-1910.0,1262.0,,-184.6,-9727.0,2257.6,-8131.3,-6890.0,-1498.0,4622.0,2329.2,-5634.8,-3993.6,-4196.0,,4718.2,-7633.9,-2972.0,,-2260.4,-5948.0,False,True,True,,True,False,True,False,False,True,False,True,False,False,False,,False,False,False,,True,False
New Mexico,3210,4000.0,3959.7,3344.0,3460.0,,1762.1,2729.0,3707.8,988.6,2226.0,4423.0,4757.1,2709.0,3087.4,3268.0,2277.0,,3265.3,5875.8,3106.0,4410.6,4398.0,2563.0,790.0,749.7,134.0,250.0,,-1447.9,-481.0,497.8,-2221.4,-984.0,1213.0,1547.1,-501.0,-122.6,58.0,-933.0,,55.3,2665.8,-104.0,1200.6,1188.0,-647.0,True,True,True,,False,True,True,False,False,False,False,True,True,True,False,,True,False,True,False,False,True
New York,19873,17056.0,17231.8,15682.0,19246.0,,14259.8,173.0,27056.4,4419.4,8568.0,9616.0,37077.8,19968.9,11073.1,15383.3,12829.0,,15495.9,213.2,12120.8,,16653.0,15607.0,-2817.0,-2641.2,-4191.0,-627.0,,-5613.2,-19700.0,7183.4,-15453.6,-11305.0,-10257.0,17204.8,95.9,-8799.9,-4489.7,-7044.0,,-4377.1,-19659.8,-7752.2,,-3220.0,-4266.0,True,False,True,,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False
North Carolina,39377,39744.0,39548.5,35741.0,63485.0,,26784.7,55148.0,28317.2,10164.8,25503.0,33388.0,39325.3,31713.2,32041.7,35723.4,29884.0,,28925.7,44212.0,34801.6,37369.3,56033.6,26611.0,367.0,171.5,-3636.0,24108.0,,-12592.3,15771.0,-11059.8,-29212.2,-13874.0,-5989.0,-51.7,-7663.8,-7335.3,-3653.6,-9493.0,,-10451.3,4835.0,-4575.4,-2007.7,16656.6,-12766.0,True,False,False,,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,False,False
North Dakota,7871,5168.0,5145.1,4855.0,9406.0,,4442.1,178.0,4682.2,1308.7,2593.0,3895.0,3316.7,4288.6,4772.6,4879.5,5902.0,,5287.7,2770.7,5532.4,5369.2,9373.8,5740.0,-2703.0,-2725.9,-3016.0,1535.0,,-3428.9,-7693.0,-3188.8,-6562.3,-5278.0,-3976.0,-4554.3,-3582.4,-3098.4,-2991.5,-1969.0,,-2583.3,-5100.3,-2338.6,-2501.8,1502.8,-2131.0,False,False,True,,False,False,False,False,False,False,False,False,False,False,True,,True,False,True,True,True,True
Ohio,29382,25964.0,26434.0,21922.0,27932.0,,17661.9,21658.0,21869.6,6495.8,16082.0,26000.0,44981.5,24600.2,16295.0,21131.6,15684.0,,16623.2,3092.3,25203.6,22486.4,20685.8,20677.0,-3418.0,-2948.0,-7460.0,-1450.0,,-11720.1,-7724.0,-7512.4,-22886.2,-13300.0,-3382.0,15599.5,-4781.8,-13087.0,-8250.4,-13698.0,,-12758.8,-26289.7,-4178.4,-6895.6,-8696.2,-8705.0,True,False,True,,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,False
Oklahoma,23205,19204.0,17720.3,16914.0,29555.0,,12616.1,18306.0,14808.2,4767.3,12269.0,20030.0,25410.4,14577.1,15130.9,14233.7,13498.0,,9762.3,16504.5,17265.6,15972.2,22398.6,15313.0,-4001.0,-5484.7,-6291.0,6350.0,,-10588.9,-4899.0,-8396.8,-18437.7,-10936.0,-3175.0,2205.4,-8627.9,-8074.1,-8971.3,-9707.0,,-13442.7,-6700.5,-5939.4,-7232.8,-806.4,-7892.0,False,False,False,,False,False,False,False,False,True,True,False,False,False,False,,False,False,False,False,True,False
Oregon,5889,6768.0,6775.4,5969.0,6069.0,,5825.5,10641.0,5649.9,1345.2,4489.0,5758.0,14307.4,7174.0,5052.2,5601.1,4088.0,,4648.6,11158.5,6145.5,5988.6,5757.1,6511.0,879.0,886.4,80.0,180.0,,-63.5,4752.0,-239.1,-4543.8,-1400.0,-131.0,8418.4,1285.0,-836.8,-287.9,-1801.0,,-1240.4,5269.5,256.5,99.6,-131.9,622.0,False,True,True,,True,False,True,False,False,True,False,False,True,True,False,,False,False,True,True,True,True
Pennsylvania,21076,18516.0,18021.6,15494.0,15836.0,,15901.1,3762.0,20354.3,4614.5,9255.0,13420.0,36603.7,15992.2,12103.0,16030.2,12284.0,,12214.3,14536.9,15962.0,18082.2,14772.5,14582.0,-2560.0,-3054.4,-5582.0,-5240.0,,-5174.9,-17314.0,-721.7,-16461.5,-11821.0,-7656.0,15527.7,-5083.8,-8973.0,-5045.8,-8792.0,,-8861.7,-6539.1,-5114.0,-2993.8,-6303.5,-6494.0,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Rhode Island,2598,2748.0,2884.8,2010.0,2007.0,,2152.9,5.0,4241.8,665.5,998.0,6123.0,2212.7,4031.3,1117.7,1693.0,1705.0,,1120.0,178.5,3184.6,,2258.1,1476.0,150.0,286.8,-588.0,-591.0,,-445.1,-2593.0,1643.8,-1932.5,-1600.0,3525.0,-385.3,1433.3,-1480.3,-905.0,-893.0,,-1478.0,-2419.5,586.6,,-339.9,-1122.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False
South Carolina,25945,21652.0,20997.5,16806.0,19074.0,,11407.3,16095.0,16428.5,4827.2,14364.0,19159.0,13858.3,18283.1,16027.7,17348.6,10959.0,,12707.3,25207.1,18914.9,21961.4,18358.6,12415.0,-4293.0,-4947.5,-9139.0,-6871.0,,-14537.7,-9850.0,-9516.5,-21117.8,-11581.0,-6786.0,-12086.7,-7661.9,-9917.3,-8596.4,-14986.0,,-13237.7,-737.9,-7030.1,-3983.6,-7586.4,-13530.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,True,False,False
South Dakota,7309,4068.0,4041.4,4056.0,5782.0,,4521.9,341.0,3167.2,1293.8,1466.0,2804.0,1557.0,3858.2,3643.1,4205.3,5375.0,,4763.7,865.3,5202.8,1941.1,9910.3,5513.0,-3241.0,-3267.6,-3253.0,-1527.0,,-2787.1,-6968.0,-4141.8,-6015.2,-5843.0,-4505.0,-5752.0,-3450.8,-3665.9,-3103.7,-1934.0,,-2545.3,-6443.7,-2106.2,-5367.9,2601.3,-1796.0,False,False,True,,True,False,False,False,False,False,False,False,False,True,True,,True,False,True,False,True,True
Tennessee,39356,41344.0,44217.6,32621.0,39188.0,,20797.4,29660.0,37097.2,10346.2,29579.0,33817.0,38009.8,28674.1,34612.6,27752.9,21673.0,,32178.4,26969.3,30958.6,34656.8,33961.4,24728.0,1988.0,4861.6,-6735.0,-168.0,,-18558.6,-9696.0,-2258.8,-29009.8,-9777.0,-5539.0,-1346.2,-10681.9,-4743.4,-11603.1,-17683.0,,-7177.6,-12386.7,-8397.4,-4699.2,-5394.6,-14628.0,False,False,True,,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,False,False
Texas,118661,171188.0,173068.4,125614.0,130151.0,,120134.7,142376.0,116590.3,43584.2,76975.0,209110.0,124673.9,146721.0,92005.4,120752.4,87567.0,,100389.8,312396.0,153383.2,151477.9,77539.6,117956.0,52527.0,54407.4,6953.0,11490.0,,1473.7,23715.0,-2070.7,-75076.8,-41686.0,90449.0,6012.9,28060.0,-26655.6,2091.4,-31094.0,,-18271.2,193735.0,34722.2,32816.9,-41121.4,-705.0,False,True,True,,True,True,True,False,True,False,True,True,True,True,True,,True,False,True,True,True,True
